지역,편의점 매출
종로구,156056143
중구,164374200
용산구,174452004
성동구,160643697
광진구,155410671
동대문구,152760598
중랑구,131438401
성북구,143530823
강북구,130680713
도봉구,162601332
노원구,128056875
은평구,136500962
서대문구,161540209
마포구,158391336
양천구,128696837
강서구,144360752
구로구,156075511
금천구,159939720
영등포구,159726693
동작구,152756333
관악구,152518576
서초구,218768805
강남구,177027598
송파구,149868015
강동구,125441150
