지역,편의점 매출
종로구,183636918
중구,184455036
용산구,207366689
성동구,174728135
광진구,199683653
동대문구,192254720
중랑구,171224910
성북구,182440473
강북구,176610279
도봉구,193579634
노원구,182995529
은평구,176414930
서대문구,198284832
마포구,195252886
양천구,158130803
강서구,182588918
구로구,193750423
금천구,192546596
영등포구,185527043
동작구,180195562
관악구,184330701
서초구,206075594
강남구,198895934
송파구,169855294
강동구,146351163
