지역,편의점 매출
종로구,145911027
중구,129209657
용산구,154102839
성동구,152979612
광진구,170232120
동대문구,149452971
중랑구,133502653
성북구,125789739
강북구,136229259
도봉구,165752896
노원구,126696520
은평구,145115446
서대문구,134374058
마포구,151274121
양천구,138818746
강서구,150265455
구로구,145769593
금천구,175959115
영등포구,156034220
동작구,151507825
관악구,159907730
서초구,170432140
강남구,185874991
송파구,152902766
강동구,132412954
