이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,90-99세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,직장인구,거주인구,폐업률,매출
이태원2동,11170660,160846,638,630,1633,2134,1723,1491,1222,898,407,72,2598,1015,660,449,14,0,2996.730443,9293.484323,7.1,67588808
한남동,11170685,147759,1449,1429,3202,4858,3995,3598,2710,1630,626,134,6088,2284,1380,920,23,2,41921.35818,19398.69636,0,73013155
서빙고동,11170690,144110,963,1655,1886,1759,2712,2325,1363,866,595,74,1733,1107,949,1101,9,1,17692.05188,17030.94057,0,39585793
보광동,11170700,86167,645,936,2614,2699,2474,2748,2001,1245,530,97,4043,1688,1030,722,10,0,1994.068474,12046.53362,0,67345273
왕십리2동,11200520,118056,1312,1381,2683,3212,2841,2905,2035,1121,415,64,2896,1671,1472,1204,10,1,1336.676582,19125.3303,0,20687061
왕십리도선동,11200535,136197,2579,1722,4624,5072,4223,4517,2786,1588,658,90,4406,2458,2338,2005,32,0,4879.023283,26923.27383,9.4,50690539
마장동,11200540,131807,1386,1891,4800,3482,3351,4007,2869,1671,646,84,4779,2300,1774,1527,15,1,3979.920572,22683.12344,0,58983771
사근동,11200550,139365,496,1018,5695,1860,1263,1280,945,743,255,33,5241,948,574,504,34,2,2691.080313,10857.30951,0,1.13E+08
행당1동,11200560,169283,1117,1167,2935,2737,2553,2714,1877,1091,407,57,3036,1535,1342,1098,18,1,9926.886166,18492.3891,0,48955365
행당2동,11200570,191129,2065,2387,3106,3882,4525,3919,2662,1641,620,98,2353,2340,2182,2085,7,1,290.2906187,22985.32143,0,51291781
응봉동,11200580,157901,1302,1839,1808,2368,3170,2434,1655,1171,453,62,1598,1387,1427,1346,3,1,1330.987921,16979.20166,0,6666667
금호1가동,11200590,125396,1328,1204,1956,2952,2664,2459,1905,1066,451,47,2091,1652,1419,1145,8,1,2557.883431,16766.95716,25,6209688
금호2.3가동,11200615,147156,1908,1681,3088,4505,4017,3743,2869,1754,670,108,3543,2571,2128,1622,13,0,1101.994325,24298.02228,0,33194624
금호4가동,11200620,100600,1520,1024,1718,2954,2703,2236,1706,1034,388,54,2163,1593,1479,986,9,1,1042.744126,13513.46092,0,11203197
옥수동,11200645,184328,2755,1773,3201,5547,4466,4038,3016,1701,702,123,3183,2797,2547,1874,11,1,8592.166255,43289.72556,36.4,80773150
성수1가1동,11200650,104413,1165,1318,2712,3039,2751,3148,1922,957,351,46,3092,1661,1329,1241,23,0,3846.467564,14873.36016,0,52226851
성수1가2동,11200660,128943,961,1079,2538,2891,2437,2403,1733,913,358,47,3187,1454,1155,969,29,2,6092.19493,13815.66294,6.9,42323574
성수2가1동,11200670,79241,976,1112,2613,2862,2744,3592,2523,1217,438,69,4169,1768,1316,1053,23,0,9522.930159,18463.37967,4.3,54968109
성수2가3동,11200690,119524,667,617,2141,2129,1624,1999,1468,795,309,29,2902,1049,812,670,53,1,23258.73802,10947.13361,7.5,53434899
송정동,11200720,86989,641,691,1830,1900,1768,2230,1528,743,260,33,2775,1146,818,631,8,0,1923.695136,14444.38555,0,53042630
용답동,11200790,124298,607,807,2293,2072,2201,2731,1757,1071,398,39,4157,1256,823,688,15,3,5162.896608,14626.74448,6.7,42259641
화양동,11215710,167699,529,1184,11096,4634,2362,2296,1707,1035,392,60,12427,1992,758,600,63,1,3042.434203,22131.67125,6.3,75762823
군자동,11215730,101971,1143,1300,5487,4005,2796,3190,2257,1369,474,54,5788,2021,1345,1090,27,0,2777.386817,19829.25006,0,32746282
중곡1동,11215740,82569,941,900,2687,3240,2408,2781,2018,1146,327,54,3854,1809,1246,862,16,0,3701.882479,16599.32744,0,72541145
중곡2동,11215750,86724,1422,1556,3868,4162,3278,3820,2579,1403,437,72,4411,2316,1787,1413,24,0,2917.546948,22558.99796,4.2,39841891
중곡3동,11215760,98827,942,1129,2788,2966,2568,3235,2195,1257,409,63,3950,1927,1330,978,20,1,1631.759051,17491.97768,5,44741668
중곡4동,11215770,114231,1804,2301,4642,4787,4642,5679,3952,2200,661,96,4887,3054,2592,2033,22,0,4896.789884,31257.58942,9.1,35608315
능동,11215780,147636,679,599,2392,2833,1637,1513,1190,735,257,49,3445,1295,748,518,17,3,2711.459474,11525.46215,0,42874406
광장동,11215810,143667,3475,5744,4247,4233,8027,5272,2852,1452,737,122,2186,1904,3003,4033,25,1,10456.21743,28932.01121,4,37985825
자양1동,11215820,120657,1253,1691,4468,4278,3742,4087,2745,1497,508,70,5555,2430,1702,1364,24,0,11404.47486,21237.24674,4.2,66151509
자양2동,11215830,93207,1923,2136,4060,4522,4375,4549,3384,1622,559,81,3926,2498,2224,1996,21,1,5361.616651,28030.79968,4.8,30948333
자양3동,11215840,116743,2640,2838,4139,4643,4870,4836,3297,1551,758,102,2875,2351,2492,2620,27,1,3850.528409,32379.63389,0,73645292
자양4동,11215847,149053,1065,1104,3957,3625,3440,4984,3227,1610,563,74,5065,2015,1405,976,33,0,1419.932475,21714.05985,0,52167900
구의1동,11215850,103925,1095,1398,4724,4593,3461,3577,2328,1417,516,67,6178,2387,1595,1178,29,0,3790.741193,22801.14628,13.8,39247239
구의2동,11215860,142331,2065,2563,3855,4412,4647,4650,3350,1837,649,87,4045,2592,2321,2035,18,0,4018.301231,25647.62544,0,34423087
구의3동,11215870,126403,2110,2732,4917,4987,4900,4998,3239,1621,668,108,4037,2513,2483,2451,30,1,10125.14005,21435.1593,6.7,60640613
용신동,11230536,102637,1553,1634,5951,5433,4598,5220,3894,2575,1029,153,9975,3033,1926,1515,54,2,24282.01168,30616.66952,3.7,54372889
제기동,11230545,111502,1194,1680,5957,3761,3469,4170,3773,2536,1040,136,6910,2592,1728,1310,27,1,5258.373824,24382.72089,0,65668922
전농1동,11230560,119223,2052,2164,4823,4609,4594,5196,4051,2507,973,135,7208,2957,2357,1829,29,0,1873.966453,32346.78954,6.9,35902517
전농2동,11230570,91775,1431,1920,2720,2610,3310,3336,2562,1591,676,65,2180,1849,1709,1495,16,0,4131.42123,17329.06539,0,56197918
답십리1동,11230600,158231,2896,2120,4231,5835,4708,4490,3003,1803,688,106,4795,2622,2428,2130,30,0,7333.097896,26209.92989,0,38097529
답십리2동,11230610,91945,2024,2367,4061,4500,4749,5276,4003,2437,906,104,4299,3054,2493,2200,17,0,2725.398647,28184.356,5.9,32777471
장안1동,11230650,100258,2792,2812,5374,6693,6512,6326,5042,2729,826,133,7206,3727,3117,2541,56,0,10146.30826,34570.22363,0,54965091
장안2동,11230660,101187,2821,2871,3765,5032,5639,4886,3908,2109,653,119,4446,2809,2678,2385,34,0,6688.365055,29534.35563,0,56865764
청량리동,11230705,93760,1013,1340,2803,2724,3019,4123,3684,2454,966,135,4957,2307,1597,1221,16,1,5464.353994,21657.96505,12.5,21632254
회기동,11230710,138870,547,987,5182,1747,1396,1205,972,701,294,58,3860,872,601,490,22,0,777.9299572,9324.164006,0,55311784
휘경1동,11230720,143601,647,1004,4221,2149,1912,2181,1634,1093,435,59,3912,1260,899,769,16,1,1902.364155,15884.13485,6.3,40104654
휘경2동,11230730,111380,1488,2297,5459,3340,3666,3630,2879,1713,603,93,5355,2106,1784,1683,17,0,4069.278767,21190.68223,0,58560745
