이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,90-99세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,직장인구,거주인구,폐업률,매출
청운효자동,11110515,149361,994,1390,1777,1977,2389,2030,1306,1062,450,76,1923,1122,1009,1009,11,0,7599.266472,13799.25256,9.1,74717455
사직동,11110530,148404,698,772,1161,1505,1667,1546,1107,783,392,74,2120,870,676,588,26,2,69281.47712,9763.828588,3.8,82239199
삼청동,11110540,230589,168,235,377,457,442,517,414,289,133,27,740,251,194,152,7,0,4231.348518,3031.110236,0,72501266
부암동,11110550,95828,580,1020,1628,1368,1735,1709,1209,845,373,65,1608,918,737,732,14,0,3252.692153,10275.15539,0,50518431
평창동,11110560,116378,1230,2008,2707,2372,3034,3345,2214,1417,657,145,2479,1640,1471,1444,14,0,2755.503241,19781.60155,0,21683974
무악동,11110570,144527,718,987,929,954,1592,1312,894,601,241,38,719,652,673,755,3,1,635.4529808,6542.782754,0,2.82E+08
교남동,11110580,190521,970,846,1459,1935,1901,1562,1072,708,246,36,1582,1070,861,777,16,0,3999.808596,10368.96194,0,18078925
가회동,11110600,143547,235,398,533,639,837,758,555,448,166,32,935,429,321,273,8,0,21122.30277,4285.213921,0,62993164
종로1.2.3.4가동,11110615,256491,314,355,1106,1179,1219,1632,1370,867,323,86,4175,547,299,226,104,3,145953.3303,7177.604763,3.8,65246898
종로5.6가동,11110630,250974,145,339,1081,680,777,1069,752,544,182,41,2074,476,313,224,25,2,18207.19742,5294.255968,4,60300882
이화동,11110640,195935,347,582,2092,1477,1161,1196,885,608,259,49,2639,765,534,403,18,0,17679.45847,8427.838466,11.1,1.35E+08
혜화동,11110650,170041,877,1812,6893,2546,2482,2312,1549,1268,533,65,5267,1433,1087,950,37,1,4812.525241,16437.81167,0,46167608
창신1동,11110670,188328,215,350,844,751,983,1408,947,553,165,37,1771,559,361,237,9,0,3016.876856,5634.353838,0,67553378
창신2동,11110680,85249,385,715,1623,1205,1622,2207,1347,782,277,39,1948,845,663,547,3,0,639.9209916,9113.56673,0,86576723
창신3동,11110690,70411,467,627,1112,1100,1135,1361,880,533,214,37,842,665,639,502,2,1,464.829117,7606.391343,0,54519959
숭인1동,11110700,209853,391,476,955,1046,1131,1236,838,508,202,34,1321,654,485,387,8,0,563.3993166,5442.631675,0,81415561
숭인2동,11110710,151064,352,482,1995,1620,1469,1822,1263,762,267,39,3632,896,554,443,26,1,2680.141576,9338.618303,0,65861194
소공동,11140520,159542,272,162,281,714,562,389,273,116,37,11,593,194,154,102,53,1,139413.3514,1836.305544,1.9,76910347
회현동,11140540,392834,264,220,594,723,860,1211,1108,598,239,77,2232,436,303,221,43,2,68590.78689,4152.595207,4.7,63988517
명동,11140550,253645,155,126,382,529,583,616,540,309,129,22,940,208,136,96,88,2,149331.3674,2825.842205,9.1,74186210
필동,11140570,134650,230,334,1235,771,574,722,570,344,173,36,1386,382,243,179,29,1,19108.09265,3172.43734,0,75734321
장충동,11140580,89626,255,450,1636,800,757,673,537,383,145,26,1616,460,268,221,18,1,13527.60685,6325.849667,0,59902075
광희동,11140590,182225,198,303,1046,903,804,1146,899,491,185,33,1807,518,289,212,46,1,38740.97616,4953.93668,4.3,76746925
을지로동,11140605,191859,51,51,221,218,207,386,380,196,77,13,926,133,69,36,31,2,28544.4917,1598.985643,6.5,51832757
신당동,11140615,336315,364,467,1885,1546,1535,1839,1013,613,228,44,2632,798,509,356,38,1,14335.02843,7527.760334,2.6,60394851
다산동,11140625,108725,733,1072,2582,2511,2392,2450,1820,1223,394,62,2971,1609,1115,904,16,1,7766.973707,14004.10346,6.3,78461799
약수동,11140635,141717,1351,1145,2263,2832,2794,2963,2425,1539,699,112,2760,1995,1565,1120,15,2,2712.865262,16858.58715,0,62816550
청구동,11140645,125751,933,1088,2159,2410,2295,2510,1738,1191,527,80,2440,1513,1192,994,7,0,2856.041772,14495.96365,14.3,63489359
신당5동,11140650,140215,618,667,1354,1476,1643,1736,1158,740,249,34,2043,921,702,585,7,0,2354.825094,11272.75129,14.3,81474640
동화동,11140665,130071,850,935,1672,1583,1782,2038,1247,729,344,65,1175,878,888,923,13,0,2131.683477,9020.660568,7.7,40036474
황학동,11140670,145735,863,605,2265,2827,1992,2103,1463,834,294,33,3356,1325,893,633,14,0,3241.652273,12406.69649,0,87215483
중림동,11140680,158501,1073,856,1581,2521,2035,2015,1339,848,347,54,2421,1213,997,825,14,0,7447.454347,7415.951563,7.1,41288743
후암동,11170510,119917,1241,1569,2612,3161,3122,3004,2123,1308,554,139,3901,1680,1413,1138,18,0,3292.841194,18180.4447,0,57597457
용산2가동,11170520,114724,598,785,1931,2373,1884,1809,1481,905,383,58,2784,1206,789,566,17,1,2968.70047,10053.94786,5.9,33918425
남영동,11170530,88701,283,337,1147,1190,1355,1828,1348,656,253,56,4172,594,334,247,32,3,52698.48236,12468.41145,0,64131041
청파동,11170555,114279,881,1518,4243,3376,3242,3310,2277,1554,582,95,5896,1966,1271,1049,28,0,8556.984404,21211.54671,3.6,65837384
원효로1동,11170560,114736,1424,960,2370,3579,2573,2147,1471,839,317,67,3238,1526,1185,947,21,0,16340.55327,14007.76183,0,72469145
원효로2동,11170570,100766,1146,1534,1939,2313,2632,2369,1649,1027,474,53,1952,1300,1193,1161,16,0,4075.125032,11580.17928,0,57211911
효창동,11170580,129762,644,799,1406,1525,1482,1404,885,642,267,53,1327,835,653,653,10,0,1701.404381,8210.678397,10,55540082
용문동,11170590,120811,953,1046,1781,2217,2126,1984,1432,907,315,61,1846,1230,1047,915,7,1,1024.045575,12456.96271,14.3,30214018
한강로동,11170625,124010,1153,1027,2724,3760,2946,3057,2199,1309,594,124,5214,1753,1202,895,46,4,60560.63252,13542.71982,6.5,99934004
이촌1동,11170630,220350,3138,3183,2889,4135,5620,4261,2681,1856,1093,188,2189,2193,2579,2442,11,0,2771.0541,37179.08743,0,74653804
이촌2동,11170640,100762,659,603,1065,1607,1377,1485,1254,781,340,50,1251,1008,804,584,5,0,503.9333059,9292.038518,0,65880495
이태원1동,11170650,171669,420,437,1507,1703,1303,1318,1019,665,339,58,2249,712,449,309,25,1,5622.582499,6789.403642,0,1.08E+08
이태원2동,11170660,235874,647,661,1633,2171,1785,1554,1188,894,377,64,2571,1002,677,475,15,0,2582.882262,9238.695908,13.3,93592090
한남동,11170685,139726,1529,1431,3371,4990,4089,3567,2626,1629,594,111,5902,2269,1398,964,25,2,14937.63604,19266.96288,0,90797206
서빙고동,11170690,78182,1060,1710,1873,1762,2876,2293,1287,879,564,66,1710,1093,969,1161,8,1,5839.179626,17102.27436,0,72299563
보광동,11170700,92013,710,1022,2611,2761,2673,2735,1982,1231,505,96,3975,1672,1091,802,11,0,787.7407649,11959.62699,9.1,72200848
왕십리2동,11200520,135498,1339,1430,2810,3304,2959,2943,1928,1112,389,56,2911,1652,1464,1264,10,1,1304.749594,19297.73604,0,46417981
왕십리도선동,11200535,149284,2591,1796,4608,5114,4354,4462,2640,1537,602,86,4156,2432,2283,2093,35,0,8349.730668,27046.47642,0,49985042
마장동,11200540,132900,1454,1975,4721,3637,3516,3996,2759,1627,604,78,4382,2210,1791,1633,14,1,11178.68068,22288.52473,7.1,74588530
사근동,11200550,189639,525,948,5223,1854,1330,1285,914,740,241,30,4700,903,599,542,34,2,7313.526834,10558.81719,2.9,85067398
행당1동,11200560,158169,863,1118,2511,2224,2256,2419,1627,993,367,47,2718,1288,1100,939,18,1,6266.633847,14443.47522,11.1,48718586
행당2동,11200570,134326,2264,2474,3120,4092,4693,3817,2503,1603,566,87,2302,2201,2226,2152,8,1,897.5124509,23101.98886,0,51862070
응봉동,11200580,101570,1428,1903,1815,2455,3326,2345,1631,1157,443,49,1651,1372,1395,1400,4,1,471.4132356,17172.76206,0,6666667
금호1가동,11200590,149747,1364,1289,1918,2906,2657,2466,1781,1067,413,43,1989,1555,1350,1200,11,1,1007.935321,16464.6808,9.1,40382745
금호2.3가동,11200615,121886,1988,1788,3131,4692,4049,3707,2735,1746,612,91,3456,2477,2122,1688,13,0,1217.307653,24348.15851,0,70164679
금호4가동,11200620,145070,1538,1030,1711,2987,2755,2274,1633,1034,351,56,2162,1545,1406,1053,8,1,838.8656453,13341.91559,0,15038580
옥수동,11200645,179800,2839,1864,3350,5674,4548,4007,2844,1635,670,105,3099,2741,2533,1975,17,1,3329.857838,43174.8486,0,81480033
성수1가1동,11200650,94385,1223,1422,2714,3120,2914,3190,1792,920,350,38,3032,1615,1342,1298,21,0,6640.616278,14551.05999,0,74661891
성수1가2동,11200660,120022,1076,1139,2639,3028,2579,2592,1714,948,319,44,3213,1507,1215,1045,29,2,15668.35537,13845.48677,0,51548788
성수2가1동,11200670,98796,1059,1236,2683,2939,2928,3655,2387,1216,414,71,4029,1739,1344,1148,26,0,44919.10632,18658.2383,0,68713476
성수2가3동,11200690,110844,726,683,2077,2236,1710,2049,1445,785,280,28,2787,1079,821,722,53,1,48668.08593,10740.30649,0,67476364
송정동,11200720,95767,694,761,1825,1952,1870,2294,1437,731,264,24,2601,1115,834,693,6,0,2448.222677,14476.44713,0,67001447
용답동,11200790,105001,729,1076,2684,2473,2750,3184,1982,1227,413,42,4383,1527,1017,898,18,3,27241.95815,14897.80874,5.6,50984445
화양동,11215710,147351,597,1041,10291,4612,2417,2315,1712,1032,350,56,11579,1904,838,646,63,1,6410.880346,22037.78807,3.2,1.01E+08
군자동,11215730,107359,1205,1338,5278,3987,2988,3179,2151,1327,417,52,5484,1975,1400,1146,28,0,6822.360059,20037.15039,0,42107278
중곡1동,11215740,92260,969,953,2644,3276,2452,2750,1900,1128,290,49,3524,1795,1258,908,15,0,4208.975578,16376.12419,0,79262380
중곡2동,11215750,87060,1495,1687,3855,4162,3401,3904,2493,1349,403,59,4215,2234,1828,1521,26,0,3930.107359,22628.65565,15.4,35192447
중곡3동,11215760,91166,990,1260,2787,3090,2755,3279,2105,1210,359,50,3709,1904,1397,1050,20,1,2489.580976,17534.91871,10,48675931
중곡4동,11215770,89814,1960,2575,4737,4928,5009,5665,3803,2070,620,91,4682,2931,2622,2231,25,0,2522.68061,31344.50871,8,39592054
능동,11215780,123130,729,634,2343,2883,1649,1497,1146,704,227,50,3294,1257,777,559,20,3,3278.483258,11575.73021,10,41527628
광장동,11215810,108525,3632,5866,4276,4302,8177,5239,2644,1468,709,106,2105,1783,2958,4136,28,1,6875.694946,29299.24429,7.1,67761771
자양1동,11215820,99587,1325,1812,4397,4438,3928,4103,2633,1433,473,68,5344,2401,1681,1466,27,0,9047.837379,20703.56464,0,72560926
자양2동,11215830,101332,2086,2302,4052,4743,4495,4621,3193,1575,511,70,3818,2452,2300,2058,21,1,5406.940597,27852.59417,4.8,52464265
자양3동,11215840,121776,2771,3017,4232,4831,5094,4869,3133,1501,722,98,2730,2315,2509,2720,28,1,3156.050624,32472.85942,7.1,1.14E+08
자양4동,11215847,103327,1160,1219,4094,3854,3757,5236,3177,1599,531,73,5228,2065,1432,1107,33,0,2923.687423,18940.84891,3,76593672
구의1동,11215850,110851,1193,1555,4630,4647,3629,3639,2250,1387,458,60,5853,2352,1663,1245,28,0,4627.053218,22910.49458,3.6,56779022
구의2동,11215860,98962,1890,2408,3550,4105,4311,4272,3108,1652,568,68,3752,2333,2102,1870,16,0,3356.906989,25985.96578,0,58195247
구의3동,11215870,126248,2196,2875,4920,5104,5050,5020,3065,1588,625,98,3923,2454,2510,2540,31,1,9576.545888,20824.83075,6.5,73109885
용신동,11230536,120833,1667,1755,5576,5427,4757,5363,3805,2595,951,140,9148,2990,1962,1604,61,2,28668.40042,30836.29258,1.6,62042207
제기동,11230545,124386,1342,1764,5650,3855,3627,4183,3681,2480,946,135,6522,2510,1740,1412,27,1,6055.09713,24058.05615,3.7,68994146
전농1동,11230560,127935,1935,2246,4458,4314,4506,5041,3785,2492,842,120,6623,2736,2209,1850,30,0,2877.727995,30633.50841,0,57522388
전농2동,11230570,133717,1518,2022,2688,2672,3462,3330,2416,1551,613,64,2028,1767,1736,1540,15,0,2894.442592,17355.29109,0,74310994
답십리1동,11230600,122658,2452,1996,3726,4852,4310,4037,2691,1654,596,93,4238,2189,2113,1879,32,0,4930.609576,25629.11916,9.4,58958345
답십리2동,11230610,94022,1981,2430,3916,4125,4788,5109,3756,2326,839,95,3963,2787,2383,2169,16,0,3851.855033,27917.34411,0,60871899
장안1동,11230650,105897,2913,2956,5368,6951,6592,6327,4862,2540,757,135,6830,3604,3097,2655,54,0,12915.82221,35263.06156,5.6,66197618
장안2동,11230660,95242,2844,2920,3643,4995,5688,4735,3703,1966,595,112,4148,2601,2627,2425,34,0,6689.338757,29483.72308,2.9,67883641
청량리동,11230705,123481,1105,1454,2866,2914,3220,4216,3557,2419,913,124,4789,2298,1634,1306,17,1,5756.013386,21816.32308,0,56329957
회기동,11230710,172855,592,1040,4628,1765,1429,1240,930,719,266,52,3680,860,609,538,25,0,3759.536647,9213.292949,8,61175789
휘경1동,11230720,128554,608,945,3908,2115,1937,2062,1553,1029,386,50,3793,1225,861,718,17,1,2104.71754,15807.79795,0,64325948
휘경2동,11230730,116193,1626,2404,5138,3433,3864,3617,2780,1622,558,76,4893,2018,1845,1774,16,0,3498.884136,21215.02835,6.3,87485639
이문1동,11230740,124405,1318,2263,8442,4086,4132,4221,3101,2212,823,104,7985,2541,1805,1480,36,1,5685.433114,28169.98246,0,92601967
이문2동,11230750,68702,1592,2133,3183,3061,3698,3612,2654,1681,570,76,2755,1927,1709,1732,14,1,985.889279,21434.69496,0,55881939
면목2동,11260520,88047,1706,2035,3656,4069,4325,5043,3281,1860,609,80,5221,2672,2071,1692,21,0,2624.874513,25610.20904,4.8,39050107
면목4동,11260540,74020,1361,1551,3069,3266,3404,3492,2737,1670,401,64,3945,2115,1687,1348,13,1,2398.397824,27676.60078,0,57410857
면목5동,11260550,72812,641,768,1403,1597,1636,1920,1288,745,230,24,1896,1093,814,648,6,0,1143.289798,10857.46735,0,29137686
면목본동,11260565,88627,2029,2504,5688,6102,5837,6675,4493,2512,765,86,7971,3857,2853,2133,29,1,2918.550987,42666.0927,0,73360264
면목7동,11260570,87874,1294,1488,3252,3429,3405,4154,3089,1697,581,62,4147,2284,1791,1444,17,0,1077.806075,16007.22861,5.9,75762724
면목3.8동,11260575,87998,1435,1926,4101,4073,4280,5052,3665,2131,678,89,5408,2830,2190,1665,20,1,3643.235599,27210.38308,0,59249315
상봉1동,11260580,92636,2053,2372,3871,3890,4019,4591,2846,1519,552,76,2942,2256,2206,2157,15,0,2906.258552,23644.85991,0,37499442
상봉2동,11260590,103275,919,1021,3278,3806,2792,3201,2240,1249,376,46,5361,2020,1327,963,35,2,7809.272055,18904.0518,2.9,79346012
중화1동,11260600,62236,1548,1522,3202,3520,2945,3726,2668,1365,454,68,2970,2071,1762,1505,18,1,1946.488515,22153.04555,0,21751974
중화2동,11260610,89193,1317,1731,4075,4339,4358,5839,3982,2273,700,103,7059,3109,2127,1501,15,1,4471.41926,28642.79749,6.7,95204660
묵1동,11260620,105330,2857,3361,5011,5805,6106,5708,4177,2360,790,96,4468,3127,3075,2866,23,1,3150.981136,36565.56565,0,50932611
묵2동,11260630,110387,1358,1444,3051,3454,3188,3421,2641,1423,411,53,3658,2096,1708,1276,13,0,1910.103299,20531.81428,15.4,41653836
망우본동,11260655,87497,1874,2289,4558,4666,4777,6151,4493,2343,798,122,6336,3116,2558,2027,31,2,5382.065831,29327.85645,0,67943131
망우3동,11260660,67218,1056,1499,2611,2615,2856,3503,2458,1358,470,65,3544,1967,1494,1137,11,0,1736.800808,18625.83259,0,37268307
신내1동,11260680,92915,4237,3930,5404,5841,6406,6903,4673,2635,1013,192,3147,3143,3143,3647,20,0,7100.37414,43045.75039,15,43758370
신내2동,11260690,121844,1699,2142,2807,3463,3684,3788,2867,1491,632,90,2546,2181,2016,1776,9,1,4535.156923,23805.09663,0,73737065
성북동,11290525,139088,1007,1486,2872,2766,2988,2817,1890,1377,643,107,3572,1700,1218,1044,18,0,2857.766001,11955.99786,5.6,33522341
삼선동,11290555,110147,1565,2398,4881,4049,4537,4008,2819,1939,725,113,5939,2425,1900,1765,36,2,6704.199188,28457.11113,5.6,53740643
동선동,11290575,157886,748,1152,4603,2882,2286,1916,1429,1056,391,64,5441,1431,973,743,41,0,6221.795547,15867.12934,4.9,56742466
돈암1동,11290580,129046,1039,1657,2293,2268,2709,2802,2060,1193,466,49,1751,1484,1411,1320,7,0,1005.475588,16881.79708,0,26051017
돈암2동,11290590,105655,2447,3015,3008,3389,4905,3950,2386,1399,607,84,1502,1719,2149,2363,4,0,821.1067282,21796.96717,0,43410743
안암동,11290600,131905,608,1240,5854,2487,2081,2179,1419,1010,386,42,5404,1372,913,778,49,1,9863.283376,15420.23628,6.1,60155861
보문동,11290610,96817,1157,1158,3030,3066,2855,2699,1780,1068,421,57,3647,1595,1309,1148,19,1,3648.516253,17146.29916,0,45184213
정릉1동,11290620,107330,1494,1906,2586,2736,3378,2748,1993,1338,482,64,1999,1486,1581,1464,11,1,1065.841268,19196.24533,18.2,1.35E+08
정릉2동,11290630,115222,1807,2202,3196,3427,4016,3913,3084,1871,683,86,2893,2211,2057,1857,15,0,1542.2547,24592.73721,0,51955946
정릉3동,11290640,101198,865,1325,3834,2234,2301,2493,2123,1514,565,85,3663,1464,1169,923,13,0,3340.15349,18127.76496,0,89724124
정릉4동,11290650,91713,2104,2566,3435,3952,4794,4203,3334,2116,709,113,3546,2487,2381,2002,15,1,2392.454163,22641.09405,0,73582733
길음1동,11290660,111214,4786,4860,3487,5810,8374,4567,3124,2023,699,103,2555,2380,3193,3842,6,1,2160.382552,35348.41521,16.7,1.89E+08
길음2동,11290685,86189,907,1085,1586,1641,2065,1953,1496,856,311,41,1905,973,888,924,7,0,1544.246252,10518.12407,14.3,70482544
종암동,11290705,83610,3322,4201,7129,6122,7094,6384,4293,2868,1174,196,6038,3421,3295,3175,28,1,3805.611513,40006.78407,10.7,62165481
월곡1동,11290715,111180,2560,2857,3140,4020,5126,4257,3262,2054,661,82,3077,2343,2246,2348,16,0,3135.592177,26420.25202,0,45799094
월곡2동,11290725,101334,1479,1710,3520,3121,3228,3173,2483,1506,586,80,3606,1761,1550,1415,25,2,5509.611886,20748.20257,8,56801081
장위1동,11290760,59940,1155,1886,3057,2695,3451,3962,2797,1633,521,73,3186,2101,1688,1480,11,0,923.4479681,20386.36246,0,70864825
장위2동,11290770,75714,832,1373,2286,2060,2674,3182,2463,1644,541,73,2771,1746,1385,1056,11,1,2018.17878,16596.20594,9.1,52152471
장위3동,11290780,93534,894,1126,1478,1550,2043,2112,1518,920,300,31,1722,1038,912,909,5,0,1594.757886,11540.44389,0,76146306
석관동,11290810,79588,2109,2473,5094,4881,5280,5913,4578,2873,885,112,5702,3286,2766,2223,24,0,4922.450618,32307.54442,8.3,65595667
삼양동,11305534,83920,1783,2504,3627,3884,4494,5073,3726,2351,750,111,4783,2851,2324,1842,14,3,1417.946304,26818.62857,0,33872968
미아동,11305535,100387,1073,1648,3824,3366,3517,4033,3086,1924,640,61,5285,2401,1710,1301,32,1,2997.622958,25232.1267,0,48664661
송중동,11305545,124516,1616,2260,4349,4308,4771,5133,4109,2604,787,118,5377,2821,2290,1916,25,1,3278.34738,27437.77561,8,67839638
송천동,11305555,88510,1498,2106,4013,4006,4529,5573,4235,2708,898,111,6049,3052,2253,1815,27,0,3345.789782,27916.16081,3.7,46934575
삼각산동,11305575,120304,3669,4353,3438,4703,7105,4802,3047,1859,662,95,2524,2387,2753,3319,8,0,1316.555492,34180.08275,0,83953971
번1동,11305590,95096,918,1308,3386,3119,3268,3270,2422,1666,508,67,5141,2109,1451,1048,33,0,4668.441609,20890.23723,6.1,70418436
번2동,11305600,74150,940,1394,2320,2265,2822,3023,2510,1862,524,62,2483,2051,1532,1096,7,0,2023.495408,16785.92289,0,49983180
번3동,11305606,78193,1183,1697,2225,2251,3140,2953,2690,2343,572,79,2069,2088,1658,1312,8,0,1503.667107,19497.55015,12.5,81271045
수유1동,11305610,88510,1256,1642,3329,3150,3418,3893,2963,1901,649,89,4452,2246,1760,1307,19,1,2893.08561,21097.84353,5.3,64579913
수유2동,11305620,73407,1321,1743,3124,2985,3548,3938,3050,2052,779,83,3204,2389,1892,1525,18,1,2012.380303,21563.96069,0,50180127
수유3동,11305630,101505,1103,1361,4239,3889,3638,4164,3081,2013,675,71,6199,2549,1845,1249,33,1,4894.439817,23655.96262,3,74710866
우이동,11305645,68861,1390,1681,2855,2879,3408,3691,3060,2111,711,114,3407,2276,1856,1392,15,3,2360.134298,20816.73102,0,84864169
인수동,11305660,63163,2032,2539,4453,4511,5022,5685,4597,2996,1075,154,5247,3459,2738,2091,28,0,3897.557058,36968.50014,0,37846162
창1동,11320511,107254,1981,2571,3605,3977,4706,4392,3106,1894,728,113,3368,2470,2347,2156,15,1,1458.282801,21414.69578,0,82524399
창2동,11320512,80417,2340,2732,4562,4834,5144,5394,3631,2137,728,83,3514,2955,2741,2369,19,0,3721.867052,50767.44346,0,63040542
