NM,CD,,,,,,,,,,,,,,,,,,,,,,,,,
11,서울시 전체,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
11620775,난곡동,,,,,,,,,,,,,,,,,,,,,1,,,,
11650,서초구,,,,,,,,,,,,,,,,,,,,2,2,2,2,,
11650510,서초1동,,,,,,,,,,,,,,,,,,,,,,1,,,
11650520,서초2동,,,,,,,,,,,,,,,,,,,,,,1,1,,
11650530,서초3동,,,,,,,,,,,,,,,,,,,,,,1,,,
11650531,서초4동,,,,,,,,,,,,,,,,,,,,,,1,1,,
11650540,잠원동,,,,,,,,,,,,,,,,,,,,,,1,1,,
11650550,반포본동,,,,,,,,,,,,,,,,,,,,1,,1,,,
11650560,반포1동,,,,,,,,,,,,,,,,,,,,,,1,1,,
11650570,반포2동,,,,,,,,,,,,,,,,,,,,,,1,,,
11650580,반포3동,,,,,,,,,,,,,,,,,,,,,,1,,,
11650581,반포4동,,,,,,,,,,,,,,,,,,,,,,1,,,
11650590,방배본동,,,,,,,,,,,,,,,,,,,,1,,1,,,
11650600,방배1동,,,,,,,,,,,,,,,,,,,,,,1,,,
11650610,방배2동,,,,,,,,,,,,,,,,,,,,1,1,1,,,
11650620,방배3동,,,,,,,,,,,,,,,,,,,,,,1,,,
11650621,방배4동,,,,,,,,,,,,,,,,,,,,1,,1,,,
11650651,양재1동,,,,,,,,,,,,,,,,,,,,,,1,,,
11650652,양재2동,,,,,,,,,,,,,,,,,,,,,,1,,,
11650660,내곡동,,,,,,,,,,,,,,,,,,,,,,1,1,,
11680,강남구,,,,,,,,,,,,,,,,,,,,,,2,2,2,
11680510,신사동,,,,,,,,,,,,,,,,,,,,,,1,1,,
11680521,논현1동,,,,,,,,,,,,,,,,,,,,,,1,1,,
11680531,논현2동,,,,,,,,,,,,,,,,,,,,,,,1,,
11680545,압구정동,,,,,,,,,,,,,,,,,,,,,,,1,,
11680565,청담동,,,,,,,,,,,,,,,,,,,,,,,1,,
11680580,삼성1동,,,,,,,,,,,,,,,,,,,,,,,1,1,
11680590,삼성2동,,,,,,,,,,,,,,,,,,,,,,,1,,
11680600,대치1동,,,,,,,,,,,,,,,,,,,,,,,1,,
11680610,대치2동,,,,,,,,,,,,,,,,,,,,,,,1,1,
11680630,대치4동,,,,,,,,,,,,,,,,,,,,,,,1,,
11680640,역삼1동,,,,,,,,,,,,,,,,,,,,,,1,1,,
11680650,역삼2동,,,,,,,,,,,,,,,,,,,,,,,1,,
11680655,도곡1동,,,,,,,,,,,,,,,,,,,,,,1,1,,
11680656,도곡2동,,,,,,,,,,,,,,,,,,,,,,1,1,,
11680660,개포1동,,,,,,,,,,,,,,,,,,,,,,1,1,,
11680670,개포2동,,,,,,,,,,,,,,,,,,,,,,,1,,
11680690,개포4동,,,,,,,,,,,,,,,,,,,,,,1,1,,
11680700,세곡동,,,,,,,,,,,,,,,,,,,,,,1,1,1,
11680720,일원본동,,,,,,,,,,,,,,,,,,,,,,1,1,,
11680730,일원1동,,,,,,,,,,,,,,,,,,,,,,,1,1,
11680740,일원2동,,,,,,,,,,,,,,,,,,,,,,,1,1,
11680750,수서동,,,,,,,,,,,,,,,,,,,,,,,1,1,
11710,송파구,,,,,,,,,,,,,,,,,,,,,,,2,2,2
11710510,풍납1동,,,,,,,,,,,,,,,,,,,,,,,,1,1
11710520,풍납2동,,,,,,,,,,,,,,,,,,,,,,,,1,1
11710531,거여1동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710532,거여2동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710540,마천1동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710550,마천2동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710561,방이1동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710562,방이2동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710566,오륜동,,,,,,,,,,,,,,,,,,,,,,,,1,1
11710570,오금동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710580,송파1동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710590,송파2동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710600,석촌동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710610,삼전동,,,,,,,,,,,,,,,,,,,,,,,1,1,
11710620,가락본동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710631,가락1동,,,,,,,,,,,,,,,,,,,,,,,1,1,
11710632,가락2동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710641,문정1동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710642,문정2동,,,,,,,,,,,,,,,,,,,,,,,1,1,
11710646,장지동,,,,,,,,,,,,,,,,,,,,,,,1,1,
11710647,위례동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710650,잠실본동,,,,,,,,,,,,,,,,,,,,,,,1,1,
11710670,잠실2동,,,,,,,,,,,,,,,,,,,,,,,1,1,
11710680,잠실3동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710690,잠실4동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710710,잠실6동,,,,,,,,,,,,,,,,,,,,,,,,1,
11710720,잠실7동,,,,,,,,,,,,,,,,,,,,,,,1,1,
11740,강동구,,,,,,,,,,,,,,,,,,,,,,,,2,2
11740515,강일동,,,,,,,,,,,,,,,,,,,,,,,,,1
11740520,상일동,,,,,,,,,,,,,,,,,,,,,,,,,1
11740530,명일1동,,,,,,,,,,,,,,,,,,,,,,,,,1
11740540,명일2동,,,,,,,,,,,,,,,,,,,,,,,,,1
11740550,고덕1동,,,,,,,,,,,,,,,,,,,,,,,,,1
11740560,고덕2동,,,,,,,,,,,,,,,,,,,,,,,,,1
11740570,암사1동,,,,,,,,,,,,,,,,,,,,,,,,,1
11740580,암사2동,,,,,,,,,,,,,,,,,,,,,,,,,1
11740590,암사3동,,,,,,,,,,,,,,,,,,,,,,,,,1
11740600,천호1동,,,,,,,,,,,,,,,,,,,,,,,,,1
11740610,천호2동,,,,,,,,,,,,,,,,,,,,,,,,1,1
11740620,천호3동,,,,,,,,,,,,,,,,,,,,,,,,,1
11740640,성내1동,,,,,,,,,,,,,,,,,,,,,,,,1,1
11740650,성내2동,,,,,,,,,,,,,,,,,,,,,,,,1,1
11740660,성내3동,,,,,,,,,,,,,,,,,,,,,,,,1,1
11740685,길동,,,,,,,,,,,,,,,,,,,,,,,,,1
11740690,둔촌1동,,,,,,,,,,,,,,,,,,,,,,,,1,1
11740700,둔촌2동,,,,,,,,,,,,,,,,,,,,,,,,,1
