NM,CD,,,,,,,,,,,,,,,,,,,,,,,,,
11,서울시 전체,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
11215870,구의3동,,,,,1,,,,,,,,,,,,,,,,,,,,
11230,동대문구,2,,,2,2,2,2,2,,,,,,,,,,,,,,,,,
11230536,용신동,1,,,1,,1,,1,,,,,,,,,,,,,,,,,
11230545,제기동,,,,,,1,,1,,,,,,,,,,,,,,,,,
11230560,전농1동,,,,,,1,,,,,,,,,,,,,,,,,,,
11230570,전농2동,,,,,,1,,,,,,,,,,,,,,,,,,,
11230600,답십리1동,,,,1,,1,,,,,,,,,,,,,,,,,,,
11230610,답십리2동,,,,1,,1,,,,,,,,,,,,,,,,,,,
11230650,장안1동,,,,1,1,1,,,,,,,,,,,,,,,,,,,
11230660,장안2동,,,,,,1,1,,,,,,,,,,,,,,,,,,
11230705,청량리동,,,,,,1,,1,,,,,,,,,,,,,,,,,
11230710,회기동,,,,,,1,,1,,,,,,,,,,,,,,,,,
11230720,휘경1동,,,,,,1,1,,,,,,,,,,,,,,,,,,
11230730,휘경2동,,,,,,1,1,,,,,,,,,,,,,,,,,,
11230740,이문1동,,,,,,1,1,1,,,,,,,,,,,,,,,,,
11230750,이문2동,,,,,,1,1,1,,,,,,,,,,,,,,,,,
11260,중랑구,,,,,2,2,2,2,,,2,,,,,,,,,,,,,,
11260520,면목2동,,,,,,1,1,,,,,,,,,,,,,,,,,,
11260540,면목4동,,,,,1,1,1,,,,,,,,,,,,,,,,,,
11260550,면목5동,,,,,,1,1,,,,,,,,,,,,,,,,,,
11260565,면목본동,,,,,,,1,,,,,,,,,,,,,,,,,,
11260570,면목7동,,,,,1,,1,,,,,,,,,,,,,,,,,,
11260575,면목3.8동,,,,,,,1,,,,,,,,,,,,,,,,,,
11260580,상봉1동,,,,,,,1,,,,,,,,,,,,,,,,,,
11260590,상봉2동,,,,,,1,1,,,,,,,,,,,,,,,,,,
11260600,중화1동,,,,,,,1,,,,,,,,,,,,,,,,,,
11260610,중화2동,,,,,,1,1,,,,,,,,,,,,,,,,,,
11260620,묵1동,,,,,,,1,,,,1,,,,,,,,,,,,,,
11260630,묵2동,,,,,,,1,1,,,1,,,,,,,,,,,,,,
11260655,망우본동,,,,,,,1,,,,,,,,,,,,,,,,,,
11260660,망우3동,,,,,,,1,,,,,,,,,,,,,,,,,,
11260680,신내1동,,,,,,,1,,,,1,,,,,,,,,,,,,,
11260690,신내2동,,,,,,,1,,,,,,,,,,,,,,,,,,
11290,성북구,2,,,,,2,2,2,2,,2,,,,,,,,,,,,,,
11290525,성북동,1,,,,,,,1,,,,,,,,,,,,,,,,,
11290555,삼선동,1,,,,,,,1,,,,,,,,,,,,,,,,,
11290575,동선동,,,,,,,,1,,,,,,,,,,,,,,,,,
11290580,돈암1동,,,,,,,,1,,,,,,,,,,,,,,,,,
11290590,돈암2동,,,,,,,,1,,,,,,,,,,,,,,,,,
11290600,안암동,,,,,,1,,1,,,,,,,,,,,,,,,,,
11290610,보문동,1,,,,,1,,1,,,,,,,,,,,,,,,,,
11290620,정릉1동,,,,,,,,1,,,,,,,,,,,,,,,,,
11290630,정릉2동,,,,,,,,1,,,,,,,,,,,,,,,,,
11290640,정릉3동,1,,,,,,,1,,,,,,,,,,,,,,,,,
11290650,정릉4동,1,,,,,,,1,1,,,,,,,,,,,,,,,,
11290660,길음1동,,,,,,,,1,1,,,,,,,,,,,,,,,,
11290685,길음2동,,,,,,,,1,1,,,,,,,,,,,,,,,,
11290705,종암동,,,,,,1,,1,,,,,,,,,,,,,,,,,
11290715,월곡1동,,,,,,,,1,1,,,,,,,,,,,,,,,,
11290725,월곡2동,,,,,,1,,1,,,,,,,,,,,,,,,,,
11290760,장위1동,,,,,,,,1,1,,,,,,,,,,,,,,,,
11290770,장위2동,,,,,,,,1,,,,,,,,,,,,,,,,,
11290780,장위3동,,,,,,,,1,1,,1,,,,,,,,,,,,,,
11290810,석관동,,,,,,1,1,1,,,1,,,,,,,,,,,,,,
11305,강북구,,,,,,,,2,2,2,2,,,,,,,,,,,,,,
11305534,삼양동,,,,,,,,1,1,,,,,,,,,,,,,,,,
