"NM","CD","GUBUN","TOT_FLPOP_CO_1","TOT_BDPOP_CO_1","TOT_REPOP_CO_1","TOT_WRC_POPLTN_CO_1","TOT_FLPOP_CO_2","TOT_BDPOP_CO_2","TOT_REPOP_CO_2","TOT_WRC_POPLTN_CO_2","TOT_FLPOP_CO_3","TOT_BDPOP_CO_3","TOT_REPOP_CO_3","TOT_WRC_POPLTN_CO_3"
"서울시 전체","11","si","38713.7373900612410591114417425466217546","81824.0683564475585244434648499852231042","162.356737893645092594263581790713967552","79.8501814894348531025182853315335371975","38203.754511477254017322028441012794367","80635.717201407599124571437812475216495","160.108118513521745210558681130324965609","82.5962461468625910208791295655946509512","38284.4379475798644735268615457828128482","80212.9869757214842081355720363185202244","157.986092811308146017497493473184837851","78.9748168501351848810877279393390509808"
"종로구","11110","gu","23672.1760192581304421787687769646461931","63841.2525309608333916718325830495038522","65.1915819405650751585877145546269870177","132.348917660196673454224231546687201818","22324.3262917919253429542818936575398198","58734.1982776784050491041066583335616144","64.3655426106089490919654866056496693644","129.209207269416658972748649675113743164","20743.4755575215911631208695919788452765","53547.2645204524632543548421461668562245","63.5758591569968490446521182286334823755","98.9577362092015201152836384014101345303"
"청운효자동","11110515","dong","14014.2450365220941281921594272025298171","25586.4213286231238417728473487992710808","55.0393246797500636857745939234511393272","30.44570988341490736857787093208400843","13091.9145199039137017629127795023579169","24765.6706719085855008788431124091989009","53.6236279779529931079439927338543700788","29.4374375231233890791345648522839838199","13194.5978001554797133543410652047677702","24233.1611313885885791960900432487111604","52.3725471717137214345122986593269926034","43.6190969254277646931004128155120850702"
"사직동","11110530","dong","32634.8392204785734878377273568302789599","143608.670863471873803243559567812253925","79.7593793432846096583892357540264803205","604.228073270539029858131919672631982065","27081.4246188666904762929272501172552378","113924.360173666840218761698630372764083","79.2602377807133421400264200792602377807","585.079970223624025920937697666513194979","23822.5379627278946983420754822525053894","98642.2657584585131605557683122560768334","81.3428629210969066131954096188021463087","410.01897598526671801513775876832516491"
"삼청동","11110540","dong","6048.16503213493222346137484622371431528","20086.068658955815905354289064925210113","21.2915483403658438437747910367108545937","27.5360152684042907895190682594249054348","5058.7296066776274187428860503351460731","17029.3433896317417248238039941593754671","20.2567920254779999310162456741437391494","28.7001161226531151913724317923129103096","4418.55318072593904135576071835082837992","15506.2480598319095852926635777274451867","19.7034848293226945054439679455488232521","42.0872759465145958126861124205249663704"
"부암동","11110550","dong","4268.82053946158282099773877569762348612","23959.7111773267133737259511390078974035","47.2727780196212865704524654457646048845","14.0274237033749099089162824806211321608","3853.1298126420580517457074777962899355","21801.9578069860711644157213386555911843","45.60713399836046607420759236558815466","14.4325803571951094890839543109343227559","4766.82109137498013606961131521502789053","26355.0905457595179176028411385262111595","45.0444164236101888795302703790420566112","18.5246625607791252487774397970975477668"
"평창동","11110560","dong","1780.6047754256071116222789299021193497","7548.99577088499922126777606057338652673","23.0732367705375648444332626484083911392","3.02627322718614096251302878913129425296","1445.03348548562939534437935041752027699","7104.74807413530771903341360265487785885","22.3508128766368352322419101702428446489","2.94480585606632402448813331895673842984","1491.72866573218799793935473049874803819","6532.51513735638380716194036109214199284","22.2885142987216811031640489283446549018","27.7695911056799530364566485761180797661"
"무악동","11110570","dong","37316.5791447861965491372843210802700675","79721.5372225409293499845549622699792595","184.89916596796257888001412117735316182","17.0557345218657605577865054498918847359","36682.0749304973302149066678434314460968","78440.3391288998720268302369710074577468","180.817263139314240324787079122721856935","19.372490181368871629672123913331273995","36209.3905829398526102113763735051409911","78459.6553550152243943338775870438197785","179.361016724769427651030404659988526543","13.4151184855037288733948192930585587573"
"교남동","11110580","dong","80005.9110471842304520262225312229956624","122079.499362451339415144102885998418091","250.966174736184334599048039924901552917","111.465461188345666780196303062203919869","63904.584439309026732007194588858520493","96368.4792001508724424165486802883465112","299.098987522060872526860079883580518314","119.966109996143745408382990820988158202","68690.2808310369384153326934390191039415","97537.7065699882060534752735266714893306","297.410116897995029090796499534153186195","29.667827296089983026850228138273467561"
"가회동","11110600","dong","19541.9616417419361686319878578175913052","69330.9945834262040466865498441540981635","81.5847104733399138867366469603857760984","388.854099224839112545152856349349551213","18829.4398392363727706606380306455664406","68635.2439934760535076826192017717963142","78.6659166250959664037983237278481236578","390.658444512844461898242001620372827268","16601.5333397016108204110369324714931134","62117.9077731902593657903209258060293436","77.675295682661656955043498873168677981","207.552777099674156468577857499177430825"
"종로1.2.3.4가동","11110615","dong","30469.2720976026728106428673973127919839","155940.059621579441209148995947756457325","30.8144923136537694996995062523678537095","619.029460727873602580667453997307279847","26929.7642656372956138608037271919897951","134354.103888977329896063305661581925784","30.3866846510426372038820254553786324059","591.36593639075951902900823899968695997","23082.9835800014726456078344746336794051","116187.995675851779453632025352540251971","29.8724927488657955021783225743819721851","400.880461077935449582661284517188201229"
"종로5.6가동","11110630","dong","73245.6794261804343004280966127501746908","180835.216491475590821688671866531250052","89.4216609881743939189268066527581129061","328.752182592294260970496855566173196516","70725.4127955359212582404845646739411405","175871.014840793754825884585686864088081","87.7206148447962163397155917555963584271","328.235197980091089353285603979780898586","62803.5575212088767925607581996261033869","150108.697515638784519145941420640360488","86.9034456190557192673494198932343391186","259.926521477375252446921523403559855978"
"이화동","11110640","dong","42323.6068518620150535360282277225469737","164567.101879751079889755537321284436336","111.087760535534296120696001831161060521","223.032204608154288705029133933101047162","42223.1071644176492871455973828317942032","163654.197950116923917131930603279223952","108.196453597870070555920687167282184864","234.731289161480831036573694193425756994","40793.074784457083501212073348173590856","152738.932518770070154350279158361967534","105.184675537803168925946401059075022722","57.826138753284511295506293277577513128"
"혜화동","11110650","dong","68028.9295730743828268763621552686938723","135648.940715730519941823968421678063348","148.57448917293763987520914007799859296","42.6589787505930838032795919755653778557","65668.3483983077629180325892553450735941","130588.439881753513079704435448801906135","146.370068793415671878915321841069901654","43.2273058796885911773240919897735560831","59495.7646712356723439102456464850258718","117122.00218203173504244800883145914546","145.414245894482318568022299089901601908","65.2973427262307942027188425415244772467"
"창신1동","11110670","dong","116063.961839533624201486186005362110667","207205.77015585105846180757625197210626","189.994987738460865674754685118965523041","94.3583464246428343161626933000528137625","117350.16197341819417299366571243074501","207827.564074531319906751751768588257852","186.361939106068200396271415644311083153","100.278870121875325881098391703193382469","91485.9168906486000988996572151336659143","156067.152867249075759155787143717348816","175.933743957533698208032401411506672363","43.9666163197890140646077148460495642024"
"창신2동","11110680","dong","190585.175047047296141344075151251224785","196352.517224753876541673795044869900617","362.458590602983031867738774748433052864","25.078930587741263200460363625052490785","186196.051137689161236138544566620526619","189443.904070174347170163460192543975613","342.628738510350405151095696533275269453","25.351105028228377684806445090750734871","186047.210600805636343841858873664401139","190382.280277462401045149851470519619889","332.869340715741014355257632548952517225","13.3754296467953403735788606000279950853"
"창신3동","11110690","dong","57903.9911205660639134255191231558988115","107464.746334921148776765481200573463442","344.309300282107015677750543402858067798","19.886232252693890764463765434953521713","51871.9881607547518845673588308745317486","94327.6973592933450492531101142302178236","328.585302686953706701197798640336678537","20.7186791842020071220459695694399482033","54270.5914997918882671229709106044489664","104715.149146741895204180733478240762151","329.602737825463626693798270360264533136","13.8741155251352726263700689081071081719"
"숭인1동","11110700","dong","96591.8142387140642883388166924996938047","156998.491829865231842619849056285027684","282.671036460467021712412945514133551823","27.0718862051635082799427309240340066814","106463.592325268079247562052057421117761","172848.636480739260992410580419550885432","233.426388542806100254670005954970288499","28.8034733103299729281137948364917200573","97881.5509952402471523838886378322218797","162486.766873471663210531428305958771333","261.005080729969549407248170219235821047","19.4275626433310667843582780422084915342"
"숭인2동","11110710","dong","142813.007813369543440999042806580148254","216309.556073726153640674042250072346014","262.226476415199341094762148565322885827","81.7509961489660085034392182178394141086","145507.28468713131358101640585001001714","219742.171604745898537497495714889922757","290.246644257952496494000845891859403869","79.6362665004563363978362976648932618035","134281.79885581995859581951338957772188","206252.539623355519444382610244195623623","263.144714288894330298510785121207399328","54.0369075974445161721167330765977339002"
"중구","11140","gu","52511.2944933595725875878021685829816416","143044.003446770403908594160900411402361","124.354661483226381601604950274036765148","520.132428123343818165752137273408158283","51025.6436578035715256185980678037949498","138137.003658721422088677649070706497355","119.563119234625348898951697912835999226","531.006743182393210804308825314318529169","48397.9743682178945031419272728224246995","127065.871437718304013442485088450803109","125.343967517751652583900297274889601297","336.471738153337000709925205243261598078"
"소공동","11140520","dong","28870.991980694425689655923439807292733","177512.020899852333265090102844000331052","12.0442041895535585940732932295455436445","1465.79925164763842122916221996680765428","26225.045846383036184883979248249996733","162542.129776844636299881082540913268662","11.9244155402903676858139747616205879663","1489.26693702601809461996506527392397123","21610.1990233958121888217588458472542264","133100.902335225267999878033375295660166","22.3678077805994659604218302834417239111","845.283158587103771817868981709362245231"
"회현동","11140540","dong","32295.2065225159846723073455273155096678","155485.888187011044955001017081470974694","61.6296394033855068639254946589478429626","858.15287009395633696733794043750996465","33237.2988515225984507375215098986766945","157871.612541439197770117596608995398394","49.6555667342888401422814511828382620552","843.693819993072850522010192805660470716","28763.5258091295431929760903388255732766","138865.475526820713276486725712369360008","57.6712682731056170385886207825479815056","645.511372070393033266810707393907407102"
"명동","11140550","dong","54257.5527538235391771278859533418049339","222602.949867643818498474206391128362858","10.3731830580063164736409470082271113351","1647.95771041413248094141415360963629467","48088.2857484940774255993254915691476785","198053.861067763748995129332765876956542","28.5237380886982611084113334319339094424","1685.59697115128246147283101370447395084","40346.5206573237590161674760969062560053","166709.710848779918483482894309237566015","28.4834929555925140027909999808835617748","732.883996422207666899082310352356201624"
"필동","11140570","dong","16170.4107139674012157012769936829057262","50699.1781058589781033908275297514983731","29.7412144123539163379227222055393526041","155.267239003360798364438886535004545511","13854.1610961879414390140561175168759795","44407.4340695278016594199023435089696705","27.8009738225207770286483721861369467058","166.833266830387321384742167392714293746","10523.1725058995654683795631647723611014","33166.3829664701744571097134065825575799","27.8489656392304306511392571689490203499","118.786602330208380468153316028855422595"
"장충동","11140580","dong","16840.4778789166946938397095562961523705","51821.7689765331192418953799054539070537","48.3283804962437012832664461971975457073","97.0907301234740807005050808908597224373","16230.1594737927028090624590071772576504","47420.6874071034828981642119465783999755","45.9612761454072750979635998528450128563","94.260067837265521053913760470738151903","15103.6347873600572839252902415136843289","42057.4592882708993122575567340666754118","45.8133321234799984613821719563229795532","102.564658934783316254017913062174954655"
"광희동","11140590","dong","42972.871810214023051113045974775519294","153205.328775521977174273229879243936371","65.1876139508738413736756879312357205049","465.91904607941914736908478414568539564","43274.5003602155658738346657508113235138","153885.101833007551781826084973309166916","66.2206343818714305454750351159867290414","530.677352838190094541493210909232385325","42112.1913851462394702349249450285556362","145754.515842106181084456798951417183289","65.5230101947042274684157357184925414583","571.018813046108934016826158760482809601"
"을지로동","11140605","dong","61864.9930638728262308153584972868223387","159476.076325176099200507178769078434608","27.8915643948739650955126770182986309114","486.623650151222277958147947837709329704","59440.992266504142885853731865172798617","152923.032190492685612887307949340945372","27.8752248726742732589013632063371202899","479.761050827351706581396146813874868671","55817.8339349000756519877845732035103829","143408.745892652607052464571830990518175","28.9209542934545508020254471718738000663","259.406254442307598041218078700942627036"
