NM,CD,GUBUN,2020년2분기1층,2020년1분기1층,2019년4분기1층,2019년3분기1층,2019년2분기1층,2019년1분기1층,2018년4분기1층,2018년3분기1층,20202분기1층외,20201분기1층외,2019년4분기1층외,2019년3분기1층외,2019년2분기1층외,2019년1분기1층외,2018년4분기1층외,2018년3분기1층외,20202분기전체,20201분기전체,2019년4분기전체,2019년3분기전체,2019년2분기전체,2019년1분기전체,2018년4분기전체,2018년3분기전체
11305575,삼각산동,dong,127057,126021,136016,157388,153338,141235,114469,117419,130806,137008,143573,104772,99443,105354,80793,86919,128526,130954,140518,122709,117408,119308,100999,106744
11305590,번1동,dong,95557,97625,97854,94509,92235,99093,92919,86695,60055,55957,59083,74491,81510,93551,101263,80657,82377,81549,82874,86850,87945,96796,96115,84494
11305600,번2동,dong,70717,80947,80516,94470,92725,105134,93555,76701,92619,90143,78981,31002,40702,37624, , ,78246,84396,79940,71391,72907,81307, , 
11305606,번3동,dong,97154,100392,101147,97347,99483,101969,103655,96631,38600,49113,50119,111313,120014,111777,129655,60625,67227,73150,77820,103919,109064,107200,117655,76280
11305610,수유1동,dong,99017,96258,98833,95645,96451,94195,82726,84558,37790,31372,37336,38579,37453,38494,39738,45475,82762,78151,80310,77137,72676,75313,70659,74641
11305620,수유2동,dong,80314,77366,76106,78396,79360,78514,79609,74236,55519,137379,121134,109535,136289,57242,120547,112603,71731,95663,91115,88074,98615,72077,91047,86085
11305630,수유3동,dong,121017,106824,110980,113388,120010,116328,104355,105092,71545,82220,96183,85847,73226,64520,53681,52670,102465,98307,106704,105926,106726,100292,86893,85938
11305645,우이동,dong,80774,83913,76323,77757,82934,76616,78845,74347,46454,48809,50790,34001,33166,34348,27015,33813,71891,76179,70431,67149,70684,68691,69126,67236
11305660,인수동,dong,65162,66576,68090,63580,60844,60199,57805,61153,51524,40638,41540,38660,39692,38860,38403,38151,60327,58028,59470,55498,54686,54431,52954,55722
11320,도봉구,gu,100812,100935,106292,109534,103940,103151,98833,94098,53244,46416,47889,47048,50630,63330,63400,61634,81991,81075,84590,86911,84192,89007,86440,81988
11320511,창1동,dong,100710,90213,85155,78693,81261,100679,94881,102860,61372,53098,50364,46554,51302,109011,149106,129391,83579,73575,67263,65459,67643,103803,113860,113861
11320512,창2동,dong,90065,89858,90010,95812,101554,99387,106908,94434,38765,41590,42649,40464,34842,34518,38664,41146,68236,69534,73433,74449,80263,79427,76198,70455
11320513,창3동,dong,79993,92028,95070,91038,80754,69342,78601,74263,33881,66950,56439,52027,57630,53532,44223,46944,64622,86803,81634,76994,75359,65262,70744,68019
11320514,창4동,dong,173094,165312,206669,199274,215119,218785,210547,194223,80357,64235,62516,62565,95620,131896,123252,111534,109262,104133,132533,130919,143420,167543,148927,134273
11320515,창5동,dong,132260,128163,127430,149785,140496,136384,132242,126148,59935,55909,45990,47304,59040,61002,66712,59355,96423,100373,93140,112340,105586,99354,100788,90366
11320521,도봉1동,dong,90325,105544,117455,113787,98691,82388,74754,72068,34773,27532,34124,37050,40293,60097,66939,64387,74157,86041,89269,87444,80004,75131,72848,69873
11320522,도봉2동,dong,101683,90561,89753,95328,105854,109508,104090,93037,60520,50499,51130,56195,51395,64895,61792,58394,83846,72756,73602,79838,82514,91849,85381,78657
11320660,쌍문1동,dong,70214,60959,81798,83358,95225,103592,97956,100872,37413,31942, , , , , ,32304,61657,54364, , , , , ,85634
11320670,쌍문2동,dong,94134,92455,99402,104458,101101,107875,106169,93748,45571,46962,49022,45267,39083,41486,38344,44349,73385,78610,81575,81545,77421,80318,83561,77982
11320680,쌍문3동,dong,121258,108548,106996,93748,72936,79202,79063,83130,44503,31648,47561,49123,49032,57754,30565,28352,96621,83335,89270,80563,64968,72703,67424,64241
11320681,쌍문4동,dong,114171,95068,92664,103478,118387, ,143187,146493,58775,58269,49703,52515,57300,57969,58871,55412,83557,76669,69920,77997,84450, ,91300,100953
11320690,방학1동,dong,103418,109778,120121,132908,118707,104668,100676,87794,48851,44539,59408,59650,57099,64738,38105,40311,87188,86519,101020,111847,100305,95488,81537,74156
11320700,방학2동,dong,85839,81573,80547,74675,74361,90956,92043,95385,28756,29894,30453,23984,23524,23672,21040,23123,70997,72003,70324,63741,60497,73829,74949,76966
11320710,방학3동,dong,85367,79830,81996,93518,94694,93208,94239,76288,82667,44395,42246,39562,42060,42357,43884,44840,83726,56661,57152,62452,64617,69278,73258,61392
11350,노원구,gu,136712,136970,135885,135390,133134,132841,133053,128887,71781,70031,68921,70094,70780,74470,76301,72289,104896,106488,105867,106095,105277,106888,107163,103291
11350560,월계1동,dong,138209,152772,145135,148021,133370,117477,112162,112322,58779,53587,51213,43427,41228, , ,31939,105387,111086,112262,107610,103424, , ,91482
11350570,월계2동,dong,88552,72705,83642,113826,131897,132462,131849,90125,86025,49347, , ,38800,38919,39060,44374,87478,66216, , ,96090,97384,94733,69009
11350580,월계3동,dong,190722,155292,172907,163636,148960,265519, , ,77628,76152,87456,95451, , , , ,121609,112125,136928,138067, , , , 
11350595,공릉1동,dong,111611,112986,117987,117557,113500,114139,115559,102639,64015,56783,55701,47558,46698,50292,44599,43745,93340,90724,91293,90775,87993,92557,92275,79268
11350600,공릉2동,dong,120824,134548,128258,130346,140378,116374,119458,111519,82604,96186,71782,83412,54931,53588,64104,60635,102934,118729,106708,113692,111896,89466,94644,91166
11350611,하계1동,dong,100393,104567,112099,107350,107662,99506,99506,87944,73784,62147,76124,65271,100550,137138,93356,93178,85268,80923,90983,78420,103217,121458,95919,90561
11350612,하계2동,dong,174586,189839,239823, , , , , ,95067,81632,83701, ,57281, , , ,137477,143464,161762, , , , , 
11350619,중계본동,dong,128484,100159,108955,109523,112986,167169,147286,164008,73800,70013,63319,68608,68459,84643,90428,93259,96447,84313,84135,88136,87687,113210,111750,120095
11350621,중계1동,dong,228056,221446,205520,179917,171461,114483,130992,170430,91343,78498,76156,74715,63694,74599,166065,116948,137506,139761,129795,124222,105143,87894,153539,133965
11350624,중계4동,dong,152226,130290,129290,110273,103525,135637,101966,110099,58390,71976,71117,83149,89932,87391, ,44380,106926,104713,103839,96363,96934,116339, ,88192
11350625,중계2.3동,dong,176838,244997,239022,282221,245656,232363,209311,174749,83975,95250,105136,123491,92311,90824,97657,87251,111834,125200,139386,176401,137037,140363,134875,106695
11350630,상계1동,dong,124155,136347,128680,129501,117979,113008,114205,111382,51611,52335,47537,47554,49605,58068,57301,58091,90812,103968,99173,99882,96816,97496,95008,91048
11350640,상계2동,dong,151049,163324,162140,163832,185410,170832,180472,170148,85535,86348,102057,107131,109631,99936,93271,86944,122898,137069,139350,137662,147862,134051,136871,135480
11350665,상계3.4동,dong,90160,86856,78933,80623,75983,75056,78929,83500,45947,40859,40479,36194,41416,41279,94490,85428,78951,75705,67397,63424,64101,62671,83375,84003
11350670,상계5동,dong,102078,88974,88279,92695,88078,82472,76481,86352,39068,37787,41844,44044,45144,42669,34345,33045,74431,63381,64639,69270,68201,60693,53657,61831
11350695,상계6.7동,dong,198330,172108,167059,181226,184853,173690,178023,162364,90704,85484,67718,66943,91756,90650,88569,85193,133918,126797,120098,126201,135855,135033,130500,120650
11350700,상계8동,dong,163237,182386,131066, , ,125007, ,175582,59285, ,61107,61107, ,57052,41377,39072,113624, ,99266, , ,85367, ,107327
11350710,상계9동,dong,204162,184377,146774,133025,132678,124765,127487,141254,55313,52289,57051,60786,55209,55453,55687,53448,110323,96319,106399,108945,104507,97040,91587,92473
11350720,상계10동,dong,188675,148789, , , , , , ,57421,62442,54461,47169,46341,49327,50923,54834,93629,96981, , , , , , 
11380,은평구,gu,110909,107123,105135,105636,106182,104096,99213,99627,72227,72526,71218,69099,67408,67726,69754,69457,96220,94239,92858,92543,92886,91850,89616,90042
11380510,녹번동,dong,104302,106287,98727,99077,107256,103680,103932,103087,69272,68099,58045,56285,61624,68198,66636,61900,89313,89618,82967,82436,89636,90000,88675,87104
11380520,불광1동,dong,128478,115758,120865,117333,133751,137065,126518,131320,59970,64607,68181,64504,64281,62801,55808,60115,102572,95777,97211,95580,108742,113613,111267,115198
11380530,불광2동,dong,144442,121774,120474,117915,116847,107318,104212,112706,72285,78303,49751,51870,58155,58115,58018,57833,115959,104233,97143,97180,100360,91327,89593,95378
11380551,갈현1동,dong,109995,108005,117894,132386,127468,121583,103422,95136,68262,57665,55735,52341,60048,68180,68601,73544,94016,88360,94584,101525,104742,102835,89716,87069
11380552,갈현2동,dong,111055,108852,102815,100543,93562,98501,96431,105816,58262,47653,50719,51377,43086,43997,40036,33733,92406,91913,87231,86203,79706,84351,84114,87989
11380560,구산동,dong,103211,103007,95730,73775,65642,74058,74316,76677,63846,43884,57626,58943,67756,89301,69344,62644,88306,75527,80761,67684,66480,77169,73258,73626
11380570,대조동,dong,123595,127126,127372,131421,123953,115740,101106,94900,93626,108110,103533,106044,62907,59286,78884,78848,110764,119379,119157,122559,103757,96198,93263,89661
11380580,응암1동,dong,114290,116429,116538,116653,104676,95557,97228,105395,50225,65643,71438,78066,83387,81112,67829,58199,88946,99800,99971,102904,97580,90927,87837,87696
11380590,응암2동,dong,94917,87781,87653,105829,117947,112397,113860,96177,94853,92925,109367,99086,120496,114237,100210,104931,94890,90782,98038,103132,118758,113164,107655,100116
11380600,응암3동,dong,109235,103424,101190,97013,101563,99456,95738,91909,52050,48131,56627,58149,50450,51254,43827,41597,92026,85871,86084,83941,83411,85279,81318,78640
11380625,역촌동,dong,96218,91025,95131,95446,97973,97984,92174,95134,57278,62069,63830,69015,67826,58061,58745,55809,83195,81046,83370,85619,86925,83148,81031,83336
11380631,신사1동,dong,93252,84368,85846,90568,90614,88155,83007,87222,76167,73514,81804,46392,108219,125621,114502,117681,87728,80599,84566,79115,95830,96481,89756,94421
11380632,신사2동,dong,84341,82622,73971,76291,76533,79536,74626,74455,82759,95784,103712,79300,69761,65047,62971,66561,83870,87702,86088,77555,72931,71865,68669,70946
11380640,증산동,dong,104629,102552,76088,74613,78440,75610,74522,72918,53881,40502,38053,35478,57713,59146,61221,63793,90374,91602,69044,65068,73356,70242,69622,70094
11380650,수색동,dong,80087,92054,88346,101606,97136,93747,107987,70702,37764,53885,61596,59891,69722,50705, , ,65437,75090,78315,83356,88569,79400, , 
11380690,진관동,dong,124679,116545,118110,119029,130484,141107,140713,143247,105591,105998,100066,96715,91968,98740,130456,125993,115091,112192,109877,109771,116270,123696,136983,136297
11410,서대문구,gu,130370,126994,125631,123293,123256,130409,126403,130910,75707,72976,72402,75928,82505,85024,82756,80800,107116,104726,103222,104119,106692,113214,111213,113606
11410520,천연동,dong,133552,127557,119084,117486,129935,126880,122195,106338,66379,59820,69243,71771,75429,68730,50458,43192,107465,97292,96933,94628,107492,108122,99054,85289
11410555,북아현동,dong,134726,104061,87626,96284,105222,121181,133247,156231,96341,73132,65481,61384,106678,94412,136130,137364,119372,93751,79442,83756,105742,111447,134350,149223
11410565,충현동,dong,114423,110312,120679,102869,118171,120569,117624,118969,72195,81052,71100,85718,112716,133057,142324,121506,94509,97129,97499,95151,115833,125225,126231,119975
11410585,신촌동,dong,187060,185528,177548,173241,190797,224727,216111,225167,86988,90143,93765,94928,94891,93737,78590,82530,137483,137835,134934,134860,143103,161372,152953,164309
11410615,연희동,dong,94928,107496,111028,108693,110370,112806,106318,106353,90252,77915,72674,79904,87374,94639,83196,84753,92529,93449,94075,95841,99523,104470,95981,97271
11410620,홍제1동,dong,156304,134221,141358,109014,100415,117383,130542,109910,70565,102033,57921,47029,42848,40403,44648,52371,125274,128742,125835,96617,84224,88872,95000,90182
11410640,홍제3동,dong,120613,108688,105618,118186,108586,118282,112876,105015,47664,37078,58563,55690,80571,82685,64676,71350,104600,96341,93419,102562,101725,108112,102788,97801
11410655,홍제2동,dong,115926,173398,194467,212912,234712,178528,166576,145181,65592,49975,61011,60495,69529,63626,68314,78428,92623,125928,135746,136704,152120,114183,114859,117695
11410660,홍은1동,dong,85653,73979,85120,82729,78321,84184,78912,80199,51487,55309,53097,56465,53094,45817,68909,62025,70092,64454,69108,71915,67284,72955,76016,74293
11410685,홍은2동,dong,100239,98888,100095,103878,90499,114069,105098,103574,57959,57334,65978,55203,55569,60637,50631,51378,84798,81259,86138,87653,78273,98633,92529,87418
11410690,남가좌1동,dong,133985,152798,140778,133210,137421,113347,138825,227469,89429,63025,66425,62414,77457,92650,108906,113238,118024,128713,123168,113902,116808,105298,125736,184632
11410700,남가좌2동,dong,117254,109731,118018,127157,105295,108688,98346,86083,45491,56149,63997,73220,70890,66243,56228,55919,93793,91009,95690,108120,94196,98754,92220,80882
11410710,북가좌1동,dong,111765,98085,90304,92840,98704,80992,87376,90512,82367,77363,63349, ,77985, , , ,101476,92433,81727, ,94200, , , 
11410720,북가좌2동,dong,100277,93057,94961,93589,83187,83126,95551,99205,55820,43646,49577,62890,72144,75962,72762,57599,83858,73930,76181,80601,78688,80675,88628,88071
11440,마포구,gu,146291,143138,141578,140062,141500,140850,138548,145670,104173,103387,104652,103115,99578,98002,97323,103190,122162,121217,122090,121108,119977,117993,115411,121602
11440555,아현동,dong,159789,153369,159651,152935,157396,168915,172582,196919,84704,90012,92996,102259,101524,88528,94174,95675,114541,116129,121415,124041,126868,125560,129644,144272
11440565,공덕동,dong,98573,95283,93245,97620,93005,94021,100792,100351,84888,79000,85917,81807,79996,70572,67165,71985,91588,87409,89616,90513,87024,83179,83979,83508
11440585,도화동,dong,151398,156659,138942,181137,202560,186060,194225,186688,114629,118966,130537,124228,105870,87657,81184,83773,129337,132966,133845,149212,150186,138681,136390,129144
11440590,용강동,dong,163062,175327,190437,156460,165496,152912,135298,136759,101452,106386,88942,77798,64738,63210,62192,76135,118205,126287,118648,100121,93348,90884,83739,91588
11440600,대흥동,dong,160796,147738,144514,136781,134605,124487,129630,131612,73029,71722,74511,74204,77366,76679,85804,97202,118797,106525,107762,105933,108439,103315,109006,116718
11440610,염리동,dong,156230,145494,132735,122056,125407,122033,124825,120663,66743,62355,71275,79082,91804,89831,81408,125412,123689,115902,113738,112506,117406,113776,108699,122682
11440630,신수동,dong,112775,91125,99402,100058,121770,124548,109691,134071,89761,64598,64274,60940,63893,63747,58494,61922,100692,77483,83049,82846,99409,100548,90829,107490
11440655,서강동,dong,150010,147395,148660,151220,159598,159219,152053,155511,115409,103884,99793,97341,95803,101637,105577,98727,130492,127881,129523,127138,131018,130428,125558,126087
11440660,서교동,dong,167382,156598,154751,154854,153770,150469,146998,162774,115290,113709,117243,117669,119495,119551,119761,127306,133700,129587,132061,133307,133860,131646,129598,139924
11440680,합정동,dong,136834,159000,155150,147097,140609,125270,129831,138176,122209,123579,115742,107165,89331,89111,93623,102319,128402,137859,131357,125045,113084,105240,109322,118402
11440690,망원1동,dong,146018,138108,142085,134189,130339,136752,124115,129780,91116,76212,84799,88412,87732,83079,70283,80179,123169,115254,121410,117543,115325,114244,101581,109826
11440700,망원2동,dong,114986,123015,116953,109101,109939,111145,108043,111034,89898,97680,89142,83560,59836,57880,76293,76495,104851,113697,108576,100177,92433,90820,97053,100581
11440710,연남동,dong,134783,129145,132063,138813,130961,126666,128029,126380,105063,104260,104328,99769,104543,99239,98139,107314,120279,116219,117506,120109,118288,114041,111866,114737
11440720,성산1동,dong,109252,102437,106080,102902,105097,104942,100597,101720,67998,71681,79079,84108,74309,74090,61003,54321,88766,87713,94356,94131,90156,87621,78400,76539
11440730,성산2동,dong,123196,121125,126217,113312,118071,140666,136747,143958,85165,68883,72348,75915,78146,105698,95461,109422,104766,96616,103996,97074,99644,125544,116930,128053
11440740,상암동,dong,182696,194594,179431,178407,192119,199671,190118,189513,109340,125734,131948,129855,122488,119021,110091,106935,134152,152626,150053,148246,146708,143782,135863,134461
11470,양천구,gu,118804,117767,121866,119994,121681,121926,117873,117980,70482,66494,67659,69540,68869,67755,66749,64353,96310,95671,98155,97691,98297,98426,95263,94989
11470510,목1동,dong,167303,164926,187297,187285,200270,204936,178188,164234,112372,94327,90311,98544,103119,99002,98951,85649,131652,119651,124170,131390,141260,136538,127890,114925
11470520,목2동,dong,123602,112120,108047,109433,101236,93391,89471,97498,79792,71980,73714,77825,76329,87946,87709,72929,107215,97293,93072,95145,89771,91544,88883,88780
11470530,목3동,dong,129992,121981,132359,119322,119871,128763,123460,139343,59423,61307,57374,69694,61293,60867,59433,47823,95349,91112,95632,95450,91819,100075,94648,101209
11470540,목4동,dong,109560,111534,111784,112013,93014,99924,101194,107366,46782,52733,54508,51427,54743,49182,47264,47920,85557,91124,92877,89981,80447,85426,85096,86194
11470550,목5동,dong,225344,206114,220708,204653,179597,196212,164398,163717,83033,88483,88226,89785,89721,85172,80530,79371,143385,149292,155150,144792,131306,126298,100659,105548
11470560,신월1동,dong,83042,98129,95224,104127,102844,94044,100673,90369,34027,34774,33991,35604,63358,64941,59826,67560,68696,79853,77518,83236,89682,86107,88105,83944
11470570,신월2동,dong,85564,88723,97354,102394,96441,87570,77220,80855,50444,43494,41525,44880,40876,45954,55517,55656,68004,68416,68869,71630,62485,65161,68922,72456
11470580,신월3동,dong,83498,66646,64728,69948,76592,81027,90347,89607,41133,42736,48013,51156,51289,46052,35335,33618,68574,60125,58997,62901,66953,64885,68342,67698
11470590,신월4동,dong,84868,85973,80132,77374,78040,108069,121128,125186,45191,43490,48849,48234,50679,51290,63851,62349,73160,73343,71442,69819,71526,98336,109336,110823
11470600,신월5동,dong,82168,81476,81177,75713,79424,77061,78602,74980,44604,39582,44737,30949,30827,32004,32674,36607,71650,68508,70245,60365,64342,56034,59597,64016
11470610,신월6동,dong,86665,91783,88739,95290,98771,103225,78400,77475,43828,47728,47670,36473,34666,69266,74241,69360,75446,78567,76570,78485,78739,90019,76932,74319
11470611,신월7동,dong,89006,94838,98308,98926,85517,78624,73360,75343,41271,43289,46611,44213,47719,43481,39106,39877,70900,78084,79445,72961,66989,66459,61942,66091
11470620,신정1동,dong,110205,112028,117010,119234,119243,126832,125096,123939,63638,53538,49079,48769,45840,51228,52217,50508,90200,93228,92973,95302,90159,94218,96885,96665
11470630,신정2동,dong,104776,107798,124187,132239,153387,142966,135002,136550,71340,88246,86958,90966,67891,58471,53218,54456,87544,99732,108799,112978,116535,110027,104711,104299
11470640,신정3동,dong,142228,136244,146531,148030,130896,137258,137657,123622,52709,52217,56054,54012,62116,60881,57934,51952,90554,84280,92810,101021,98611,104895,104024,94740
11470650,신정4동,dong,106319,101246,101546,94711,111366,116340,120101,119908,64513,58362,62063,61553,52908,54547,55427,60725,85843,81124,84807,81448,88115,89803,87764,90882
11470670,신정6동,dong,204418,186619,184136,182922,161151,170505,198579,214995,88675,92425,100325,108865,124940,94219,66755,81610,133394,141406,137358,148538,144856,135296,123251,137546
11470680,신정7동,dong,138659,166928,173109,159610,171447,158571,159061,171273,83271,77503,82983,83871,80904,78545,100927,88219,114241,132784,138162,126595,128838,117178,128056,127303
11500,강서구,gu,129933,129030,129420,131068,133785,133229,133897,126634,73660,75464,75243,72972,70141,76132,73188,71726,100997,102080,103787,104918,106206,108286,107288,102345
11500510,염창동,dong,103649,105542,110663,112650,112480,127321,117770,112451,65727,68782,74846,62488,60368,83841,72202,69377,85145,87855,93972,90989,90823,108386,96557,89568
11500520,등촌1동,dong,124093,139494,132018,99949,89705,90788,96619,92270,59561,63419,56709,59330,60686,59044,49773,48683,87927,95490,88872,78848,76372,77308,78707,73422
11500530,등촌2동,dong,86348,90672,98491,101371,107480,107636,102041,87173,70744,96943,83496,42624,55559,49370,63483,79557,80259,92714,93361,83295,91746,93070,92636,85369
11500535,등촌3동,dong,149161,151720,136670,148613,152034,141066,141841,117643,85673,97406,76519,65075,56168,63995,62151,63374,109404,120037,105520,108997,104639,95524,88714,79202
11500540,화곡1동,dong,103564,96331,108277,109205,107443,107403,92800,90770,58138,54541,54412,63542,64396,82403,73260,64156,86251,80853,89884,93310,91155,98881,86231,82366
11500550,화곡2동,dong,84558,81370,82327,87434,95735,96005,91258,84071,31445,31220,50291,89310,77416,76442,60967,40745,70450,70337,77096,87713,92438,91559,82928,74443
11500560,화곡3동,dong,125647,133359,123746,122063,122846,111713,110223,110066,70187,64348,68661,77090,92385,82544,65286,56319,102884,107069,102761,105873,112490,98170,88980,82721
11500570,화곡4동,dong,124228,110102,109244,120781,122191,124698,128149,118144,49828,62070,72040,71869,64021,57616,38251,53159,103138,94819,98376,107062,105352,112240,109641,102336
11500590,화곡본동,dong,107019,113843,116375,108479,105134,98917,107343,116790,62638,82718,69171,66241,72129,50051,69752,70954,91143,101900,97690,91584,91932,78835,92307,97873
11500591,화곡6동,dong,98422,109570,109083,108979,104271,99713,106555,107655,77763,78769,78952,77308,53744,50744,69401,67135,89943,96799,96284,94609,82759,82395,92568,91954
11500593,화곡8동,dong,141799,130688,134596,131435,146460,170331,173239,163921,47969,38498,44341,57001,72000,134178,101433,90311,111091,101187,111508,118674,134703,163277,149861,138921
11500603,가양1동,dong,206388,223449,221169,229347,236100,238109,255098,239795,87499,86048,90087,91790,86946,89769,84839,85404,122962,129254,135288,143503,144927,144051,147962,142866
11500604,가양2동,dong,157863,163956,168512,168512,180154,151529, ,156509,75329,66903,49064,53566,59909,62348,73333,75972,108343,100498,111177,113338,127547,109911, ,106948
11500605,가양3동,dong,143167,193679,151527,113144,98568,95083,80924,84484,87564,83367,98350,111767,110548,141205,98895,82569,103278,105430,111186,112126,106954,127640,92904,83305
11500611,발산1동,dong,130124,120116,118527,123580,118303,115386,115045,104544,64072,60835,58751,54503,51946,50805,47878,42781,86619,83200,82234,82438,81776,79594,82841,81175
11500615,우장산동,dong,141462,129003,121042,125925,137671,148765,151443,135494,69628,77001,79120,73938,70994,68082,85594,88606,111237,107859,105798,107233,114940,121569,127664,119483
11500620,공항동,dong,101476,92974,97439,105695,120392,123722,120967,120359,90511,89183,89061,46698,57485,96910,98355,97119,97669,91552,94886,87448,100287,115706,114258,112096
11500630,방화1동,dong,142739,113398,118600,115004,121070,120472,115786,118163,64361,71792,68228,64383,61963,72970,75856,76873,107644,95643,96539,94570,100411,101826,101169,102807
11500640,방화2동,dong,85806,76013,68912,61127,61987,63438,71718,74040,76941,65222,67879,62543,52485,51810,35986,37869,82614,72953,68611,61481,58964,58681,59554,59974
11500641,방화3동,dong,138970,151230,148254,141200,147961,131854,166335,146749,62294,67207,62886,59419,62791,75032,71056,74837,104117,109219,107941,100309,110699,103443,116931,113190
11530,구로구,gu,125076,119986,119714,118758,117675,112623,111960,112279,91678,85037,90650,89128,89158,88740,81150,81190,108346,102693,104946,103790,103372,100534,95966,95907
11530510,신도림동,dong,127137,135559,134139,140322,129209,113670,109397,129538,118890,93775,105068,119927,130869,140229,110473,89506,123033,114667,121070,130876,130001,125978,109877,113293
11530520,구로1동,dong,162310,153878,124888,135533,138793,116460,126216,124024,101995,61229,55590,44850,52621,51253,55466,57776,136792,118014,92549,104142,101862,85161,102633,97525
11530530,구로2동,dong,121898,111513,117698,117441,112997,114919,113705,113233,97709,81709,83139,84349,85300,88496,84425,87345,108526,94719,97346,97607,96546,98679,95331,96774
11530540,구로3동,dong,172368,155814,160800,162745,168180,153840,161179,179098,106854,103508,111288,110558,112183,120857,114657,115556,126907,120626,126261,126336,129806,131513,129426,135497
11530550,구로4동,dong,145626,152001,141528,131056,128100,127658,124676,129661,61079,76562,103073,98250,99113,81381,46896,49528,118654,133354,129019,120120,117592,112804,104432,108703
11530560,구로5동,dong,101415,96066,95918,94525,111857,102922,109186,100837,100862,111589,121098,118870,112732,97118,86287,87917,101061,105604,112488,109823,112440,98830,93226,91900
11530595,가리봉동,dong,128673,117551,110457,103469,94573,84621,92925,88675,60136,51764,42780,39234,39879,36461,30225,28636,110871,97188,90552,82822,71784,74588,75825,72300
11530720,고척1동,dong,151326,142898,142117,130441,101455,110201,98982,95638,56552,54441,54497,45193,44523,44458,48155,47564,106332,102690,109474,96951,78426,83046,73882,72893
11530730,고척2동,dong,91993,84911,88922,82524,79060,78301,66051,67520,73952,47568,42162,42502,44577,42092,39133,40494,85889,71731,75169,70209,69605,66231,56014,57541
11530740,개봉1동,dong,91468,85716,76321,77208,91282,98441,94366,95135,47537,54595,57016,53061,51088,43694,38155,34379,79001,78393,69709,68515,79647,82799,77711,77165
11530750,개봉2동,dong,118448,122771,122749,138161,139488,126892,130002,112044,88091,110089,127271,129207,77627,82219,62192,54435,105530,117533,124221,135375,120786,110270,102878,89350
11530760,개봉3동,dong,93711,95081,102646,94031,96867,89238,83824,87591,38865,49895,42209,43459,41529,31435,32030,30816,76572,82027,82500,74849,76744,70537,66560,63782
11530770,오류1동,dong,149505,168058,162548,157809,153515,115770,110190,120475,90045,77344,83598,39730,39766,42834,52346,61898,125721,118757,125827,103557,117765,100754,94968,103246
11530780,오류2동,dong,107969,102656,95391,114812,126987,130308,135298,110740,70967,56631,55773,57232,71822,84396,78164,79983,90722,83479,78412,91469,105096,109602,107314,93854
11530790,수궁동,dong,95966,81349,76083,80973,80094,81278,82386,70443,62805,31563,29846,29202,35180,34358,38257,39144,84597,66297,59838,62783,62128,60052,62773,57639
11545,금천구,gu,123501,110345,116207,113393,110918,109204,102341,101664,86218,90378,85304,79806,78621,67457,63668,64910,102905,99242,98660,94387,93200,86429,80914,81184
11545510,가산동,dong,166558,139572,149305,145606,137590,133177,118967,103758,86548,86000,85528,87484,90450,80785,81062,83887,104862,99446,101335,101471,101121,92704,88946,88374
11545610,독산1동,dong,109787,94595,106012,104233,110389,111957,108251,105717,76056,101125,92129,82800,79092,56118,46510,46679,92057,98414,97992,91874,94040,84276,75410,75371
11545620,독산2동,dong,94324,84092,79242,80031,90324,84197,83334,80719,29520,26493,47477,45501,48917,54574,43502,46820,74073,70012,71679,69343,76822,75527,73121,71259
11545630,독산3동,dong,93418,84324,84406,80835,86576,90039,94747,100199,60727,48067,63484,65728,70718,59480,45100,52327,83073,73234,78972,77411,82414,79720,77763,79435
11545640,독산4동,dong,107298,99794,106292,109238,102744,95417,83528,79049,65173,74694,81860,33783,34596,35634,33567,34692,99317,92903,99474,87679,84158,81830,72667,69611
11545670,시흥1동,dong,136440,114362,115630,116809,111267,118723,116277,118053,74720,71837,49947,48130,40300,42967,41506,43873,111895,98790,90024,93496,90782,94619,93481,90803
11545680,시흥2동,dong,152894,167667,220827,154385,123494,152814,117841,117841,76365,72754,43684,45436, ,47599,41735,40650,119847,120210,154398,112482, ,119935,89301,83534
11545690,시흥3동,dong,110290,93004,88688,84629,86902,84551,87328,112970,132303,140322,120987,87110,71750,44364,37787,39141,122980,119455,108759,86160,77748,61268,56807,64622
11545700,시흥4동,dong,99453,125396,137293,124566,120069,85187,72584,74779,67956,87776,34850,34090,33286,35546,23600, ,86484,111289,97892,96487,99121,76323,61699, 
11545710,시흥5동,dong,110252,112292,123865,143357,137902,125931,116139,102226,35826,33709,49005,48700,51163,55912,40310,63243,96297,96284,102476,112491,111717,108083,95918,90177
11560,영등포구,gu,124311,117531,113570,112877,113743,115338,115104,114619,86428,84262,79359,79890,79485,74571,73937,70306,105790,100941,96366,96426,96914,94899,93707,92041
11560515,영등포본동,dong,89692,100764,105249,98479,100810,91780,91637,94151,142357,137411,92407,113202,113769,122535,109680,95250,119422,125571,96768,108294,107289,108062,100859,94701
11560535,영등포동,dong,136441,125932,118768,116882,123568,123854,132245,132615,111514,135432,105698,95256,89686,71182,73994,74892,126005,130016,112547,106245,106193,93561,98908,100903
11560540,여의동,dong,204094,198252,211045,214929,225105,228571,196761,202002,97177,95882,101578,100953,99598,90219,85885,86789,128036,121475,129827,130804,130334,123494,108601,110053
11560550,당산1동,dong,107130,92233,90347,95363,93185,98208,101527,102363,65382,54194,50991,52366,58720,59785,63341,60671,86110,73118,71850,74853,76248,78759,80014,79039
