NM,CD,GUBUN,2020년2분기1층,2020년1분기1층,2019년4분기1층,2019년3분기1층,2019년2분기1층,2019년1분기1층,2018년4분기1층,2018년3분기1층,20202분기1층외,20201분기1층외,2019년4분기1층외,2019년3분기1층외,2019년2분기1층외,2019년1분기1층외,2018년4분기1층외,2018년3분기1층외,20202분기전체,20201분기전체,2019년4분기전체,2019년3분기전체,2019년2분기전체,2019년1분기전체,2018년4분기전체,2018년3분기전체
11170510,후암동,dong,110670,114071,117814,110235,108065,111138,109188,116362,60089,59860,49012,47374,51364,51203,51200,54972,90835,96904,97799,86662,90425,93158,92319,93931
11170520,용산2가동,dong,104591,110562,105968,115062,89716,92842,94307,80608,91266,51969,51969,46824,60701,63547,55388,63090,101853,97672,93593,102064,84055,88216,84299,74039
11170530,남영동,dong,120790,116594,112458,108157,106393,108323,111023,108761,67595,61400,60199,55371,54644,58527,60768,70575,99301,97202,93645,84697,84313,86701,89970,95169
11170555,청파동,dong,133706,143751,137216,138360,125233,103724,100590,105419,70893,66867,70830,62502,58172,60958,53871,63367,107090,106408,105276,103630,98245,85548,82015,88266
11170560,원효로1동,dong,100664,101088,97190,102015,103644,106763,98938,112378,69690,66929,61809,59092,59482,54428,56846,57400,87112,86236,81362,83129,81335,81357,77892,83941
11170570,원효로2동,dong,107100,91145,96553,101901,103263,81935,94837,93430,80266,67143,80874,88108,77578,77832,69892,77258,93683,79910,88086,94142,87733,79316,79446,83107
11170580,효창동,dong,135502,138258,119824,106897,112788,104362,100171,115778,109730,71339,79916,65164,68912,63436,69655,67933,122616,107029,102721,90668,95238,86354,84913,91856
11170590,용문동,dong,101189,119493,122815,133350,140551,136015,130748,122467,59884,71663,56312,61243, , ,42613,33391,88719,112134,113536,121964, , ,109596,99026
11170625,한강로동,dong,142638,138682,137476,144273,154658,148130,146856,139327,101694,96820,95238,99900,107802,104575,105249,102994,114440,109072,108322,114251,122383,117510,117160,113523
11170630,이촌1동,dong,301294,276639,278924,327333,313893,300984,274707,242905,116895,96067,84871,95113,120883,202410,190468,230839,212202,167346,167197,181120,217388,243200,226896,236383
11170640,이촌2동,dong,70071,73394,73394,81824,92229, ,78034,97564,167833, , , , , ,73895,98311,92882, , , , , ,75965,97884
11170650,이태원1동,dong,199088,200018,184079,204168,226931,230505,225867,218596,138217,144053,133928,133838,154517,148321,153347,161790,173538,176321,163063,173009,196484,193764,193233,189500
