"CD","NM","GUBUN","FIRST_1Y","FIRST_1Y_MOL","FIRST_1Y_DEN","FIRST_3Y","FIRST_3Y_MOL","FIRST_3Y_DEN","FIRST_5Y","FIRST_5Y_MOL","FIRST_5Y_DEN","SECOND_1Y","SECOND_1Y_MOL","SECOND_1Y_DEN","SECOND_3Y","SECOND_3Y_MOL","SECOND_3Y_DEN","SECOND_5Y","SECOND_5Y_MOL","SECOND_5Y_DEN","THIRD_1Y","THIRD_1Y_MOL","THIRD_1Y_DEN","THIRD_3Y","THIRD_3Y_MOL","THIRD_3Y_DEN","THIRD_5Y","THIRD_5Y_MOL","THIRD_5Y_DEN"
"11170555","청파동","dong","100","2","2","100","2","2","100","2","2","0","0","0","0","0","0","0","0","0","100","4","4","75","3","4","50","2","4"
"11170560","원효로1동","dong","100","3","3","66.7","2","3","66.7","2","3","62.5","5","8","50","4","8","12.5","1","8","75","3","4","25","1","4","0","0","4"
"11170570","원효로2동","dong","100","5","5","100","5","5","60","3","5","100","2","2","100","2","2","100","2","2","100","2","2","50","1","2","50","1","2"
"11170580","효창동","dong","0","0","0","0","0","0","0","0","0","100","3","3","66.7","2","3","66.7","2","3","0","0","0","0","0","0","0","0","0"
"11170590","용문동","dong","100","1","1","100","1","1","100","1","1","0","0","0","0","0","0","0","0","0","100","1","1","0","0","1","0","0","1"
"11170625","한강로동","dong","100","4","4","100","4","4","75","3","4","100","7","7","71.4","5","7","57.1","4","7","60","3","5","40","2","5","40","2","5"
"11170630","이촌1동","dong","100","1","1","100","1","1","0","0","1","100","3","3","66.7","2","3","66.7","2","3","0","0","0","0","0","0","0","0","0"
"11170640","이촌2동","dong","100","1","1","100","1","1","100","1","1","50","1","2","50","1","2","50","1","2","0","0","1","0","0","1","0","0","1"
"11170650","이태원1동","dong","100","2","2","0","0","2","0","0","2","50","1","2","50","1","2","50","1","2","50","3","6","50","3","6","50","3","6"
"11170660","이태원2동","dong","100","1","1","100","1","1","0","0","1","100","2","2","100","2","2","100","2","2","100","3","3","33.3","1","3","33.3","1","3"
"11170685","한남동","dong","100","1","1","100","1","1","0","0","1","100","2","2","50","1","2","50","1","2","100","3","3","66.7","2","3","66.7","2","3"
"11170690","서빙고동","dong","100","1","1","100","1","1","100","1","1","100","1","1","100","1","1","100","1","1","0","0","1","0","0","1","0","0","1"
"11170700","보광동","dong","100","1","1","100","1","1","0","0","1","100","1","1","100","1","1","100","1","1","50","1","2","50","1","2","50","1","2"
"11200","성동구","gu","84.6","33","39","61.5","24","39","38.5","15","39","82.2","37","45","60","27","45","40","18","45","96.5","55","57","50.9","29","57","33.3","19","57"
"11200520","왕십리2동","dong","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","100","2","2","100","2","2","50","1","2"
"11200535","왕십리도선동","dong","100","3","3","66.7","2","3","66.7","2","3","50","1","2","50","1","2","0","0","2","100","6","6","83.3","5","6","50","3","6"
"11200540","마장동","dong","0","0","0","0","0","0","0","0","0","100","2","2","100","2","2","100","2","2","0","0","1","0","0","1","0","0","1"
"11200550","사근동","dong","90","9","10","50","5","10","20","2","10","75","3","4","50","2","4","50","2","4","100","9","9","44.4","4","9","0","0","9"
"11200560","행당1동","dong","100","3","3","33.3","1","3","0","0","3","50","2","4","50","2","4","25","1","4","100","3","3","33.3","1","3","33.3","1","3"
"11200570","행당2동","dong","100","1","1","100","1","1","100","1","1","100","1","1","100","1","1","100","1","1","100","2","2","0","0","2","0","0","2"
