NM,CD,GUBUN,2020년2분기개업수,2020년2분기폐업수,2020년2분기개업률,2020년2분기폐업률,2020년1분기개업수,2020년1분기폐업수,2020년1분기개업률,2020년1분기폐업률,2019년4분기개업수,2019년4분기폐업수,2019년4분기개업률,2019년4분기폐업률,2019년3분기개업수,2019년3분기폐업수,2019년3분기개업률,2019년3분기폐업률,2019년2분기개업수,2019년2분기폐업수,2019년2분기개업률,2019년2분기폐업률,2019년1분기개업수,2019년1분기폐업수,2019년1분기개업률,2019년1분기폐업률,2018년4분기개업수,2018년4분기폐업수,2018년4분기개업률,2018년4분기폐업률,2018년3분기개업수,2018년3분기폐업수,2018년3분기개업률,2018년3분기폐업률
돈암2동,11290590,dong,1,1,20,20,1,1,20,20,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,2,0,33.3,0,0,0,0,0
안암동,11290600,dong,1,0,2.1,0,1,6,2.2,13,1,0,2,0,0,1,0,2.1,1,3,2,6.1,3,0,5.9,0,3,3,6.3,6.3,0,1,0,2.1
보문동,11290610,dong,1,1,5.9,5.9,0,0,0,0,0,1,0,5.9,0,0,0,0,0,1,0,5.6,1,3,5.3,15.8,2,0,9.5,0,0,0,0,0
정릉1동,11290620,dong,1,0,6.7,0,1,1,6.7,6.7,0,0,0,0,1,1,7.1,7.1,1,0,7.1,0,0,0,0,0,1,0,7.7,0,1,0,8.3,0
정릉2동,11290630,dong,0,0,0,0,1,0,6.3,0,0,1,0,7.1,1,0,6.7,0,0,1,0,7.1,1,1,6.7,6.7,0,0,0,0,0,0,0,0
정릉3동,11290640,dong,0,0,0,0,1,2,6.7,13.3,1,0,6.3,0,0,0,0,0,2,1,13.3,6.7,0,0,0,0,0,0,0,0,1,0,7.1,0
정릉4동,11290650,dong,2,0,11.1,0,0,0,0,0,0,0,0,0,2,1,12.5,6.3,2,1,13.3,6.7,0,0,0,0,0,1,0,7.1,0,0,0,0
길음1동,11290660,dong,1,0,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
길음2동,11290685,dong,0,0,0,0,0,0,0,0,0,0,0,0,3,1,42.9,14.3,0,0,0,0,0,1,0,20,0,1,0,16.7,0,0,0,0
종암동,11290705,dong,0,0,0,0,1,1,3.7,3.7,1,1,3.7,3.7,0,1,0,3.7,1,0,3.7,0,0,1,0,3.8,0,0,0,0,0,1,0,3.7
월곡1동,11290715,dong,1,3,7.7,23.1,0,0,0,0,1,0,6.3,0,0,1,0,6.7,1,0,6.3,0,0,1,0,6.7,2,0,12.5,0,0,2,0,14.3
월곡2동,11290725,dong,1,2,4.2,8.3,1,0,4.2,0,0,1,0,4.5,1,1,4.3,4.3,0,1,0,4.3,2,2,8.3,8.3,1,1,4.2,4.2,0,1,0,4.2
장위1동,11290760,dong,1,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
장위2동,11290770,dong,0,0,0,0,0,0,0,0,0,1,0,12.5,1,1,11.1,11.1,0,0,0,0,1,1,11.1,11.1,0,1,0,11.1,1,2,10,20
장위3동,11290780,dong,1,0,12.5,0,0,0,0,0,3,0,42.9,0,1,0,25,0,0,1,0,33.3,0,0,0,0,0,0,0,0,0,1,0,25
석관동,11290810,dong,0,1,0,4.3,0,0,0,0,0,0,0,0,0,1,0,3.8,4,2,14.8,7.4,1,1,4,4,1,0,4,0,0,0,0,0
강북구,11305,gu,14,12,5.1,4.4,8,7,3,2.6,10,12,3.8,4.6,5,18,1.9,6.9,14,14,5.1,5.1,8,7,2.9,2.6,15,15,5.5,5.5,14,9,5.1,3.3
삼양동,11305534,dong,1,0,7.7,0,1,1,8.3,8.3,0,0,0,0,0,1,0,8.3,0,1,0,7.7,1,0,7.1,0,0,1,0,7.7,0,0,0,0
미아동,11305535,dong,0,1,0,3.1,0,0,0,0,0,3,0,9.7,1,2,3,6.1,3,1,8.8,2.9,1,2,3.1,6.3,4,6,12.1,18.2,4,1,11.4,2.9
송중동,11305545,dong,1,0,3.6,0,1,1,3.7,3.7,3,1,11.1,3.7,0,1,0,4,2,1,7.7,3.8,0,1,0,4,3,2,11.5,7.7,2,2,8,8
송천동,11305555,dong,2,3,8.7,13,2,1,8.3,4.2,0,1,0,4.3,0,2,0,8.3,1,1,3.8,3.8,0,0,0,0,0,1,0,3.8,0,0,0,0
삼각산동,11305575,dong,2,2,22.2,22.2,0,1,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12.5,12.5
번1동,11305590,dong,1,2,3.3,6.7,0,0,0,0,0,2,0,6.5,1,1,3,3,1,2,3,6.1,2,0,5.9,0,0,1,0,3.1,1,1,3,3
번2동,11305600,dong,0,0,0,0,0,0,0,0,1,1,14.3,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
번3동,11305606,dong,1,0,9.1,0,1,1,10,10,2,0,20,0,0,0,0,0,0,0,0,0,1,1,12.5,12.5,0,0,0,0,0,0,0,0
수유1동,11305610,dong,4,1,17.4,4.3,0,0,0,0,2,1,11.1,5.6,0,1,0,5.9,0,0,0,0,0,1,0,5.6,2,2,10.5,10.5,2,2,10.5,10.5
수유2동,11305620,dong,1,2,5.9,11.8,1,1,5.6,5.6,2,2,11.1,11.1,0,1,0,5.6,1,1,5.3,5.3,1,0,5.3,0,0,0,0,0,0,0,0,0
수유3동,11305630,dong,1,0,2.9,0,0,0,0,0,0,1,0,3.1,0,2,0,6.3,2,1,5.7,2.9,1,1,2.9,2.9,1,0,2.9,0,2,2,6.1,6.1
우이동,11305645,dong,0,0,0,0,1,0,5.9,0,0,0,0,0,0,3,0,18.8,3,2,15.8,10.5,0,0,0,0,3,1,16.7,5.6,1,0,6.3,0
인수동,11305660,dong,0,1,0,3.7,1,1,3.6,3.6,0,0,0,0,3,4,11.5,15.4,1,4,3.7,14.8,1,1,3.3,3.3,2,1,6.7,3.3,1,0,3.4,0
도봉구,11320,gu,9,4,3.9,1.7,10,4,4.4,1.8,10,7,4.5,3.2,3,6,1.4,2.8,6,6,2.7,2.7,11,9,5,4.1,5,7,2.3,3.2,9,8,4.1,3.6
창1동,11320511,dong,2,2,13.3,13.3,2,0,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.7,0,1,0,7.1,1,1,6.7,6.7
창2동,11320512,dong,2,1,9.1,4.5,2,1,9.5,4.8,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,5
창3동,11320513,dong,2,0,14.3,0,1,0,8.3,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0
창4동,11320514,dong,0,0,0,0,1,1,5.6,5.6,0,1,0,5.6,1,2,5.3,10.5,1,0,5,0,1,0,5.3,0,1,1,5.6,5.6,1,0,5.6,0
창5동,11320515,dong,0,1,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.3,0,1,1,5.6,5.6,1,1,5.6,5.6,0,0,0,0
도봉1동,11320521,dong,2,0,9.1,0,0,0,0,0,2,3,10,15,1,0,4.8,0,0,2,0,10,1,1,4.5,4.5,0,1,0,4.5,0,0,0,0
도봉2동,11320522,dong,0,0,0,0,0,0,0,0,1,0,7.1,0,0,1,0,7.7,1,1,7.1,7.1,2,0,14.3,0,0,0,0,0,2,3,16.7,25
쌍문1동,11320660,dong,0,0,0,0,1,1,5.6,5.6,0,0,0,0,0,0,0,0,0,1,0,5.9,1,1,5.6,5.6,1,0,5.6,0,1,2,5.9,11.8
쌍문2동,11320670,dong,0,0,0,0,0,0,0,0,1,0,7.7,0,0,0,0,0,0,2,0,16.7,1,2,7.1,14.3,1,0,6.7,0,0,0,0,0
쌍문3동,11320680,dong,0,0,0,0,0,0,0,0,0,1,0,7.1,0,1,0,6.7,0,0,0,0,1,0,6.3,0,0,2,0,13.3,1,0,5.9,0
쌍문4동,11320681,dong,1,0,9.1,0,0,0,0,0,1,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
방학1동,11320690,dong,0,0,0,0,2,1,8,4,0,0,0,0,1,2,3.8,7.7,2,0,7.4,0,1,0,4,0,0,0,0,0,1,1,4.2,4.2
방학2동,11320700,dong,0,0,0,0,1,0,6.3,0,2,0,14.3,0,0,0,0,0,0,0,0,0,1,1,8.3,8.3,0,0,0,0,0,0,0,0
방학3동,11320710,dong,0,0,0,0,0,0,0,0,1,0,9.1,0,0,0,0,0,1,0,10,0,1,2,11.1,22.2,1,0,10,0,0,0,0,0
노원구,11350,gu,12,7,3.4,2,12,16,3.4,4.6,10,17,2.9,4.9,13,12,3.6,3.4,19,13,5.4,3.7,12,10,3.4,2.9,15,15,4.3,4.3,9,12,2.6,3.5
월계1동,11350560,dong,1,1,3,3,0,3,0,9.1,1,2,2.8,5.6,2,2,5.4,5.4,2,1,5.4,2.7,3,3,8.3,8.3,1,1,2.8,2.8,2,2,5.6,5.6
월계2동,11350570,dong,0,0,0,0,0,0,0,0,1,1,5.6,5.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.3,0,0,0,0,0
월계3동,11350580,dong,0,0,0,0,0,1,0,10,2,1,18.2,9.1,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.5
공릉1동,11350595,dong,1,0,2.2,0,2,3,4.5,6.8,2,2,4.5,4.5,0,1,0,2.3,3,2,6.7,4.4,0,2,0,4.5,1,2,2.2,4.3,1,2,2.1,4.3
공릉2동,11350600,dong,0,1,0,2.6,3,2,7.7,5.1,1,2,2.7,5.4,3,2,7.9,5.3,0,1,0,2.7,1,2,2.6,5.3,2,4,5.1,10.3,1,1,2.4,2.4
하계1동,11350611,dong,1,1,5,5,0,1,0,5,0,1,0,4.8,1,0,4.5,0,0,0,0,0,1,1,4.8,4.8,0,1,0,4.8,1,0,4.5,0
하계2동,11350612,dong,0,0,0,0,0,0,0,0,1,0,20,0,0,1,0,25,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
중계본동,11350619,dong,2,0,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.3,1,1,7.7,7.7,0,0,0,0,0,1,0,7.7
중계1동,11350621,dong,2,1,15.4,7.7,0,0,0,0,0,0,0,0,1,3,8.3,25,1,0,7.1,0,0,0,0,0,0,0,0,0,0,1,0,7.7
중계4동,11350624,dong,0,0,0,0,0,0,0,0,0,2,0,16.7,0,0,0,0,0,0,0,0,1,0,7.1,0,1,0,7.7,0,1,0,8.3,0
중계2.3동,11350625,dong,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상계1동,11350630,dong,0,1,0,4,2,1,7.7,3.8,0,2,0,8,1,0,3.7,0,0,0,0,0,0,0,0,0,2,3,7.7,11.5,1,1,3.7,3.7
상계2동,11350640,dong,1,0,3.2,0,1,0,3.3,0,0,2,0,7.1,0,2,0,6.7,7,5,21.9,15.6,4,0,13.3,0,2,0,7.7,0,0,1,0,4.2
상계3.4동,11350665,dong,0,0,0,0,1,2,5.9,11.8,0,1,0,5.9,2,0,11.1,0,1,1,6.3,6.3,1,0,6.3,0,1,1,6.7,6.7,0,0,0,0
상계5동,11350670,dong,2,0,11.8,0,1,0,6.7,0,0,0,0,0,0,0,0,0,1,1,7.7,7.7,0,0,0,0,1,0,7.7,0,0,0,0,0
상계6.7동,11350695,dong,1,1,3.6,3.6,2,2,7.1,7.1,0,1,0,3.7,1,1,3.6,3.6,0,0,0,0,0,1,0,3.6,3,1,10.3,3.4,1,2,3.7,7.4
상계8동,11350700,dong,1,1,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0
상계9동,11350710,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,33.3,11.1,0,0,0,0,0,0,0,0,0,0,0,0
상계10동,11350720,dong,0,0,0,0,0,1,0,20,1,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,1,0,16.7,0
은평구,11380,gu,21,19,5.6,5.1,19,14,5.1,3.8,14,16,3.9,4.5,11,12,3.1,3.4,9,8,2.5,2.2,12,19,3.4,5.3,18,13,4.9,3.6,14,11,3.9,3.1
녹번동,11380510,dong,2,1,6.5,3.2,1,1,3.4,3.4,1,2,3.6,7.1,1,0,3.4,0,0,0,0,0,0,2,0,7.1,5,2,16.7,6.7,2,1,7.4,3.7
불광1동,11380520,dong,1,3,7.1,21.4,2,2,12.5,12.5,1,1,7.1,7.1,0,1,0,7.1,1,0,6.7,0,1,1,7.1,7.1,1,0,7.1,0,0,0,0,0
불광2동,11380530,dong,3,2,10.3,6.9,3,2,10.7,7.1,3,2,11.5,7.7,1,0,4,0,0,0,0,0,1,1,4.2,4.2,1,1,4.2,4.2,0,1,0,4.2
갈현1동,11380551,dong,1,2,5,10,0,0,0,0,0,1,0,5,1,0,4.8,0,0,0,0,0,0,1,0,5,1,2,4.8,9.5,1,0,4.5,0
갈현2동,11380552,dong,1,0,3,0,0,0,0,0,0,1,0,3.2,0,0,0,0,1,0,3,0,1,1,3.1,3.1,0,3,0,9.4,1,0,2.9,0
구산동,11380560,dong,1,1,4.3,4.3,1,3,4.3,13,1,0,4.2,0,1,0,4.3,0,0,1,0,4.5,0,0,0,0,1,1,4.3,4.3,1,2,4.3,8.7
대조동,11380570,dong,3,3,8.3,8.3,2,1,5.6,2.8,0,1,0,2.9,0,0,0,0,2,1,5.9,2.9,0,2,0,6.1,1,0,2.9,0,2,1,5.9,2.9
응암1동,11380580,dong,2,1,8,4,1,2,4.3,8.7,2,1,8.3,4.2,0,1,0,4.2,0,1,0,4,1,2,3.8,7.7,2,1,7.4,3.7,0,1,0,3.8
응암2동,11380590,dong,1,0,16.7,0,1,1,20,20,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
응암3동,11380600,dong,1,2,2.9,5.9,5,1,14.3,2.9,0,1,0,3.2,2,3,6.3,9.4,3,0,9.1,0,1,1,3.3,3.3,2,0,6.7,0,0,0,0,0
역촌동,11380625,dong,0,1,0,2.4,2,1,4.7,2.3,4,2,9.5,4.8,2,2,5.1,5.1,0,0,0,0,0,2,0,5.1,0,2,0,4.9,3,1,7,2.3
신사1동,11380631,dong,0,1,0,5.3,0,0,0,0,0,1,0,5.3,0,0,0,0,0,1,0,5,1,1,4.8,4.8,0,0,0,0,1,0,4.8,0
신사2동,11380632,dong,0,1,0,10,0,0,0,0,0,0,0,0,0,1,0,9.1,0,1,0,8.3,2,1,15.4,7.7,0,0,0,0,0,0,0,0
증산동,11380640,dong,0,1,0,8.3,0,0,0,0,0,1,0,7.7,0,1,0,7.1,0,2,0,13.3,2,1,11.8,5.9,1,0,6.3,0,1,2,6.7,13.3
수색동,11380650,dong,0,0,0,0,0,0,0,0,1,1,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
진관동,11380690,dong,5,0,12.8,0,1,0,2.9,0,0,1,0,3,3,3,8.8,8.8,2,1,5.9,2.9,2,3,6.1,9.1,3,1,8.8,2.9,2,2,6.3,6.3
서대문구,11410,gu,14,7,4.3,2.1,14,15,4.4,4.7,10,8,3.2,2.6,6,10,2,3.3,12,8,3.9,2.6,8,5,2.6,1.6,13,8,4.3,2.6,11,6,3.7,2
천연동,11410520,dong,2,0,14.3,0,1,1,8.3,8.3,0,0,0,0,1,1,8.3,8.3,0,0,0,0,1,0,8.3,0,2,1,18.2,9.1,0,0,0,0
북아현동,11410555,dong,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12.5,25,1,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0
충현동,11410565,dong,3,1,9.4,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7.1,3.6,0,0,0,0,0,0,0,0
신촌동,11410585,dong,1,0,1.2,0,1,5,1.2,6,0,2,0,2.4,0,2,0,2.4,5,5,6,6,2,1,2.4,1.2,2,4,2.4,4.8,6,3,7.1,3.5
연희동,11410615,dong,3,1,7.3,2.4,1,2,2.6,5.1,2,2,5,5,2,2,5.1,5.1,3,2,7.7,5.1,0,0,0,0,0,0,0,0,1,0,2.6,0
홍제1동,11410620,dong,1,0,5.6,0,2,1,11.8,5.9,1,0,6.3,0,0,0,0,0,1,0,6.7,0,0,1,0,7.1,1,2,6.7,13.3,3,1,18.8,6.3
홍제3동,11410640,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.7,0,2,1,16.7,8.3,0,0,0,0
홍제2동,11410655,dong,1,0,16.7,0,0,1,0,20,1,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0
홍은1동,11410660,dong,0,0,0,0,3,2,25,16.7,2,1,18.2,9.1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.1,0
홍은2동,11410685,dong,0,0,0,0,0,0,0,0,1,0,4.5,0,1,1,4.8,4.8,0,0,0,0,0,0,0,0,2,0,9.5,0,0,1,0,5.3
남가좌1동,11410690,dong,0,1,0,11.1,0,0,0,0,1,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남가좌2동,11410700,dong,2,1,8.7,4.3,1,0,4.5,0,0,1,0,4.5,0,1,0,4.2,2,0,8,0,1,1,4.3,4.3,3,0,13,0,0,1,0,5
북가좌1동,11410710,dong,0,0,0,0,2,2,18.2,18.2,1,1,9.1,9.1,1,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
북가좌2동,11410720,dong,1,3,3.2,9.7,3,1,9.1,3,1,1,3.2,3.2,0,0,0,0,0,1,0,3.2,1,1,3.1,3.1,0,0,0,0,0,0,0,0
마포구,11440,gu,17,21,3.1,3.9,7,20,1.3,3.6,15,21,2.8,3.9,16,18,2.9,3.3,19,15,3.5,2.8,15,25,2.8,4.6,20,13,3.6,2.4,12,25,2.2,4.6
아현동,11440555,dong,1,1,4,4,1,1,3.8,3.8,1,1,4.2,4.2,1,0,4.2,0,1,1,4.3,4.3,0,0,0,0,0,0,0,0,3,2,13,8.7
공덕동,11440565,dong,1,1,3.6,3.6,0,0,0,0,0,1,0,3.6,0,0,0,0,0,0,0,0,0,1,0,3.4,1,0,3.3,0,2,3,6.9,10.3
도화동,11440585,dong,1,1,4.2,4.2,0,0,0,0,1,1,4.3,4.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8.7,0,0,1,0,4.8
용강동,11440590,dong,1,0,3.6,0,0,1,0,3.4,0,0,0,0,1,2,4,8,0,0,0,0,2,1,7.7,3.8,0,2,0,8,0,2,0,7.4
대흥동,11440600,dong,2,2,5,5,1,0,2.5,0,0,0,0,0,0,0,0,0,0,1,0,2.5,1,0,2.4,0,0,1,0,2.5,2,2,4.9,4.9
염리동,11440610,dong,0,0,0,0,0,1,0,11.1,0,0,0,0,0,1,0,11.1,1,1,10,10,0,0,0,0,1,0,10,0,0,0,0,0
신수동,11440630,dong,1,2,5.9,11.8,0,0,0,0,1,0,5.6,0,0,1,0,5.9,1,0,5.6,0,0,0,0,0,1,1,5.9,5.9,0,0,0,0
서강동,11440655,dong,0,1,0,2.9,0,3,0,8.3,2,0,5,0,0,3,0,7.9,1,0,2.4,0,1,3,2.5,7.5,1,0,2.4,0,0,0,0,0
서교동,11440660,dong,4,5,3.2,4,3,6,2.4,4.7,4,8,3.3,6.5,6,5,4.8,4,6,5,4.8,4,2,7,1.6,5.7,5,4,3.9,3.1,3,8,2.4,6.3
합정동,11440680,dong,2,1,6.9,3.4,0,0,0,0,1,2,3.7,7.4,0,1,0,3.7,1,3,3.6,10.7,2,0,6.7,0,0,0,0,0,0,1,0,3.6
망원1동,11440690,dong,0,0,0,0,0,1,0,3.8,0,2,0,8.7,0,0,0,0,1,0,4,0,0,1,0,4.2,2,1,8,4,0,1,0,4.2
망원2동,11440700,dong,1,1,5.6,5.6,1,2,5.6,11.1,1,1,5.3,5.3,2,1,11.1,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.9
연남동,11440710,dong,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.8,3.8,0,3,0,11.5,4,2,13.8,6.9,1,0,3.7,0
성산1동,11440720,dong,1,2,3.6,7.1,0,0,0,0,0,2,0,6.9,2,0,6.7,0,1,1,3.6,3.6,0,1,0,3.6,0,1,0,3.4,0,1,0,3.3
성산2동,11440730,dong,0,0,0,0,0,1,0,2.8,1,0,2.9,0,2,2,6.1,6.1,1,1,3.1,3.1,2,0,6.3,0,0,0,0,0,0,0,0,0
상암동,11440740,dong,2,3,3.9,5.9,1,4,1.9,7.7,3,3,5.7,5.7,2,2,3.7,3.7,4,1,7.5,1.9,5,8,10,16,3,1,5.7,1.9,1,3,2,5.9
양천구,11470,gu,11,11,3.5,3.5,8,10,2.5,3.1,9,15,2.9,4.8,9,12,2.9,3.8,16,13,5.1,4.1,12,14,3.8,4.5,10,10,3.2,3.2,6,7,1.9,2.2
목1동,11470510,dong,0,1,0,2.9,0,3,0,8.3,3,0,7.9,0,0,2,0,5.9,1,0,2.7,0,1,1,2.8,2.8,0,0,0,0,0,0,0,0
목2동,11470520,dong,2,2,7.4,7.4,0,0,0,0,1,3,3.7,11.1,1,1,3.6,3.6,3,2,10.7,7.1,2,1,7.4,3.7,2,1,7.7,3.8,0,0,0,0
목3동,11470530,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.9,0,0,1,0,6.3,1,1,5.9,5.9
목4동,11470540,dong,0,0,0,0,0,0,0,0,1,1,5.3,5.3,0,1,0,5.3,1,1,5,5,0,1,0,5,1,0,4.8,0,0,1,0,5
목5동,11470550,dong,0,1,0,5.3,1,0,5,0,1,3,5.3,15.8,1,0,4.8,0,1,3,5.3,15.8,2,2,9.5,9.5,1,0,4.8,0,1,0,5,0
신월1동,11470560,dong,1,1,7.1,7.1,1,1,7.1,7.1,0,2,0,14.3,1,1,6.3,6.3,1,0,6.3,0,0,1,0,6.7,0,0,0,0,0,0,0,0
신월2동,11470570,dong,0,1,0,11.1,1,0,10,0,0,0,0,0,0,1,0,12.5,2,1,22.2,11.1,0,0,0,0,1,2,12.5,25,0,0,0,0
신월3동,11470580,dong,0,0,0,0,1,0,8.3,0,0,1,0,9.1,1,0,8.3,0,0,0,0,0,1,1,9.1,9.1,0,0,0,0,0,0,0,0
신월4동,11470590,dong,2,1,12.5,6.3,0,0,0,0,0,0,0,0,0,2,0,13.3,1,0,5.9,0,1,1,6.3,6.3,1,0,6.3,0,2,2,13.3,13.3
신월5동,11470600,dong,1,1,5.3,5.3,1,0,5.3,0,1,1,5.6,5.6,2,3,11.1,16.7,2,0,10.5,0,2,0,11.8,0,0,1,0,6.7,0,0,0,0
신월6동,11470610,dong,0,0,0,0,2,0,20,0,1,0,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0
신월7동,11470611,dong,1,0,6.3,0,0,0,0,0,0,0,0,0,1,0,7.1,0,1,1,7.7,7.7,0,1,0,7.7,1,0,7.1,0,0,0,0,0
신정1동,11470620,dong,0,0,0,0,0,1,0,10,1,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신정2동,11470630,dong,1,0,7.7,0,1,1,8.3,8.3,0,1,0,10,0,0,0,0,0,0,0,0,0,1,0,9.1,0,0,0,0,0,0,0,0
신정3동,11470640,dong,0,0,0,0,0,0,0,0,0,1,0,5.3,1,0,5.3,0,0,0,0,0,1,1,5.3,5.3,0,0,0,0,1,1,5.3,5.3
신정4동,11470650,dong,3,1,7.1,2.4,0,2,0,5,0,1,0,2.4,0,1,0,2.4,2,4,4.7,9.3,0,2,0,4.4,3,4,6.4,8.5,0,0,0,0
신정6동,11470670,dong,0,0,0,0,0,1,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.1,9.1,0,0,0,0,1,2,9.1,18.2
신정7동,11470680,dong,0,2,0,22.2,0,1,0,9.1,0,1,0,9.1,1,0,8.3,0,1,1,9.1,9.1,0,0,0,0,0,0,0,0,0,0,0,0
강서구,11500,gu,16,13,2.8,2.3,18,17,3.2,3,15,30,2.7,5.4,38,25,6.7,4.4,24,27,4.3,4.8,32,31,5.7,5.5,31,16,5.5,2.9,27,30,5,5.5
염창동,11500510,dong,1,0,3.3,0,0,1,0,3.4,1,1,3.6,3.6,2,1,7.1,3.6,3,1,11.1,3.7,0,0,0,0,0,0,0,0,1,1,4,4
등촌1동,11500520,dong,1,2,2.8,5.6,3,1,8.1,2.7,1,2,2.9,5.9,3,3,8.6,8.6,4,1,11.4,2.9,3,1,9.4,3.1,0,0,0,0,1,2,3.3,6.7
등촌2동,11500530,dong,0,1,0,11.1,0,1,0,10,0,0,0,0,1,0,9.1,0,0,0,0,0,1,2,10,20,0,1,0,9.1,1,0,8.3,0
등촌3동,11500535,dong,0,1,0,3.7,1,0,3.6,0,2,1,7.1,3.6,1,2,3.7,7.4,1,3,3.6,10.7,1,0,3.3,0,2,2,6.9,6.9,2,2,6.9,6.9
화곡1동,11500540,dong,1,1,1.7,1.7,0,2,0,3.4,2,1,3.3,1.7,0,1,0,1.8,3,2,5.2,3.4,3,5,5.3,8.8,3,2,5.1,3.4,2,4,3.4,6.9
화곡2동,11500550,dong,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.3,0,1,1,9.1,9.1,0,1,0,9.1,0,0,0,0,0,0,0,0
화곡3동,11500560,dong,1,0,6.7,0,1,2,7.1,14.3,0,0,0,0,1,2,6.7,13.3,1,0,6.3,0,4,1,26.7,6.7,0,0,0,0,0,1,0,8.3
화곡4동,11500570,dong,0,0,0,0,1,2,5.9,11.8,0,1,0,5.6,3,1,15.8,5.3,1,1,5.9,5.9,1,1,5.9,5.9,0,0,0,0,1,0,5.9,0
화곡본동,11500590,dong,0,1,0,3.6,3,0,10.3,0,1,3,4,12,0,1,0,3.7,1,0,3.6,0,1,2,3.7,7.4,3,0,10.7,0,2,2,8,8
화곡6동,11500591,dong,1,1,3.2,3.2,1,2,3.2,6.5,0,1,0,3.2,1,1,3.1,3.1,0,1,0,3.1,1,1,3,3,0,1,0,3,1,3,2.9,8.8
화곡8동,11500593,dong,0,0,0,0,0,0,0,0,1,2,6.7,13.3,1,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.7,6.7
가양1동,11500603,dong,3,1,3.5,1.2,2,1,2.4,1.2,2,4,2.4,4.9,6,5,7.2,6,2,8,2.4,9.8,4,7,4.5,8,5,4,5.5,4.4,6,3,6.7,3.3
가양2동,11500604,dong,0,0,0,0,0,0,0,0,0,1,0,16.7,1,0,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.7,0
가양3동,11500605,dong,0,0,0,0,0,0,0,0,0,1,0,14.3,1,1,12.5,12.5,0,0,0,0,0,0,0,0,5,1,62.5,12.5,1,0,25,0
발산1동,11500611,dong,3,3,7,7,5,1,11.6,2.3,3,2,7.5,5,6,1,15.4,2.6,2,1,5.9,2.9,6,1,18.2,3,4,1,14.3,3.6,1,0,4,0
우장산동,11500615,dong,0,1,0,4.2,1,1,4,4,0,2,0,8.3,0,1,0,3.8,0,1,0,3.7,2,3,7.1,10.7,5,2,17.2,6.9,1,5,3.8,19.2
공항동,11500620,dong,1,0,2.1,0,0,0,0,0,0,4,0,9.1,4,1,8.3,2.1,3,4,6.7,8.9,3,3,6.5,6.5,2,0,4.3,0,1,1,2.3,2.3
