NM,CD,GUBUN,2018년2분기30년기준,2018년2분기10년기준,2019년2분기30년기준,2019년2분기10년기준,2020년2분기30년기준,2020년2분기10년기준
당산1동,11560550,dong,4.525,2.85,4.608333333,2.775,4.725,2.908333333
당산2동,11560560,dong,4.35,3.066666667,4.758333333,3.566666667,4.791666667,3.508333333
도림동,11560585,dong,3.275,2.408333333,3.65,2.866666667,3.758333333,3.066666667
문래동,11560605,dong,4.333333333,3.525,4.45,3.616666667,4.458333333,3.1
양평1동,11560610,dong,3.958333333,2.7,4.05,2.558333333,3.85,2.441666667
양평2동,11560620,dong,3.783333333,3.05,3.725,2.975,3.85,2.85
신길1동,11560630,dong,3.325,2.475,3.133333333,2.075,3.425,1.966666667
신길3동,11560650,dong,3.95,2.966666667,3.991666667,3.15,4.241666667,3.35
신길4동,11560660,dong,4.066666667,2.758333333,4.525,3.258333333,4.966666667,3.858333333
신길5동,11560670,dong,3.008333333,2.491666667,3.375,2.966666667,3.316666667,2.958333333
신길6동,11560680,dong,5.616666667,3.033333333,5.616666667,3.1,5.508333333,2.516666667
신길7동,11560690,dong,3.558333333,1.983333333,3.725,2.266666667,4.316666667,2.475
대림1동,11560700,dong,4.141666667,2.083333333,4.341666667,2.333333333,4.533333333,2.591666667
대림2동,11560710,dong,3.916666667,2.325,4.125,2.6,4.366666667,2.891666667
대림3동,11560720,dong,4.716666667,3.3,4.675,2.85,4.783333333,2.75
동작구,11590,gu,4.475,3.275,4.533333333,3.216666667,4.708333333,3.333333333
노량진1동,11590510,dong,5.258333333,3.741666667,5.3,3.441666667,5.375,3.733333333
노량진2동,11590520,dong,4.616666667,3.7,4.808333333,3.708333333,5.25,3.708333333
상도1동,11590530,dong,5.166666667,2.916666667,5.391666667,2.808333333,5.566666667,3.175
상도2동,11590540,dong,3.625,2.866666667,3.941666667,3.166666667,4.375,3.525
상도3동,11590550,dong,2.775,2.866666667,2.9,3.041666667,3.091666667,3.375
상도4동,11590560,dong,3.3,3.35,3.516666667,3.633333333,3.65,3.091666667
흑석동,11590605,dong,5.608333333,4.141666667,5.516666667,3.8,5.391666667,3.55
사당1동,11590620,dong,3.766666667,2.891666667,3.908333333,3.125,4.108333333,3.15
사당2동,11590630,dong,3.941666667,3.691666667,3.558333333,3.1,3.883333333,3.316666667
사당3동,11590640,dong,3.558333333,2.766666667,3.483333333,2.95,3.625,2.716666667
사당4동,11590650,dong,4.508333333,3.066666667,4.491666667,2.341666667,4.475,2.458333333
사당5동,11590651,dong,4.008333333,3.091666667,4.466666667,3.716666667,3.791666667,3.016666667
대방동,11590660,dong,4.616666667,3.833333333,4.733333333,3.691666667,4.858333333,3.65
신대방1동,11590670,dong,4.175,3.183333333,3.941666667,3.158333333,4.116666667,3.65
신대방2동,11590680,dong,5.241666667,2.366666667,5.408333333,2.591666667,5.791666667,3.166666667
관악구,11620,gu,4.85,3.25,4.933333333,3.241666667,5.116666667,3.375
보라매동,11620525,dong,3.941666667,3.15,3.808333333,2.608333333,4.1,2.816666667
청림동,11620545,dong,3.433333333,2.5,3.741666667,2.925,4.041666667,3.316666667
성현동,11620565,dong,3.733333333,3.358333333,4.125,3.6,4.075,3.108333333
행운동,11620575,dong,4.508333333,3.075,4.716666667,2.875,5.133333333,3.225
낙성대동,11620585,dong,4.908333333,4.283333333,4.675,3.733333333,4.708333333,3.566666667
청룡동,11620595,dong,6.166666667,3.375,6.45,3.766666667,6.325,3.75
은천동,11620605,dong,4.625,3.558333333,4.791666667,3.391666667,5.258333333,3.95
중앙동,11620615,dong,5.216666667,2.866666667,5.408333333,2.841666667,6.166666667,3.333333333
인헌동,11620625,dong,4.3,3.116666667,4.166666667,2.991666667,4.216666667,2.766666667
남현동,11620630,dong,5.308333333,3.425,5.475,3.716666667,5.366666667,3.541666667
서원동,11620645,dong,4.833333333,3.216666667,4.766666667,3.05,5.108333333,3.408333333
신원동,11620655,dong,4.616666667,2.933333333,5.241666667,3.041666667,5.858333333,3.091666667
서림동,11620665,dong,5.683333333,3.458333333,5.308333333,3.066666667,5.516666667,3.266666667
신사동,11620685,dong,4.5,3.658333333,4.975,4.266666667,5.483333333,4.333333333
신림동,11620695,dong,4.908333333,3.591666667,5.141666667,3.883333333,5.4,3.85
난향동,11620715,dong,2.708333333,2.708333333,2.725,2.35,3.158333333,2.85
조원동,11620725,dong,4.725,2.758333333,4.975,2.858333333,5,3.108333333
대학동,11620735,dong,5.35,2.975,5.3,3,5.366666667,3.291666667
삼성동,11620745,dong,3.266666667,2.458333333,3.025,2.35,3.416666667,2.708333333
미성동,11620765,dong,5.066666667,3.166666667,4.916666667,3.158333333,5.383333333,3.566666667
난곡동,11620775,dong,3.758333333,2.766666667,4.041666667,2.466666667,3.566666667,2.566666667
서초구,11650,gu,5.05,3.033333333,5.216666667,3.075,5.316666667,3.083333333
서초1동,11650510,dong,5.258333333,3.333333333,5.4,3.516666667,5.6,3.25
서초2동,11650520,dong,4.258333333,2.733333333,4.466666667,2.533333333,4.658333333,2.791666667
서초3동,11650530,dong,5.316666667,3.008333333,5.491666667,3.1,5.616666667,3.2
서초4동,11650531,dong,5.141666667,2.891666667,5.341666667,3.2,5.408333333,3.175
잠원동,11650540,dong,5.933333333,3.225,6.016666667,3.158333333,5.958333333,3.133333333
반포본동,11650550,dong,8.05,4.075,7.966666667,3.15,7.725,2.891666667
반포1동,11650560,dong,6.25,3.033333333,6.358333333,3.166666667,6.691666667,3.241666667
반포2동,11650570,dong,3.658333333,3.433333333,3.566666667,2.775,3.541666667,3.025
반포3동,11650580,dong,5.175,3.575,5.025,3.391666667,4.958333333,2.883333333
반포4동,11650581,dong,5.158333333,3.733333333,5.391666667,3.983333333,5.3,3.575
방배본동,11650590,dong,5.041666667,2.741666667,5.258333333,2.708333333,5.366666667,2.775
방배1동,11650600,dong,5.375,3.4,5.5,3.458333333,5.641666667,3.2
방배2동,11650610,dong,4.291666667,2.866666667,4.416666667,3.041666667,5.058333333,3.258333333
방배3동,11650620,dong,5.833333333,3.625,5.958333333,3.908333333,6.175,2.483333333
방배4동,11650621,dong,4.2,2.983333333,4.466666667,2.641666667,4.283333333,2.641666667
양재1동,11650651,dong,4.791666667,2.825,5.008333333,2.866666667,4.975,2.941666667
양재2동,11650652,dong,4.891666667,2.891666667,5.033333333,2.983333333,5.075,3.25
내곡동,11650660,dong,2.683333333,1.95,2.875,2.183333333,3.158333333,2.491666667
강남구,11680,gu,4.8,2.966666667,4.841666667,2.891666667,4.966666667,2.933333333
신사동,11680510,dong,4.491666667,2.941666667,4.583333333,2.866666667,4.708333333,2.966666667
논현1동,11680521,dong,4.775,2.908333333,4.958333333,3.025,5.158333333,3.058333333
논현2동,11680531,dong,4.975,3.575,4.958333333,3.266666667,5.008333333,3.15
압구정동,11680545,dong,4.658333333,2.658333333,4.741666667,2.683333333,4.858333333,2.891666667
청담동,11680565,dong,5.133333333,3.341666667,5.141666667,3.2,5.083333333,3.025
삼성1동,11680580,dong,4.375,2.416666667,4.491666667,2.508333333,4.441666667,2.658333333
삼성2동,11680590,dong,4.975,3.141666667,5.058333333,3.083333333,5.25,2.941666667
대치1동,11680600,dong,4.408333333,2.425,4.341666667,2.25,4.458333333,2.241666667
대치2동,11680610,dong,5.391666667,3.233333333,5.4,3.091666667,5.6,2.941666667
대치4동,11680630,dong,4.866666667,3.225,4.95,2.983333333,5,2.841666667
역삼1동,11680640,dong,4.983333333,2.875,4.991666667,2.8,5.125,2.858333333
역삼2동,11680650,dong,4.741666667,2.775,4.891666667,2.716666667,5.041666667,2.9
도곡1동,11680655,dong,4.466666667,2.733333333,4.566666667,2.9,4.716666667,3.125
도곡2동,11680656,dong,4.141666667,3.225,4.133333333,3.225,4.15,3.166666667
개포1동,11680660,dong,3.108333333,3.333333333,3.441666667,4.333333333,3.775,5.333333333
개포2동,11680670,dong,5.266666667,3.075,5.216666667,3.05,5.341666667,3.033333333
개포4동,11680690,dong,4.841666667,2.858333333,4.758333333,2.716666667,5.15,3.3
세곡동,11680700,dong,2.366666667,2.433333333,2.491666667,2.55,2.641666667,2.7
일원본동,11680720,dong,4.925,2.975,4.933333333,3.05,5.816666667,3.158333333
일원1동,11680730,dong,4.466666667,3.191666667,4.133333333,1.908333333,4.216666667,2.133333333
일원2동,11680740,dong,6.65,3.575,6.316666667,3.258333333,6.35,3.55
수서동,11680750,dong,4.908333333,2.85,4.966666667,2.875,5.383333333,3.433333333
송파구,11710,gu,4.5,3.133333333,4.616666667,3.091666667,4.691666667,3.05
풍납1동,11710510,dong,3.483333333,2.466666667,3.858333333,2.933333333,4.05,2.741666667
풍납2동,11710520,dong,5.466666667,3.533333333,5.633333333,3.566666667,5.358333333,3.2
거여1동,11710531,dong,3.925,2.708333333,4.241666667,2.925,4.475,2.625
거여2동,11710532,dong,3.883333333,3.65,4.166666667,4,4.458333333,3.425
마천1동,11710540,dong,3.791666667,3.225,3.841666667,3.291666667,3.8,3.2
마천2동,11710550,dong,4.25,3.358333333,4.041666667,2.875,4,2.941666667
방이1동,11710561,dong,4.475,2.866666667,4.55,2.633333333,4.625,2.775
방이2동,11710562,dong,4.316666667,3.358333333,4.358333333,3.233333333,4.325,3.083333333
오륜동,11710566,dong,6.691666667,2.7,6.416666667,2.4,6.55,2.683333333
오금동,11710570,dong,5.458333333,3.441666667,5.6,3.65,5.45,3.325
송파1동,11710580,dong,4.2,3.033333333,4.416666667,3.166666667,4.341666667,3.058333333
송파2동,11710590,dong,4.625,3.375,4.775,3.5,4.741666667,2.675
석촌동,11710600,dong,4,3,4.15,2.8,4.275,2.833333333
삼전동,11710610,dong,4.575,3.483333333,4.691666667,3.45,4.825,3.65
가락본동,11710620,dong,4.558333333,3.366666667,4.658333333,3.333333333,4.8,3.533333333
가락1동,11710631,dong,5.208333333,4.358333333,4.733333333,3.341666667,3.775,2.541666667
가락2동,11710632,dong,4.658333333,3.058333333,4.925,3.208333333,4.791666667,3.058333333
문정1동,11710641,dong,4.333333333,3.341666667,4.541666667,3.525,4.566666667,3.316666667
문정2동,11710642,dong,2.9,1.975,2.991666667,2.216666667,3.216666667,2.441666667
장지동,11710646,dong,4.675,2.633333333,4.733333333,2.591666667,5.158333333,2.725
위례동,11710647,dong,1.616666667,1.616666667,2.05,2.05,1.8,1.8
잠실본동,11710650,dong,5.475,3.508333333,5.391666667,3.033333333,5.491666667,3.141666667
잠실2동,11710670,dong,5.6,4.041666667,6.041666667,3.75,6.625,4.283333333
잠실3동,11710680,dong,5.308333333,3.033333333,5.825,3.625,6.408333333,3.791666667
잠실4동,11710690,dong,4.108333333,4.2,3.791666667,2.683333333,4.058333333,2.483333333
잠실6동,11710710,dong,5.266666667,3.575,5.583333333,3.641666667,5.625,3.408333333
잠실7동,11710720,dong,3.733333333,4.833333333,4.233333333,5.5,4.733333333,6.166666667
강동구,11740,gu,4.333333333,3.083333333,4.483333333,3.1,4.6,3.116666667
강일동,11740515,dong,2.933333333,2.933333333,3.316666667,3.258333333,3.391666667,3.191666667
상일동,11740520,dong,5.433333333,2.958333333,5.983333333,3.575,5.458333333,2.775
명일1동,11740530,dong,4.408333333,2.758333333,4.55,2.533333333,4.975,2.541666667
명일2동,11740540,dong,4.916666667,3.05,4.633333333,2.675,4.7,3.141666667
고덕1동,11740550,dong,4.741666667,2.833333333,5.175,2.991666667,5.325,3.208333333
고덕2동,11740560,dong,3.158333333,2.291666667,3.416666667,2.566666667,3.216666667,2.408333333
암사1동,11740570,dong,4.616666667,2.958333333,4.916666667,3.1,5.1,3.458333333
암사2동,11740580,dong,4.908333333,3.716666667,5.308333333,4.291666667,5.091666667,2.991666667
암사3동,11740590,dong,5.283333333,2.4,5.816666667,2.158333333,5.866666667,2.275
천호1동,11740600,dong,3.741666667,3.341666667,3.941666667,3.391666667,4.2,3.7
천호2동,11740610,dong,4.225,3.058333333,4.316666667,3.183333333,4.433333333,3.391666667
천호3동,11740620,dong,4.466666667,3.066666667,4.633333333,3.316666667,4.925,3.308333333
성내1동,11740640,dong,3.916666667,2.75,4.008333333,2.6,4.183333333,2.8
성내2동,11740650,dong,3.575,2.95,3.675,2.9,3.916666667,2.95
성내3동,11740660,dong,4.55,3.158333333,4.758333333,3.391666667,4.716666667,3.191666667
길동,11740685,dong,4.483333333,3.4,4.591666667,3.15,4.641666667,2.858333333
둔촌1동,11740690,dong,6.416666667,4.291666667,5.441666667,3.358333333,5.416666667,3.608333333
둔촌2동,11740700,dong,5.341666667,3.383333333,5.225,3.075,5.441666667,3.458333333
