NM,CD,GUBUN,20182분기소득분위,20182분위가구수,20192분기소득분위,20192분기가구수,20202분기소분분위,20202분기가구수
효창동,11170580,dong,"7분위:2,983,559~3,741,082원",3653,"7분위:2,983,559~3,741,082원",3850,"7분위:2,983,559~3,741,082원",3740
용문동,11170590,dong,"7분위:2,983,559~3,741,082원",5397,"7분위:2,983,559~3,741,082원",5509,"7분위:2,983,559~3,741,082원",5418
한강로동,11170625,dong,"9분위:4,890,362~6,945,811원",8256,"9분위:4,890,362~6,945,811원",8257,"9분위:4,890,362~6,945,811원",9217
이촌1동,11170630,dong,"9분위:4,890,362~6,945,811원",10089,"9분위:4,890,362~6,945,811원",10046,"9분위:4,890,362~6,945,811원",10259
이촌2동,11170640,dong,"7분위:2,983,559~3,741,082원",3831,"7분위:2,983,559~3,741,082원",3828,"7분위:2,983,559~3,741,082원",3859
이태원1동,11170650,dong,"7분위:2,983,559~3,741,082원",3771,"7분위:2,983,559~3,741,082원",3739,"7분위:2,983,559~3,741,082원",3690
이태원2동,11170660,dong,"7분위:2,983,559~3,741,082원",4888,"7분위:2,983,559~3,741,082원",4949,"7분위:2,983,559~3,741,082원",4877
한남동,11170685,dong,"8분위:3,741,083~4,890,361원",10913,"8분위:3,741,083~4,890,361원",11065,"8분위:3,741,083~4,890,361원",11192
서빙고동,11170690,dong,"8분위:3,741,083~4,890,361원",5252,"8분위:3,741,083~4,890,361원",5237,"8분위:3,741,083~4,890,361원",5265
보광동,11170700,dong,"6분위:2,440,600~2,983,558원",7692,"6분위:2,440,600~2,983,558원",7797,"6분위:2,440,600~2,983,558원",7544
성동구,11200,gu,"8분위:3,741,083~4,890,361원",133950,"7분위:2,983,559~3,741,082원",136930,"7분위:2,983,559~3,741,082원",135593
왕십리2동,11200520,dong,"7분위:2,983,559~3,741,082원",7813,"7분위:2,983,559~3,741,082원",7779,"7분위:2,983,559~3,741,082원",7719
왕십리도선동,11200535,dong,"8분위:3,741,083~4,890,361원",11298,"8분위:3,741,083~4,890,361원",11321,"8분위:3,741,083~4,890,361원",11679
마장동,11200540,dong,"7분위:2,983,559~3,741,082원",10324,"7분위:2,983,559~3,741,082원",10623,"7분위:2,983,559~3,741,082원",10877
사근동,11200550,dong,"7분위:2,983,559~3,741,082원",6864,"7분위:2,983,559~3,741,082원",7174,"7분위:2,983,559~3,741,082원",7426
행당1동,11200560,dong,"7분위:2,983,559~3,741,082원",6135,"8분위:3,741,083~4,890,361원",7735,"8분위:3,741,083~4,890,361원",7161
행당2동,11200570,dong,"8분위:3,741,083~4,890,361원",9465,"8분위:3,741,083~4,890,361원",9494,"8분위:3,741,083~4,890,361원",9454
응봉동,11200580,dong,"8분위:3,741,083~4,890,361원",6255,"8분위:3,741,083~4,890,361원",6217,"8분위:3,741,083~4,890,361원",6180
금호1가동,11200590,dong,"7분위:2,983,559~3,741,082원",6435,"8분위:3,741,083~4,890,361원",6601,"8분위:3,741,083~4,890,361원",6619
금호2.3가동,11200615,dong,"8분위:3,741,083~4,890,361원",10244,"8분위:3,741,083~4,890,361원",10327,"8분위:3,741,083~4,890,361원",10323
금호4가동,11200620,dong,"8분위:3,741,083~4,890,361원",6307,"8분위:3,741,083~4,890,361원",6410,"8분위:3,741,083~4,890,361원",6341
옥수동,11200645,dong,"9분위:4,890,362~6,945,811원",10989,"8분위:3,741,083~4,890,361원",11045,"8분위:3,741,083~4,890,361원",11105
성수1가1동,11200650,dong,"8분위:3,741,083~4,890,361원",7343,"8분위:3,741,083~4,890,361원",7512,"8분위:3,741,083~4,890,361원",7587
성수1가2동,11200660,dong,"7분위:2,983,559~3,741,082원",7042,"7분위:2,983,559~3,741,082원",7157,"7분위:2,983,559~3,741,082원",6607
성수2가1동,11200670,dong,"7분위:2,983,559~3,741,082원",8551,"6분위:2,440,600~2,983,558원",8568,"6분위:2,440,600~2,983,558원",8516
성수2가3동,11200690,dong,"7분위:2,983,559~3,741,082원",5423,"7분위:2,983,559~3,741,082원",5531,"7분위:2,983,559~3,741,082원",5673
송정동,11200720,dong,"6분위:2,440,600~2,983,558원",5456,"6분위:2,440,600~2,983,558원",5509,"6분위:2,440,600~2,983,558원",5503
용답동,11200790,dong,"6분위:2,440,600~2,983,558원",8006,"6분위:2,440,600~2,983,558원",7927,"6분위:2,440,600~2,983,558원",6823
