NM,CD,GUBUN,20182분기1층,20192분기1층,20202분기1층,20182분기1층외,20192분기1층외,20202분기1층외,20182분기전체,20192분기전체,20202분기전체
11215830,자양2동,dong,101332,93207,85428,73458,60412,82118,91233,83837,84154
11215840,자양3동,dong,121776,116743,124891,92306,131075,117059,108850,122439,121514
11215847,자양4동,dong,103327,149053,148193,55757,68801,65272,85801,118099,117663
11215850,구의1동,dong,110851,103925,108732,73607,69081,64845,96884,86168,91743
11215860,구의2동,dong,98962,142331,118544,56484,67953,60570,83312,117538,100145
11215870,구의3동,dong,126248,126403,134399,79091,74148,95177,92507,91566,107732
11230,동대문구,gu,118968,113019,114777,68805,62544,58957,99316,92872,91365
11230536,용신동,dong,120833,102637,103155,75004,59261,60416,100101,84142,82744
11230545,제기동,dong,124386,111502,137237,69493,59250,64640,110105,97058,114537
11230560,전농1동,dong,127935,119223,98157,110281,66211,69523,123057,101552,87674
11230570,전농2동,dong,133717,91775,122622,70926,77686,83364,103334,86388,105237
11230600,답십리1동,dong,122658,158231,129713,72826,46084,54920,97742,104342,96822
11230610,답십리2동,dong,94022,91945,98418,83085,67824,49579,90897,82092,78953
11230650,장안1동,dong,105897,100258,97830,45376,57424,56368,74819,78497,78200
11230660,장안2동,dong,95242,101187,114050,73731,55387,54227,84903,80302,84506
11230705,청량리동,dong,123481,93760,88812,64423,57516,52405,116475,79706,76676
11230710,회기동,dong,172855,138870,135466,96011,99542,71110,150442,128087,115978
11230720,휘경1동,dong,128554,143601,156739,68000,131594,48348,109523,140776,107346
11230730,휘경2동,dong,116193,111380,108469,72745, ,50864,101080, ,85427
11230740,이문1동,dong,124405,113825,141471,67584,82106,56253,104397,100734,113775
11230750,이문2동,dong,68702,197056,86038,33981,45909,60594,55199,124506,74655
11260,중랑구,gu,89913,93253,95238,41428,50631,53950,70544,78050,78716
11260520,면목2동,dong,88047,74210,89245,36287,37019,38917,65985,61274,72370
11260540,면목4동,dong,74020,67706,71150,61635,38030,51172,68280,56684,63841
11260550,면목5동,dong,72812,72565,71432,32783,26821,40012,53851,56731,58555
11260565,면목본동,dong,88627,93715,95040,36888,36446,51625,69605,82387,78023
11260570,면목7동,dong,87874,126737,116040,42633,40378,49041,71634,105526,95709
11260575,면목3.8동,dong,87998,93461,95767,45667,61483,54983,70246,85977,79204
11260580,상봉1동,dong,92636,114677,96036,46759,60819,65375,75234,90740,85156
11260590,상봉2동,dong,103275,91664,109255,42993,74823,62730,80226,86631,88011
11260600,중화1동,dong,62236,61484,79493,32758,75401,47024,53677,66255,65027
11260610,중화2동,dong,89193,114209,103687,32520,43014,46323,65004,84782,80906
11260620,묵1동,dong,105330,100885,119657,54475,59777,57821,91345,78234,90499
11260630,묵2동,dong,110387,74118,84731,42732,38823,75513,79162,60000,81700
11260655,망우본동,dong,87497,102718,84079,32764,45350,56682,68052,76424,72448
11260660,망우3동,dong,67218,66933,68510,38291,23345,35094,57274,51366,57579
11260680,신내1동,dong,92915,90579,99522,42272,43645,61171,70177,69720,81102
11260690,신내2동,dong,121844,168207,128149,55224,121346,53793,82477,141720,89014
11290,성북구,gu,105655,109228,111096,68915,69573,61006,91099,93962,90476
11290525,성북동,dong,139088,123956,139800, ,75787,88716, ,107900,122091
11290555,삼선동,dong,110147,124730,116038,62341,74477,60038,90701,103134,91838
11290575,동선동,dong,157886,140172,171469,90803,74467,69622,130767,114738,126537
11290580,돈암1동,dong,129046,103208,82975,68603,111476,63085,101572,107342,69138
11290590,돈암2동,dong, , ,115874, , ,107082, , ,111478
11290600,안암동,dong,131905,125533,134392,101710,89652,58301,121997,111814,96347
11290610,보문동,dong,96817,94935,90104,47086,54608,61543,71952,78804,77436
11290620,정릉1동,dong,107330,82374,99725,69802,61961,59614,92085,74951,89326
11290630,정릉2동,dong,115222,146211,91397,75002,47975,51931,98287,84359,72635
11290640,정릉3동,dong,101198,98705,80501,39317,84958,44111,76446,92748,70360
11290650,정릉4동,dong,91713,137973,107430,73391,87531,56538,85009,123746,84165
11290660,길음1동,dong,111214,139858,164501,132384,131833,101508,124763,135845,130755
11290685,길음2동,dong,86189,147536,140956,47508,64370,86025,57178,111377,113040
11290705,종암동,dong,83610,92412,96620,89113,78767,54079,85750,86324,79785
11290715,월곡1동,dong,111180,101653,97281,53791,41592,65203,86585,82730,85570
11290725,월곡2동,dong,101334,97317,105170,65064,57484,40640,88898,77853,78319
11290760,장위1동,dong,59940,53492,61785,40267,36669,31028,56005,49950,53300
11290770,장위2동,dong,75714,84513,79768,44523,35881,59180,65157,69202,72535
11290780,장위3동,dong,93534,114259,95326,50650,58556,36881,72092,89502,73247
11290810,석관동,dong,79588,90949,94920,54312,68632,50649,71162,85855,79928
11305,강북구,gu,91179,97288,99833,58644,72741,64177,80861,88452,86837
11305534,삼양동,dong,83920,93911,84721,66350,50539,78580,76111,77003,82337
11305535,미아동,dong,100387,94767,109104,41950,81045,57498,85286,89500,89231
11305545,송중동,dong,124516,116732,119842,62953,69760,76519,104228,100205,102632
11305555,송천동,dong,88510,90423,90665,53095,63965,44299,77751,81035,74028
11305575,삼각산동,dong,120304,153338,127057,86645,99443,130806,107481,117408,128526
11305590,번1동,dong,95096,92235,95557,73787,81510,60055,87051,87945,82377
11305600,번2동,dong,74150,92725,70717, ,40702,92619, ,72907,78246
11305606,번3동,dong,78193,99483,97154,61797,120014,38600,67014,109064,67227
11305610,수유1동,dong,88510,96451,99017,43884,37453,37790,75846,72676,82762
11305620,수유2동,dong,73407,79360,80314,76384,136289,55519,74285,98615,71731
11305630,수유3동,dong,101505,120010,121017,57344,73226,71545,85734,106726,102465
11305645,우이동,dong,68861,82934,80774,35234,33166,46454,64223,70684,71891
11305660,인수동,dong,63163,60844,65162,28031,39692,51524,55199,54686,60327
11320,도봉구,gu,97093,103940,100812,58313,50630,53244,83091,84192,81991
11320511,창1동,dong,107254,81261,100710,148956,51302,61372,122314,67643,83579
11320512,창2동,dong,80417,101554,90065,41121,34842,38765,63165,80263,68236
11320513,창3동,dong,74091,80754,79993,39985,57630,33881,62367,75359,64622
11320514,창4동,dong,218012,215119,173094,81667,95620,80357,127116,143420,109262
11320515,창5동,dong,139074,140496,132260,47067,59040,59935,92202,105586,96423
11320521,도봉1동,dong,69514,98691,90325,76095,40293,34773,70997,80004,74157
11320522,도봉2동,dong,88623,105854,101683,64871,51395,60520,79386,82514,83846
11320660,쌍문1동,dong,88584,95225,70214,29085, ,37413,68751, ,61657
11320670,쌍문2동,dong,94776,101101,94134,45804,39083,45571,76678,77421,73385
11320680,쌍문3동,dong,108029,72936,121258,36827,49032,44503,87087,64968,96621
11320681,쌍문4동,dong,144198,118387,114171,46794,57300,58775,102454,84450,83557
11320690,방학1동,dong,88058,118707,103418,41752,57099,48851,74468,100305,87188
11320700,방학2동,dong,101506,74361,85839,21321,23524,28756,90051,60497,70997
11320710,방학3동,dong,58673,94694,85367,56924,42060,82667,57850,64617,83726
11350,노원구,gu,128814,133134,136712,69892,70780,71781,102261,105277,104896
11350560,월계1동,dong,103361,133370,138209,32560,41228,58779,76290,103424,105387
11350570,월계2동,dong,88942,131897,88552,120809,38800,86025,102884,96090,87478
11350580,월계3동,dong, ,148960,190722, , ,77628, , ,121609
11350595,공릉1동,dong,105489,113500,111611,47382,46698,64015,81787,87993,93340
