NM,CD,GUBUN,20182분기1층,20192분기1층,20202분기1층,20182분기1층외,20192분기1층외,20202분기1층외,20182분기전체,20192분기전체,20202분기전체
11620655,신원동,dong,138271,164874,125867,45867,52234,59995,115870,140148,113806
11620665,서림동,dong,81403,103531,97431,40073,56030,133895,64182,79781,107659
11620685,신사동,dong,106746,99350,132995,53341,47966,50443,89616,84475,111237
11620695,신림동,dong,157066,197512,161686,85616,96898,91055,131389,154224,130595
11620715,난향동,dong,130053,78648,105507,63882,60178,66676,101103,68870,77355
11620725,조원동,dong,85133,96721,102115,45772,54562,51298,71114,78415,82526
11620735,대학동,dong,114378,125414,115241,49930,97809,68405,90346,115221,100299
11620745,삼성동,dong,96875,78878,74483,36763,32036,51998,75836,63888,65560
11620765,미성동,dong,90335,100013,105343,45938,86759,62147,73978,94491,90723
11620775,난곡동,dong,132216,109023,128676,51134,52036,56815,104256,85279,107540
11650,서초구,gu,142847,136653,138477,97759,93880,105792,117229,112694,118891
11650510,서초1동,dong,125777,132931,128043,76891,78126,86738,98840,104377,104193
11650520,서초2동,dong,193137,159087,191125,130364,135720,145034,149956,141328,156557
11650530,서초3동,dong,136069,121117,142860,110017,89318,94311,119908,104263,113138
11650531,서초4동,dong,126006,139766,174247,104352,106388,117430,112109,116560,134647
11650540,잠원동,dong,135606,155668,132407,102133,86202,112162,114603,108508,119293
11650550,반포본동,dong,154215,143968,117101,79325,89202,76069,131422,128320,104117
11650560,반포1동,dong,189338,172872,155522,110863,115066,125990,149532,141105,139446
11650570,반포2동,dong,303013, ,295833,157765,206065,165749,236991, ,207562
11650580,반포3동,dong, ,227111,224457,82285,81681,119820, ,160291,155945
11650581,반포4동,dong,265483,224702,182582,103202,121699,142400,143354,155391,150249
11650590,방배본동,dong,118396,129364,122414,86092,53766,64321,104292,95442,94879
11650600,방배1동,dong,135583,121183,133015,78265,74197,81979,107820,92991,108353
11650610,방배2동,dong,142822,138448,124352,93052,98142,107044,120133,123748,115645
11650620,방배3동,dong,88406,134998,114923,59138,52108,60380,75398,100461,81686
11650621,방배4동,dong,118764,115970,121448,99485,78754,80686,110656,102555,103709
11650651,양재1동,dong,146052,120974,136925,89021,73069,88071,115607,93985,110471
11650652,양재2동,dong,87157,91743,93580,64745,64452,66706,74237,75656,78941
11650660,내곡동,dong,135860,87352,154196,77524,206153,83515,112525,134872,122321
11680,강남구,gu,159885,164009,171681,105883,111717,115950,127658,132143,136221
11680510,신사동,dong,190766,189594,173290,89272,89882,100295,127117,126723,126921
11680521,논현1동,dong,158358,164930,159334,105091,103295,102981,127544,128039,125342
11680531,논현2동,dong,141326,139437,140442,84444,97866,108497,104613,114494,119721
11680545,압구정동,dong,179640,197817,203676,99542,96514,99003,129758,140894,136651
11680565,청담동,dong,159986,168623,167299,106859,104529,121358,124481,128413,134743
11680580,삼성1동,dong,159989,173572,181339,169548,147450,174076,165998,155487,176361
11680590,삼성2동,dong,183569,155942,172438,121329,147976,121373,147734,151371,140609
11680600,대치1동,dong,220376,279105,278364,103866,139097,122313,153383,202737,191815
11680610,대치2동,dong,171168,157488,177188,106355,139830,127608,128462,145933,148584
11680630,대치4동,dong,172127,178629,201765,120050,91253,109483,143484,130896,144136
11680640,역삼1동,dong,160658,157738,169188,118502,132448,131139,135382,140577,142853
11680650,역삼2동,dong,166016,152412,193215,102878,127816,122500,131932,137836,148290
11680655,도곡1동,dong,181810,183753,177980,87886,113442,103073,125101,145496,132666
11680656,도곡2동,dong,164714,180024,191104,105430,108641,114294,130222,144332,141097
11680660,개포1동,dong,86971,132795, , , ,81064, , , 
11680670,개포2동,dong,114487,168681,157113,78864,64212,86983,96241,116447,129354
11680690,개포4동,dong,79851,86258,88367,43906,51975,54691,65146,67343,70258
11680700,세곡동,dong,186887,155771,146949,110565,96101,101813,145899,116585,118921
11680720,일원본동,dong,165450,142033,199699,134939,105622,106170,148808,121805,163101
11680730,일원1동,dong,105486,120060,131773,69393,42772,50388,90017,92105,103465
11680740,일원2동,dong,151600,218536,156133,87679,68220,104973,115644,107776,115205
11680750,수서동,dong,141561,132788,184392,129845,92259,106389,131948,100791,125890
11710,송파구,gu,129378,142495,148293,78333,91526,100859,105018,117495,122981
11710510,풍납1동,dong,100747,90189,87904,46236,34300,46546,86402,77292,73842
11710520,풍납2동,dong,80414,107433,113474,47226,75160,54237,64246,95425,90072
11710531,거여1동,dong,89375,97150,97746,28568,42243,69563,69106,80678,83042
11710532,거여2동,dong,134566,136240,111590,52163,39474,45545,100010,94308,75654
11710540,마천1동,dong,79070,72130,99137, ,38647,40304, ,64890,86289
11710550,마천2동,dong,95107,97886,125973,40290,46262,30651,79445,86414,102994
11710561,방이1동,dong,101832,110210,129212,55071,73893,53854,78010,93295,94207
11710562,방이2동,dong,131314,135306,144311,57809,68803,75787,96055,102264,106459
11710566,오륜동,dong,328710,333684,345767,138445,146744,213999,269252,268662,307201
11710570,오금동,dong,83736,103822,104174,65571,59552,47608,75751,83938,76568
11710580,송파1동,dong,101590,109775,123838,60161,65234,94306,83556,91001,110737
11710590,송파2동,dong,143584,129176,108827,56490,69614,52590,100037,103213,77818
11710600,석촌동,dong,107916,128332,147191,58673,69737,73973,91859,103273,113347
11710610,삼전동,dong,119357,143652,142871,63811,75604,61009,103334,116539,109040
11710620,가락본동,dong,97354,127851,143558,82069,91817,75124,88784,109307,110971
11710631,가락1동,dong,44077,102804,169185,137442,108193,186535,67098,104021,175536
11710632,가락2동,dong,99824,121732,115464,55727,60206,64031,79171,98169,90482
11710641,문정1동,dong,99403,108140,102419,41509,54156,74845,75372,85451,91845
11710642,문정2동,dong,233411,231907,207509,85372,100922,112187,120901,128310,128851
11710646,장지동,dong,86205,119764,127557,66123,45633,57810,76732,82698,103093
11710647,위례동,dong,265931,215981,206886,111080,114802,87738,206373,176634,138082
11710650,잠실본동,dong,134629,167542,166724,79084,74210,76621,110930,128005,123037
11710670,잠실2동,dong,372406,543268,451144,191992,233552,196398,252130,355809,256480
11710680,잠실3동,dong,274458,128940,252070,118518,279521,255137,164879,245640,254660
11710690,잠실4동,dong,284213,448214,336928,123301,141908,198003,219849,275084,233625
11710710,잠실6동,dong,291690,212606,199164,98544,139007,145946,165725,155626,160288
11710720,잠실7동,dong,160038, ,168896, , ,47313, , ,121614
11740,강동구,gu,107111,109765,125177,59334,60847,75944,88441,89901,104536
11740515,강일동,dong,260066,175627,217976,81865,71732,84612,161748,107353,120301
11740520,상일동,dong,80149,80301,124857,54906,68175,41278,70498,74996,98324
11740530,명일1동,dong,105643,126290,115613,46112,52379,64269,89030,100705,90340
11740540,명일2동,dong,103153,117438,143253,47861,80977,54645,75507,95156,88067
11740550,고덕1동,dong,74613,184567,134010,70302,78552,76986,72817,138186,105937
11740560,고덕2동,dong,99824,81687,216979,52285, ,144794,87499, ,198296
11740570,암사1동,dong,116120,102735,107218,55459,72526,80390,90845,93136,97549
11740580,암사2동,dong,113140,116545,134084,48651,65770,56531,93297,86080,99739
11740590,암사3동,dong,91580,95057,116392,100178,85562,96377,96440,91497,104804
11740600,천호1동,dong,98646,90920,111019,44641,42421,67720,76579,70661,94636
11740610,천호2동,dong,101158,104572,123504,66515,61777,98836,88640,87169,112885
11740620,천호3동,dong,105651,112109,144388,67007,60697,74998,91339,93313,119513
11740640,성내1동,dong,96383,106415,126344,53714,46995,58714,73497,75290,94398
11740650,성내2동,dong,111401,117569,97042,59020,61884,75006,95624,99375,89456
11740660,성내3동,dong,103780,111788,136060,49189,57119,100508,80843,88479,122888
11740685,길동,dong,118674,106628,115506,63290,62930,68058,100737,89280,96572
11740690,둔촌1동,dong, , , , , , , , , 
11740700,둔촌2동,dong,88007,94649,98771,85127,45454,52189,86807,79276,80729
