NM,CD,GUBUN,2020년2분기전체점포,2020년2분기일반,2020년2분기프렌차이즈,2020년1분기전체점포,2020년1분기일반,2020년1분기프렌차이즈,2019년4분기전체점포,2019년4분기일반,2019년4분기프렌차이즈,2019년3분기전체점포,2019년3분기일반,2019년3분기프렌차이즈,2019년2분기전체점포,2019년2분기일반,2019년2분기프렌차이즈,2019년1분기전체점포,2019년1분기일반,2019년1분기프렌차이즈,2018년4분기전체점포,2018년4분기일반,2018년4분기프렌차이즈,2018년3분기전체점포,2018년3분기일반,2018년3분기프렌차이즈
이태원2동,11170660,dong,13,2,11,13,2,11,14,3,11,15,3,12,14,3,11,15,3,12,14,3,11,14,3,11
한남동,11170685,dong,26,5,21,25,4,21,24,4,20,22,8,14,23,8,15,23,8,15,23,8,15,23,8,15
서빙고동,11170690,dong,9,2,7,9,2,7,9,2,7,9,2,7,9,2,7,9,2,7,9,2,7,9,2,7
보광동,11170700,dong,10,0,10,10,0,10,10,0,10,10,2,8,10,2,8,10,2,8,10,2,8,10,2,8
성동구,11200,gu,318,56,262,318,54,264,310,50,260,323,87,236,311,79,232,314,79,235,318,79,239,320,78,242
왕십리2동,11200520,dong,10,0,10,11,0,11,12,0,12,10,1,9,10,1,9,8,0,8,9,1,8,10,1,9
왕십리도선동,11200535,dong,28,5,23,28,5,23,28,5,23,32,6,26,32,6,26,33,7,26,33,7,26,34,7,27
마장동,11200540,dong,19,1,18,19,1,18,16,1,15,15,2,13,15,2,13,15,2,13,13,2,11,14,2,12
사근동,11200550,dong,34,10,24,34,10,24,34,9,25,39,11,28,34,9,25,34,9,25,34,9,25,35,8,27
행당1동,11200560,dong,17,9,8,17,9,8,16,7,9,18,9,9,18,9,9,18,9,9,18,9,9,19,9,10
행당2동,11200570,dong,8,0,8,7,0,7,7,0,7,7,0,7,7,0,7,7,0,7,8,0,8,8,1,7
응봉동,11200580,dong,4,0,4,4,0,4,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3
금호1가동,11200590,dong,9,1,8,10,0,10,9,0,9,10,1,9,8,0,8,9,1,8,10,1,9,11,1,10
금호2.3가동,11200615,dong,15,1,14,14,0,14,13,0,13,13,1,12,13,1,12,13,1,12,14,1,13,13,1,12
금호4가동,11200620,dong,7,2,5,7,2,5,8,2,6,9,3,6,9,3,6,9,3,6,8,2,6,8,2,6
옥수동,11200645,dong,13,1,12,13,1,12,11,0,11,12,0,12,11,0,11,14,0,14,15,0,15,15,0,15
성수1가1동,11200650,dong,23,3,20,22,3,19,23,4,19,25,8,17,23,6,17,21,6,15,22,7,15,21,7,14
성수1가2동,11200660,dong,30,9,21,30,9,21,28,7,21,27,10,17,29,10,19,29,10,19,27,10,17,28,9,19
성수2가1동,11200670,dong,22,3,19,23,3,20,24,4,20,26,10,16,23,8,15,23,7,16,26,8,18,23,8,15
성수2가3동,11200690,dong,56,9,47,57,9,48,54,9,45,53,21,32,53,21,32,55,21,34,55,19,36,55,19,36
송정동,11200720,dong,8,0,8,8,0,8,8,0,8,8,2,6,8,2,6,7,2,5,7,2,5,7,2,5
용답동,11200790,dong,15,2,13,14,2,12,16,2,14,16,2,14,15,1,14,16,1,15,16,1,15,16,1,15
광진구,11215,gu,388,69,319,391,64,327,383,65,318,388,98,290,396,97,299,399,101,298,410,106,304,400,103,297
화양동,11215710,dong,60,13,47,59,12,47,58,10,48,61,14,47,63,14,49,67,15,52,65,15,50,63,13,50
군자동,11215730,dong,30,2,28,29,2,27,27,2,25,25,9,16,27,9,18,27,9,18,26,9,17,29,10,19
중곡1동,11215740,dong,15,0,15,16,0,16,16,1,15,16,4,12,16,4,12,15,4,11,15,4,11,15,3,12
중곡2동,11215750,dong,27,8,19,26,7,19,24,7,17,24,7,17,24,7,17,25,7,18,25,7,18,25,7,18
중곡3동,11215760,dong,17,4,13,17,3,14,18,4,14,20,7,13,20,7,13,21,7,14,22,7,15,21,6,15
중곡4동,11215770,dong,20,3,17,20,3,17,20,3,17,22,5,17,22,5,17,22,6,16,24,6,18,23,6,17
능동,11215780,dong,21,4,17,22,4,18,17,4,13,17,4,13,17,4,13,17,4,13,20,5,15,18,5,13
광장동,11215810,dong,20,2,18,21,2,19,21,2,19,24,5,19,25,5,20,25,5,20,25,4,21,25,5,20
자양1동,11215820,dong,22,3,19,23,3,20,23,3,20,23,4,19,24,4,20,25,4,21,27,4,23,26,4,22
자양2동,11215830,dong,20,4,16,20,4,16,20,3,17,19,4,15,21,3,18,21,3,18,21,3,18,21,5,16
자양3동,11215840,dong,28,2,26,28,1,27,27,1,26,27,4,23,27,4,23,25,4,21,27,4,23,27,4,23
자양4동,11215847,dong,30,7,23,31,7,24,34,8,26,33,10,23,33,10,23,30,10,20,36,14,22,35,13,22
구의1동,11215850,dong,28,5,23,29,5,24,29,5,24,28,6,22,29,6,23,30,7,23,29,8,21,27,7,20
구의2동,11215860,dong,18,3,15,17,2,15,17,3,14,18,4,14,18,4,14,18,4,14,18,4,14,16,4,12
