NM,CD,GUBUN,2020년2분기전체점포,2020년2분기일반,2020년2분기프렌차이즈,2020년1분기전체점포,2020년1분기일반,2020년1분기프렌차이즈,2019년4분기전체점포,2019년4분기일반,2019년4분기프렌차이즈,2019년3분기전체점포,2019년3분기일반,2019년3분기프렌차이즈,2019년2분기전체점포,2019년2분기일반,2019년2분기프렌차이즈,2019년1분기전체점포,2019년1분기일반,2019년1분기프렌차이즈,2018년4분기전체점포,2018년4분기일반,2018년4분기프렌차이즈,2018년3분기전체점포,2018년3분기일반,2018년3분기프렌차이즈
진관동,11380690,dong,39,4,35,34,3,31,33,4,29,34,6,28,34,5,29,33,5,28,34,4,30,32,4,28
서대문구,11410,gu,326,53,273,318,43,275,311,38,273,307,58,249,311,61,250,307,59,248,304,57,247,299,52,247
천연동,11410520,dong,14,3,11,12,1,11,12,1,11,12,2,10,12,3,9,12,3,9,11,2,9,10,2,8
북아현동,11410555,dong,8,0,8,8,0,8,8,0,8,8,1,7,9,3,6,8,3,5,8,3,5,8,3,5
충현동,11410565,dong,32,3,29,30,3,27,28,2,26,28,3,25,28,3,25,28,3,25,27,3,24,27,3,24
신촌동,11410585,dong,85,17,68,83,15,68,82,17,65,82,27,55,84,27,57,84,25,59,83,24,59,85,23,62
연희동,11410615,dong,41,10,31,39,7,32,40,7,33,39,10,29,39,9,30,38,9,29,38,9,29,38,9,29
홍제1동,11410620,dong,18,1,17,17,0,17,16,0,16,15,1,14,15,1,14,14,1,13,15,1,14,16,1,15
홍제3동,11410640,dong,13,1,12,13,1,12,13,1,12,13,1,12,13,1,12,13,1,12,12,1,11,11,0,11
홍제2동,11410655,dong,6,1,5,5,0,5,6,1,5,5,1,4,5,1,4,5,1,4,5,1,4,4,0,4
홍은1동,11410660,dong,12,2,10,12,2,10,11,0,11,10,1,9,11,2,9,11,2,9,11,2,9,11,2,9
홍은2동,11410685,dong,23,3,20,23,3,20,22,3,19,21,3,18,21,3,18,21,3,18,21,3,18,19,2,17
남가좌1동,11410690,dong,9,1,8,10,1,9,9,0,9,8,0,8,8,0,8,8,0,8,8,0,8,8,0,8
남가좌2동,11410700,dong,23,3,20,22,2,20,22,2,20,24,3,21,25,3,22,23,3,20,23,3,20,20,2,18
북가좌1동,11410710,dong,11,3,8,11,3,8,11,1,10,11,1,10,10,1,9,10,1,9,10,1,9,10,1,9
북가좌2동,11410720,dong,31,5,26,33,5,28,31,3,28,31,4,27,31,4,27,32,4,28,32,4,28,32,4,28
마포구,11440,gu,543,95,448,552,93,459,541,92,449,543,120,423,543,120,423,539,120,419,549,123,426,542,116,426
아현동,11440555,dong,25,2,23,26,2,24,24,1,23,24,4,20,23,3,20,23,4,19,23,4,19,23,4,19
공덕동,11440565,dong,28,8,20,28,8,20,28,8,20,29,9,20,29,9,20,29,9,20,30,10,20,29,9,20
도화동,11440585,dong,24,2,22,24,2,22,23,2,21,23,2,21,23,2,21,23,2,21,23,2,21,21,1,20
용강동,11440590,dong,28,6,22,29,6,23,25,6,19,25,6,19,26,7,19,26,7,19,25,7,18,27,8,19
대흥동,11440600,dong,40,5,35,40,5,35,40,6,34,40,8,32,40,8,32,41,8,33,40,8,32,41,8,33
염리동,11440610,dong,9,3,6,9,3,6,9,3,6,9,3,6,10,3,7,10,3,7,10,3,7,9,3,6
신수동,11440630,dong,17,3,14,18,2,16,18,2,16,17,3,14,18,3,15,17,3,14,17,3,14,17,3,14
서강동,11440655,dong,34,4,30,36,4,32,40,5,35,38,5,33,41,5,36,40,5,35,42,6,36,41,5,36
서교동,11440660,dong,125,27,98,127,27,100,123,25,98,125,36,89,124,35,89,123,34,89,128,36,92,127,34,93
합정동,11440680,dong,29,7,22,28,6,22,27,6,21,27,7,20,28,7,21,30,7,23,28,7,21,28,7,21
망원1동,11440690,dong,26,8,18,26,8,18,23,7,16,25,8,17,25,8,17,24,7,17,25,7,18,24,5,19
망원2동,11440700,dong,18,1,17,18,1,17,19,1,18,18,2,16,17,2,15,17,2,15,17,2,15,17,2,15
연남동,11440710,dong,25,3,22,26,4,22,26,4,22,26,5,21,26,5,21,26,5,21,29,5,24,27,5,22
성산1동,11440720,dong,28,4,24,29,3,26,29,3,26,30,7,23,28,7,21,28,7,21,29,7,22,30,7,23
성산2동,11440730,dong,36,1,35,36,1,35,34,1,33,33,1,32,32,2,30,32,2,30,30,2,28,30,2,28
상암동,11440740,dong,51,11,40,52,11,41,53,12,41,54,14,40,53,14,39,50,15,35,53,14,39,51,13,38
양천구,11470,gu,318,60,258,318,55,263,312,55,257,312,79,233,316,77,239,313,75,238,315,72,243,315,70,245
목1동,11470510,dong,35,6,29,36,6,30,38,7,31,34,6,28,37,6,31,36,5,31,36,5,31,36,5,31
목2동,11470520,dong,27,6,21,27,5,22,27,5,22,28,10,18,28,10,18,27,10,17,26,9,17,25,7,18
목3동,11470530,dong,17,2,15,17,2,15,17,2,15,17,4,13,17,3,14,17,3,14,16,2,14,17,2,15
목4동,11470540,dong,19,4,15,19,4,15,19,4,15,19,5,14,20,5,15,20,5,15,21,5,16,20,5,15
목5동,11470550,dong,19,1,18,20,1,19,19,1,18,21,5,16,19,5,14,21,5,16,21,5,16,20,4,16
신월1동,11470560,dong,14,1,13,14,1,13,14,1,13,16,4,12,16,3,13,15,3,12,16,3,13,16,3,13
신월2동,11470570,dong,9,1,8,10,1,9,9,1,8,8,2,6,9,1,8,8,1,7,8,1,7,9,2,7
신월3동,11470580,dong,12,0,12,12,0,12,11,0,11,12,2,10,11,1,10,11,1,10,11,1,10,11,1,10
신월4동,11470590,dong,16,3,13,15,1,14,15,1,14,15,2,13,17,2,15,16,2,14,16,2,14,15,2,13
신월5동,11470600,dong,19,4,15,19,3,16,18,3,15,18,4,14,19,4,15,17,4,13,15,3,12,16,3,13
신월6동,11470610,dong,10,4,6,10,4,6,7,3,4,5,3,2,5,3,2,5,3,2,5,3,2,6,3,3
신월7동,11470611,dong,16,5,11,15,5,10,14,5,9,14,5,9,13,6,7,13,6,7,14,6,8,13,6,7
신정1동,11470620,dong,10,3,7,10,3,7,11,3,8,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7
신정2동,11470630,dong,13,2,11,12,1,11,10,1,9,11,1,10,11,1,10,11,1,10,12,1,11,12,1,11
신정3동,11470640,dong,19,4,15,19,4,15,19,4,15,19,5,14,19,6,13,19,6,13,19,6,13,19,6,13
신정4동,11470650,dong,42,11,31,40,10,30,41,10,31,42,12,30,43,12,31,45,12,33,47,12,35,48,12,36
신정6동,11470670,dong,12,2,10,12,2,10,12,2,10,11,2,9,11,2,9,11,2,9,11,2,9,11,2,9
신정7동,11470680,dong,9,1,8,11,2,9,11,2,9,12,4,8,11,4,7,11,3,8,11,3,8,11,3,8
강서구,11500,gu,572,92,480,569,90,479,560,91,469,571,130,441,558,126,432,561,128,433,560,125,435,545,118,427
염창동,11500510,dong,30,5,25,29,4,25,28,4,24,28,3,25,27,3,24,25,3,22,25,3,22,25,3,22
등촌1동,11500520,dong,36,4,32,37,4,33,34,3,31,35,5,30,35,6,29,32,6,26,30,5,25,30,5,25
등촌2동,11500530,dong,9,1,8,10,1,9,11,1,10,11,3,8,10,3,7,10,3,7,11,2,9,12,2,10
등촌3동,11500535,dong,27,5,22,28,5,23,28,7,21,27,9,18,28,9,19,30,10,20,29,9,20,29,8,21
화곡1동,11500540,dong,59,5,54,59,5,54,60,6,54,57,10,47,58,10,48,57,9,48,59,9,50,58,10,48
화곡2동,11500550,dong,12,3,9,12,3,9,13,4,9,12,4,8,11,4,7,11,4,7,12,5,7,12,5,7
화곡3동,11500560,dong,15,4,11,14,3,11,15,2,13,15,2,13,16,3,13,15,3,12,12,2,10,12,2,10
화곡4동,11500570,dong,17,2,15,17,2,15,18,2,16,19,4,15,17,4,13,17,4,13,17,5,12,17,5,12
화곡본동,11500590,dong,28,3,25,29,3,26,25,3,22,27,6,21,28,6,22,27,6,21,28,6,22,25,5,20
화곡6동,11500591,dong,31,7,24,31,6,25,31,6,25,32,6,26,32,6,26,33,6,27,33,5,28,34,5,29
화곡8동,11500593,dong,15,1,14,15,1,14,15,1,14,16,2,14,15,2,13,15,2,13,15,2,13,15,2,13
가양1동,11500603,dong,86,10,76,84,10,74,82,10,72,83,16,67,82,15,67,88,16,72,91,18,73,90,16,74
가양2동,11500604,dong,6,0,6,6,0,6,6,0,6,7,1,6,6,1,5,6,1,5,6,1,5,6,1,5
가양3동,11500605,dong,7,1,6,7,1,6,7,1,6,8,3,5,8,3,5,8,3,5,8,3,5,4,1,3
발산1동,11500611,dong,43,6,37,43,6,37,40,7,33,39,14,25,34,11,23,33,10,23,28,8,20,25,7,18
우장산동,11500615,dong,24,7,17,25,7,18,24,6,18,26,10,16,27,10,17,28,10,18,29,10,19,26,9,17
공항동,11500620,dong,47,13,34,46,14,32,44,13,31,48,14,34,45,12,33,46,13,33,46,13,33,44,12,32
방화1동,11500630,dong,34,6,28,31,6,25,32,6,26,33,7,26,32,7,25,33,7,26,36,7,29,35,8,27
방화2동,11500640,dong,27,5,22,27,5,22,28,5,23,29,6,23,27,6,21,28,7,21,26,7,19,27,7,20
방화3동,11500641,dong,19,4,15,19,4,15,19,4,15,19,5,14,20,5,15,19,5,14,19,5,14,19,5,14
구로구,11530,gu,369,50,319,363,47,316,365,55,310,360,70,290,360,73,287,351,70,281,359,73,286,352,73,279
신도림동,11530510,dong,35,9,26,34,9,25,34,10,24,32,11,21,31,11,20,32,11,21,32,11,21,31,10,21
구로1동,11530520,dong,13,2,11,12,1,11,11,1,10,11,2,9,10,2,8,10,2,8,11,2,9,10,2,8
구로2동,11530530,dong,28,2,26,26,2,24,27,4,23,28,6,22,28,6,22,26,6,20,27,6,21,26,6,20
구로3동,11530540,dong,68,7,61,70,7,63,71,7,64,70,11,59,72,14,58,69,12,57,70,12,58,68,11,57
구로4동,11530550,dong,20,1,19,20,1,19,21,2,19,20,4,16,19,4,15,18,4,14,18,4,14,18,4,14
구로5동,11530560,dong,31,3,28,31,3,28,31,3,28,30,3,27,29,3,26,28,3,25,29,4,25,30,5,25
가리봉동,11530595,dong,14,3,11,14,3,11,15,4,11,14,4,10,14,4,10,16,4,12,18,5,13,17,5,12
고척1동,11530720,dong,14,3,11,15,3,12,14,3,11,14,3,11,15,3,12,13,3,10,13,3,10,13,3,10
고척2동,11530730,dong,23,4,19,23,4,19,23,4,19,25,6,19,23,6,17,22,5,17,22,5,17,23,5,18
개봉1동,11530740,dong,22,4,18,20,4,16,20,4,16,19,2,17,21,3,18,20,3,17,20,4,16,20,5,15
개봉2동,11530750,dong,12,1,11,13,1,12,13,1,12,12,2,10,12,2,10,11,2,9,11,2,9,11,2,9
개봉3동,11530760,dong,9,0,9,9,0,9,9,0,9,9,2,7,9,2,7,9,2,7,10,2,8,10,2,8
오류1동,11530770,dong,24,6,18,22,4,18,22,6,16,23,6,17,23,6,17,24,6,18,25,6,19,26,6,20
오류2동,11530780,dong,34,3,31,32,3,29,33,4,29,31,5,26,30,4,26,30,4,26,30,4,26,26,4,22
수궁동,11530790,dong,22,2,20,22,2,20,21,2,19,22,3,19,24,3,21,23,3,20,23,3,20,23,3,20
금천구,11545,gu,303,30,273,296,28,268,285,27,258,283,46,237,280,46,234,268,45,223,259,43,216,260,44,216
가산동,11545510,dong,124,12,112,121,12,109,116,12,104,118,20,98,112,19,93,110,20,90,106,18,88,107,19,88
독산1동,11545610,dong,45,4,41,43,3,40,40,2,38,40,5,35,42,5,37,38,5,33,35,4,31,33,4,29
독산2동,11545620,dong,15,2,13,15,2,13,15,2,13,15,4,11,15,4,11,14,3,11,14,3,11,13,2,11
독산3동,11545630,dong,23,2,21,23,1,22,22,1,21,20,1,19,19,1,18,18,1,17,18,1,17,17,1,16
독산4동,11545640,dong,15,0,15,15,0,15,14,0,14,15,0,15,14,0,14,14,0,14,14,0,14,14,0,14
시흥1동,11545670,dong,42,6,36,42,6,36,41,6,35,40,10,30,41,11,30,37,10,27,37,11,26,40,12,28
시흥2동,11545680,dong,3,0,3,3,0,3,3,0,3,3,0,3,4,0,4,3,0,3,3,0,3,3,0,3
시흥3동,11545690,dong,9,0,9,9,0,9,9,0,9,8,1,7,9,1,8,9,1,8,9,1,8,10,1,9
시흥4동,11545700,dong,11,1,10,11,1,10,11,1,10,11,1,10,12,1,11,12,1,11,11,1,10,11,1,10
시흥5동,11545710,dong,16,3,13,14,3,11,14,3,11,13,4,9,12,4,8,13,4,9,12,4,8,12,4,8
영등포구,11560,gu,530,90,440,520,83,437,501,80,421,499,98,401,487,96,391,490,91,399,506,92,414,501,91,410
영등포본동,11560515,dong,21,3,18,21,3,18,20,3,17,20,5,15,20,5,15,22,5,17,23,5,18,23,5,18
영등포동,11560535,dong,68,13,55,66,10,56,65,12,53,67,16,51,67,16,51,70,15,55,70,15,55,71,15,56
여의동,11560540,dong,108,25,83,105,23,82,101,21,80,101,27,74,97,26,71,91,22,69,96,23,73,94,22,72
당산1동,11560550,dong,37,5,32,36,5,31,34,4,30,33,6,27,33,6,27,33,6,27,35,6,29,33,5,28
당산2동,11560560,dong,42,2,40,41,2,39,41,2,39,41,3,38,38,3,35,39,3,36,39,3,36,39,3,36
도림동,11560585,dong,12,3,9,13,3,10,12,2,10,12,2,10,11,2,9,11,2,9,12,2,10,13,2,11
문래동,11560605,dong,45,12,33,43,11,32,39,11,28,38,9,29,39,9,30,39,8,31,39,8,31,39,8,31
양평1동,11560610,dong,22,4,18,22,4,18,21,4,17,20,2,18,18,1,17,19,2,17,20,2,18,21,2,19
양평2동,11560620,dong,38,5,33,38,5,33,37,5,32,37,4,33,37,4,33,38,4,34,38,3,35,38,3,35
신길1동,11560630,dong,17,0,17,17,0,17,18,1,17,17,2,15,16,2,14,17,2,15,18,2,16,17,2,15
신길3동,11560650,dong,11,0,11,11,0,11,10,0,10,10,1,9,10,1,9,10,1,9,11,1,10,11,1,10
신길4동,11560660,dong,5,0,5,5,0,5,5,0,5,5,1,4,5,1,4,5,1,4,6,1,5,6,1,5
신길5동,11560670,dong,9,0,9,9,0,9,9,0,9,8,2,6,7,1,6,7,1,6,7,1,6,7,1,6
신길6동,11560680,dong,15,1,14,14,0,14,13,0,13,13,0,13,13,0,13,13,0,13,13,0,13,12,0,12
신길7동,11560690,dong,16,5,11,15,5,10,13,3,10,13,5,8,13,5,8,13,5,8,13,5,8,13,5,8
대림1동,11560700,dong,14,2,12,14,2,12,15,2,13,15,1,14,15,1,14,16,1,15,16,1,15,17,2,15
대림2동,11560710,dong,20,4,16,20,4,16,19,4,15,19,6,13,19,7,12,18,7,11,19,7,12,18,7,11
대림3동,11560720,dong,30,6,24,30,6,24,29,6,23,30,6,24,29,6,23,29,6,23,31,7,24,29,7,22
동작구,11590,gu,341,44,297,341,43,298,336,37,299,343,51,292,340,50,290,343,53,290,350,52,298,349,53,296
노량진1동,11590510,dong,40,3,37,41,3,38,41,3,38,44,4,40,43,4,39,42,3,39,41,3,38,41,3,38
노량진2동,11590520,dong,18,2,16,19,2,17,20,2,18,19,4,15,19,4,15,19,4,15,20,4,16,21,5,16
상도1동,11590530,dong,50,5,45,48,6,42,48,5,43,48,10,38,48,10,38,49,11,38,50,11,39,49,11,38
상도2동,11590540,dong,16,1,15,16,1,15,17,1,16,19,2,17,19,2,17,20,2,18,21,2,19,21,2,19
상도3동,11590550,dong,12,0,12,12,0,12,12,0,12,11,0,11,12,0,12,11,0,11,12,0,12,12,0,12
상도4동,11590560,dong,14,2,12,15,2,13,16,2,14,14,1,13,14,1,13,15,1,14,14,1,13,14,1,13
흑석동,11590605,dong,29,8,21,29,7,22,27,5,22,28,6,22,28,6,22,27,6,21,28,6,22,27,6,21
사당1동,11590620,dong,27,3,24,28,3,25,28,3,25,29,3,26,28,3,25,27,4,23,28,4,24,29,4,25
사당2동,11590630,dong,27,1,26,27,1,26,26,1,25,27,3,24,27,3,24,28,4,24,27,4,23,26,3,23
사당3동,11590640,dong,13,1,12,13,1,12,13,1,12,14,1,13,13,1,12,13,1,12,14,1,13,14,1,13
사당4동,11590650,dong,9,0,9,9,0,9,8,0,8,9,1,8,9,1,8,10,2,8,11,2,9,12,3,9
사당5동,11590651,dong,9,1,8,7,1,6,6,1,5,6,1,5,6,1,5,6,1,5,6,1,5,6,1,5
대방동,11590660,dong,36,8,28,37,8,29,35,7,28,36,7,29,36,7,29,37,7,30,37,7,30,36,7,29
신대방1동,11590670,dong,11,1,10,10,0,10,10,0,10,10,1,9,10,1,9,9,1,8,9,1,8,10,1,9
신대방2동,11590680,dong,30,8,22,30,8,22,29,6,23,29,7,22,28,6,22,30,6,24,32,5,27,31,5,26
관악구,11620,gu,459,59,400,461,57,404,462,59,403,468,91,377,475,95,380,466,91,375,472,93,379,471,88,383
보라매동,11620525,dong,17,3,14,18,3,15,19,3,16,20,5,15,21,5,16,19,5,14,20,5,15,18,4,14
청림동,11620545,dong,7,0,7,7,0,7,7,0,7,7,0,7,7,0,7,7,0,7,8,1,7,7,1,6
성현동,11620565,dong,9,1,8,10,1,9,10,2,8,12,2,10,10,2,8,10,2,8,10,2,8,11,2,9
행운동,11620575,dong,31,6,25,33,5,28,34,5,29,36,8,28,36,8,28,35,7,28,35,7,28,36,6,30
낙성대동,11620585,dong,28,2,26,26,2,24,25,2,23,24,2,22,26,4,22,23,3,20,21,3,18,23,3,20
청룡동,11620595,dong,43,6,37,42,6,36,42,6,36,42,6,36,42,6,36,43,6,37,42,6,36,42,7,35
은천동,11620605,dong,24,6,18,24,6,18,24,6,18,24,10,14,24,10,14,24,9,15,25,10,15,26,10,16
중앙동,11620615,dong,20,2,18,20,2,18,19,2,17,19,2,17,19,2,17,19,2,17,19,2,17,20,2,18
인헌동,11620625,dong,22,4,18,22,3,19,24,4,20,22,5,17,22,4,18,19,4,15,22,5,17,21,4,17
남현동,11620630,dong,19,4,15,18,4,14,19,4,15,19,3,16,20,4,16,20,4,16,20,4,16,20,4,16
서원동,11620645,dong,27,2,25,27,2,25,26,2,24,27,4,23,28,5,23,28,5,23,32,5,27,27,4,23
신원동,11620655,dong,10,0,10,10,0,10,10,0,10,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7
서림동,11620665,dong,22,0,22,22,0,22,21,0,21,22,4,18,25,5,20,22,4,18,22,4,18,22,3,19
신사동,11620685,dong,24,1,23,26,1,25,25,0,25,25,2,23,25,2,23,25,2,23,25,2,23,27,2,25
신림동,11620695,dong,37,4,33,38,4,34,42,5,37,39,8,31,39,8,31,43,8,35,43,8,35,43,8,35
난향동,11620715,dong,3,0,3,3,0,3,3,0,3,4,0,4,4,0,4,4,0,4,5,0,5,5,0,5
조원동,11620725,dong,24,4,20,24,4,20,22,3,19,23,4,19,22,4,18,22,4,18,23,4,19,23,4,19
대학동,11620735,dong,42,11,31,41,11,30,40,11,29,44,14,30,43,14,29,43,14,29,40,13,27,41,13,28
삼성동,11620745,dong,9,0,9,9,0,9,8,0,8,8,0,8,9,0,9,8,0,8,7,0,7,7,0,7
미성동,11620765,dong,22,2,20,22,2,20,21,2,19,21,7,14,21,7,14,21,7,14,22,7,15,21,6,15
난곡동,11620775,dong,19,1,18,19,1,18,21,2,19,20,2,18,22,2,20,21,2,19,21,2,19,21,2,19
서초구,11650,gu,518,96,422,523,96,427,517,97,420,523,124,399,526,121,405,538,125,413,551,128,423,554,122,432
서초1동,11650510,dong,34,4,30,35,4,31,36,4,32,34,5,29,34,5,29,36,5,31,36,5,31,36,4,32
서초2동,11650520,dong,42,10,32,42,10,32,40,9,31,40,10,30,40,10,30,40,10,30,42,11,31,42,11,31
서초3동,11650530,dong,77,13,64,76,14,62,78,15,63,81,19,62,81,19,62,84,19,65,84,19,65,85,19,66
서초4동,11650531,dong,35,11,24,38,11,27,38,12,26,35,13,22,35,13,22,35,13,22,36,14,22,36,14,22
잠원동,11650540,dong,28,3,25,29,3,26,29,3,26,31,3,28,32,3,29,33,6,27,34,6,28,35,6,29
반포본동,11650550,dong,7,1,6,8,2,6,8,2,6,9,3,6,8,3,5,8,3,5,8,3,5,8,3,5
반포1동,11650560,dong,27,2,25,28,2,26,27,2,25,29,4,25,29,3,26,29,3,26,29,3,26,28,2,26
반포2동,11650570,dong,7,4,3,9,6,3,7,4,3,9,4,5,7,3,4,8,3,5,10,3,7,9,3,6
반포3동,11650580,dong,10,1,9,10,1,9,11,1,10,10,3,7,9,2,7,7,2,5,8,2,6,8,2,6
반포4동,11650581,dong,45,8,37,42,7,35,37,7,30,37,15,22,40,15,25,41,15,26,42,16,26,42,16,26
방배본동,11650590,dong,21,4,17,20,3,17,21,4,17,22,4,18,20,4,16,21,5,16,23,5,18,24,5,19
방배1동,11650600,dong,21,4,17,19,3,16,18,2,16,17,3,14,18,4,14,18,4,14,18,4,14,17,3,14
방배2동,11650610,dong,25,6,19,25,6,19,24,5,19,24,8,16,25,8,17,26,8,18,26,8,18,27,8,19
방배3동,11650620,dong,18,2,16,18,2,16,19,2,17,18,3,15,18,3,15,18,3,15,17,3,14,18,3,15
방배4동,11650621,dong,22,3,19,21,2,19,23,4,19,23,5,18,25,5,20,25,5,20,25,5,20,25,5,20
양재1동,11650651,dong,43,8,35,46,8,38,44,8,36,46,9,37,46,8,38,47,8,39,49,8,41,49,6,43
양재2동,11650652,dong,43,9,34,44,9,35,45,10,35,45,10,35,46,9,37,49,9,40,51,9,42,53,9,44
내곡동,11650660,dong,13,3,10,13,3,10,12,3,9,13,3,10,13,4,9,13,4,9,13,4,9,12,3,9
강남구,11680,gu,951,172,779,968,171,797,1055,207,848,972,241,731,976,231,745,970,227,743,981,224,757,987,220,767
신사동,11680510,dong,42,7,35,46,8,38,44,7,37,44,8,36,44,8,36,46,8,38,49,9,40,49,8,41
논현1동,11680521,dong,79,12,67,80,12,68,80,12,68,82,16,66,80,14,66,79,15,64,82,16,66,81,16,65
논현2동,11680531,dong,74,8,66,74,7,67,75,8,67,78,15,63,77,14,63,77,13,64,77,13,64,80,13,67
압구정동,11680545,dong,55,9,46,55,9,46,55,8,47,54,9,45,57,10,47,56,10,46,53,9,44,53,9,44
청담동,11680565,dong,54,5,49,55,5,50,57,7,50,55,10,45,55,9,46,55,9,46,57,9,48,60,10,50
삼성1동,11680580,dong,58,16,42,58,13,45,55,11,44,54,20,34,55,19,36,55,17,38,53,17,36,56,18,38
삼성2동,11680590,dong,52,8,44,52,8,44,51,7,44,51,12,39,51,11,40,51,10,41,52,10,42,53,9,44
대치1동,11680600,dong,21,4,17,21,3,18,23,4,19,23,8,15,23,8,15,23,8,15,27,10,17,24,9,15
대치2동,11680610,dong,47,13,34,47,14,33,50,13,37,49,15,34,49,15,34,47,14,33,49,14,35,52,15,37
대치4동,11680630,dong,61,12,49,62,12,50,62,12,50,61,15,46,61,14,47,61,15,46,62,15,47,62,15,47
역삼1동,11680640,dong,192,38,154,197,40,157,235,54,181,200,58,142,200,55,145,198,55,143,195,52,143,194,50,144
역삼2동,11680650,dong,54,7,47,57,7,50,72,15,57,54,12,42,54,11,43,53,11,42,56,12,44,57,12,45
도곡1동,11680655,dong,26,3,23,28,3,25,43,9,34,28,5,23,29,4,25,27,3,24,29,3,26,28,3,25
도곡2동,11680656,dong,24,4,20,24,4,20,33,7,26,25,7,18,25,7,18,24,7,17,23,6,17,22,5,17
개포1동,11680660,dong,2,0,2,2,0,2,2,0,2,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1
개포2동,11680670,dong,10,1,9,11,1,10,10,1,9,10,2,8,11,2,9,12,2,10,11,1,10,11,1,10
개포4동,11680690,dong,27,8,19,27,8,19,35,13,22,31,11,20,32,12,20,32,11,21,32,11,21,30,10,20
세곡동,11680700,dong,22,2,20,22,2,20,23,3,20,23,3,20,22,3,19,23,4,19,21,3,18,22,3,19
일원본동,11680720,dong,12,4,8,11,4,7,11,4,7,10,4,6,10,4,6,11,4,7,11,4,7,12,4,8
일원1동,11680730,dong,12,2,10,12,2,10,12,2,10,12,1,11,12,1,11,12,1,11,14,1,13,13,1,12
일원2동,11680740,dong,8,0,8,8,0,8,7,0,7,7,0,7,7,0,7,6,0,6,7,0,7,7,0,7
수서동,11680750,dong,19,9,10,19,9,10,20,10,10,19,9,10,20,9,11,20,9,11,19,8,11,19,8,11
송파구,11710,gu,644,136,508,639,129,510,624,135,489,629,177,452,622,170,452,625,170,455,628,169,459,640,167,473
풍납1동,11710510,dong,8,1,7,9,1,8,8,1,7,8,1,7,8,1,7,8,1,7,8,1,7,9,1,8
풍납2동,11710520,dong,21,7,14,21,7,14,21,7,14,18,6,12,18,6,12,18,6,12,18,6,12,18,6,12
거여1동,11710531,dong,12,1,11,12,1,11,12,1,11,12,3,9,12,3,9,12,3,9,13,3,10,14,3,11
거여2동,11710532,dong,11,1,10,11,1,10,11,1,10,11,2,9,11,2,9,11,2,9,12,2,10,12,2,10
마천1동,11710540,dong,14,3,11,13,2,11,10,1,9,10,2,8,10,2,8,11,3,8,11,3,8,12,3,9
마천2동,11710550,dong,11,0,11,11,0,11,11,0,11,12,2,10,10,1,9,10,1,9,10,1,9,11,1,10
방이1동,11710561,dong,20,3,17,19,2,17,20,3,17,22,4,18,22,4,18,23,4,19,23,4,19,24,4,20
방이2동,11710562,dong,42,7,35,40,7,33,37,7,30,37,8,29,38,10,28,40,10,30,40,9,31,38,8,30
오륜동,11710566,dong,16,4,12,15,3,12,15,3,12,15,3,12,16,3,13,15,3,12,13,3,10,13,3,10
오금동,11710570,dong,43,9,34,39,5,34,38,6,32,40,12,28,40,12,28,39,11,28,38,10,28,38,10,28
송파1동,11710580,dong,27,3,24,26,3,23,24,2,22,24,4,20,24,4,20,25,4,21,25,4,21,25,4,21
송파2동,11710590,dong,16,6,10,15,5,10,13,4,9,17,8,9,13,5,8,13,5,8,12,5,7,12,5,7
석촌동,11710600,dong,45,5,40,45,6,39,44,7,37,46,11,35,45,10,35,44,10,34,43,10,33,45,10,35
삼전동,11710610,dong,37,13,24,37,13,24,35,13,22,35,14,21,36,13,23,36,13,23,35,13,22,36,13,23
가락본동,11710620,dong,41,6,35,41,6,35,42,8,34,42,9,33,43,9,34,43,9,34,44,10,34,43,9,34
가락1동,11710631,dong,11,1,10,11,1,10,12,2,10,11,5,6,6,2,4,4,1,3,5,2,3,5,2,3
가락2동,11710632,dong,20,3,17,20,3,17,21,3,18,19,2,17,19,2,17,19,2,17,19,2,17,19,2,17
문정1동,11710641,dong,13,2,11,14,2,12,16,3,13,17,4,13,15,3,12,16,4,12,18,4,14,18,4,14
문정2동,11710642,dong,71,12,59,66,12,54,62,13,49,63,17,46,64,16,48,64,16,48,62,15,47,68,15,53
장지동,11710646,dong,20,3,17,23,3,20,24,3,21,24,6,18,25,7,18,24,5,19,23,4,19,23,4,19
위례동,11710647,dong,15,4,11,16,3,13,13,3,10,14,4,10,14,4,10,14,5,9,14,5,9,14,5,9
잠실본동,11710650,dong,55,14,41,58,14,44,56,14,42,55,19,36,55,19,36,57,20,37,61,20,41,61,18,43
잠실2동,11710670,dong,23,10,13,23,10,13,23,9,14,23,10,13,23,10,13,23,10,13,25,11,14,24,11,13
잠실3동,11710680,dong,20,9,11,19,9,10,17,9,8,17,9,8,17,9,8,17,9,8,17,9,8,17,9,8
잠실4동,11710690,dong,6,2,4,6,2,4,7,2,5,6,2,4,6,2,4,7,2,5,7,2,5,8,3,5
잠실6동,11710710,dong,24,7,17,27,8,19,30,10,20,29,10,19,30,11,19,30,11,19,30,11,19,31,12,19
잠실7동,11710720,dong,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2
강동구,11740,gu,399,68,331,393,66,327,394,65,329,394,81,313,399,80,319,403,82,321,409,84,325,410,83,327
