NM,CD,GUBUN,2018전체점포,2018프랜차이즈,2018일반,2019전체점포,2019프랜차이즈,2019일반,2020전체점포,2020프랜차이즈,2020일반
면목5동,11260550,dong,6,1,5,6,1,5,7,0,7
면목본동,11260565,dong,29,3,26,30,4,26,30,4,26
면목7동,11260570,dong,17,6,11,17,6,11,18,6,12
면목3.8동,11260575,dong,20,4,16,21,4,17,20,2,18
상봉1동,11260580,dong,15,5,10,17,5,12,14,3,11
상봉2동,11260590,dong,35,9,26,37,9,28,36,7,29
중화1동,11260600,dong,18,1,17,20,2,18,18,2,16
중화2동,11260610,dong,15,2,13,15,2,13,20,1,19
묵1동,11260620,dong,23,4,19,22,3,19,22,4,18
묵2동,11260630,dong,13,2,11,14,2,12,17,1,16
망우본동,11260655,dong,31,4,27,29,4,25,31,2,29
망우3동,11260660,dong,11,1,10,11,1,10,12,1,11
신내1동,11260680,dong,20,7,13,22,7,15,20,4,16
신내2동,11260690,dong,9,2,7,9,2,7,10,3,7
성북구,11290,gu,361,59,302,357,62,295,356,51,305
성북동,11290525,dong,18,8,10,15,7,8,17,5,12
삼선동,11290555,dong,36,5,31,36,7,29,32,4,28
동선동,11290575,dong,41,8,33,42,8,34,37,7,30
돈암1동,11290580,dong,7,0,7,7,0,7,7,1,6
돈암2동,11290590,dong,4,0,4,5,1,4,5,1,4
안암동,11290600,dong,49,2,47,49,2,47,47,2,45
보문동,11290610,dong,19,5,14,18,5,13,17,3,14
정릉1동,11290620,dong,11,2,9,14,2,12,15,1,14
정릉2동,11290630,dong,15,4,11,14,4,10,16,4,12
정릉3동,11290640,dong,13,1,12,15,2,13,15,1,14
정릉4동,11290650,dong,15,2,13,15,2,13,18,4,14
길음1동,11290660,dong,6,1,5,6,1,5,7,1,6
길음2동,11290685,dong,7,3,4,5,2,3,8,3,5
종암동,11290705,dong,28,3,25,27,3,24,27,2,25
월곡1동,11290715,dong,16,0,16,16,1,15,13,0,13
월곡2동,11290725,dong,25,8,17,23,7,16,24,5,19
장위1동,11290760,dong,11,1,10,11,1,10,12,1,11
장위2동,11290770,dong,11,2,9,9,2,7,8,1,7
장위3동,11290780,dong,5,1,4,3,1,2,8,3,5
석관동,11290810,dong,24,3,21,27,4,23,23,2,21
강북구,11305,gu,267,50,217,273,50,223,272,36,236
삼양동,11305534,dong,14,0,14,13,0,13,13,1,12
미아동,11305535,dong,32,15,17,34,15,19,32,9,23
송중동,11305545,dong,25,4,21,26,5,21,28,3,25
송천동,11305555,dong,27,5,22,26,4,22,23,4,19
삼각산동,11305575,dong,8,2,6,8,2,6,9,1,8
번1동,11305590,dong,33,6,27,33,5,28,30,2,28
번2동,11305600,dong,7,0,7,7,0,7,7,0,7
번3동,11305606,dong,8,1,7,8,1,7,11,3,8
수유1동,11305610,dong,19,4,15,18,4,14,23,6,17
수유2동,11305620,dong,18,3,15,19,3,16,17,3,14
수유3동,11305630,dong,33,4,29,35,5,30,35,1,34
우이동,11305645,dong,15,1,14,19,1,18,17,1,16
인수동,11305660,dong,28,5,23,27,5,22,27,2,25
도봉구,11320,gu,219,35,184,220,39,181,232,31,201
창1동,11320511,dong,15,1,14,13,1,12,15,2,13
창2동,11320512,dong,19,3,16,20,3,17,22,4,18
창3동,11320513,dong,11,3,8,10,3,7,14,1,13
창4동,11320514,dong,17,4,13,20,6,14,18,4,14
창5동,11320515,dong,18,3,15,19,3,16,19,3,16
도봉1동,11320521,dong,23,6,17,20,5,15,22,5,17
도봉2동,11320522,dong,13,0,13,14,1,13,14,0,14
쌍문1동,11320660,dong,18,4,14,17,5,12,18,3,15
쌍문2동,11320670,dong,14,1,13,12,0,12,13,0,13
쌍문3동,11320680,dong,16,4,12,16,4,12,14,3,11
쌍문4동,11320681,dong,10,1,9,10,1,9,11,1,10
방학1동,11320690,dong,24,4,20,27,6,21,25,2,23
방학2동,11320700,dong,12,1,11,12,1,11,16,2,14
방학3동,11320710,dong,9,0,9,10,0,10,11,1,10
노원구,11350,gu,350,63,287,355,65,290,356,56,300
월계1동,11350560,dong,36,6,30,37,7,30,33,6,27
월계2동,11350570,dong,18,6,12,19,6,13,18,5,13
월계3동,11350580,dong,9,2,7,8,1,7,10,2,8
공릉1동,11350595,dong,48,7,41,45,6,39,45,5,40
공릉2동,11350600,dong,41,9,32,37,8,29,38,6,32
하계1동,11350611,dong,21,2,19,21,2,19,20,4,16
하계2동,11350612,dong,4,1,3,5,1,4,5,0,5
중계본동,11350619,dong,14,3,11,12,2,10,15,3,12
중계1동,11350621,dong,14,1,13,14,1,13,13,0,13
중계4동,11350624,dong,11,4,7,14,5,9,12,4,8
중계2.3동,11350625,dong,9,1,8,9,1,8,10,1,9
상계1동,11350630,dong,27,2,25,26,2,24,25,1,24
상계2동,11350640,dong,25,6,19,32,7,25,31,4,27
상계3.4동,11350665,dong,15,3,12,16,5,11,17,3,14
상계5동,11350670,dong,12,3,9,13,3,10,17,4,13
상계6.7동,11350695,dong,28,5,23,28,6,22,28,6,22
상계8동,11350700,dong,6,0,6,5,0,5,5,0,5
상계9동,11350710,dong,7,1,6,9,1,8,9,1,8
상계10동,11350720,dong,5,1,4,5,1,4,5,1,4
은평구,11380,gu,357,63,294,359,64,295,374,61,313
녹번동,11380510,dong,26,6,20,28,6,22,31,2,29
