NM,CD,GUBUN,TOT_REPOP_CO_1,TOT_WRC_POPLTN_CO_1,TOT_REPOP_CO_2,TOT_WRC_POPLTN_CO_2,TOT_REPOP_CO_3,TOT_WRC_POPLTN_CO_3,,,,면적(km),,,,,,
중림동,11140680,dong,181.3460876,153.1248462,162.6618209,156.6114821,260.1440596,89.1758413,,,,0.48,8704.612204,7349.992617,7807.767404,7517.351141,12486.91486,4280.440383
용산구,11170,gu,107.2299263,78.79866174,105.8463174,83.21345729,106.2368786,82.69724128,,,,21.87,234511.8488,172332.6732,231485.8961,181987.8311,232340.0536,180858.8667
후암동,11170510,dong,212.1259928,50.43764445,209.6386569,38.51915997,206.944043,26.76189171,,,,0.86,18242.83538,4337.637422,18028.92449,3312.647758,17797.1877,2301.522687
용산2가동,11170520,dong,53.87948403,14.24770691,50.8218685,17.37370363,50.63137807,8.777212656,,,,1.96,10560.37887,2792.550554,9961.086225,3405.245911,9923.750102,1720.333681
남영동,11170530,dong,107.4805659,438.999004,106.3391793,443.4830226,105.6190188,269.1226406,,,,1.19,12790.18734,52240.88148,12654.36234,52774.47968,12568.66323,32025.59423
청파동,11170555,dong,239.0408401,94.59752258,233.7854222,94.44769707,228.6106796,71.44371862,,,,0.91,21752.71645,8608.374555,21274.47342,8594.740433,20803.57184,6501.378395
원효로1동,11170560,dong,241.7469039,279.6566739,239.8802635,290.7037913,269.4071211,78.00860012,,,,0.59,14263.06733,16499.74376,14152.93555,17151.52369,15895.02014,4602.507407
원효로2동,11170570,dong,165.1981777,58.26990269,163.1120388,57.88762592,159.2237379,51.21416565,,,,0.71,11729.07062,4137.163091,11580.95475,4110.02144,11304.88539,3636.205761
효창동,11170580,dong,196.0184418,38.13712367,194.0425351,39.90056728,186.8400365,35.05640895,,,,0.44,8624.811439,1678.033442,8537.871545,1755.62496,8220.961608,1542.481994
용문동,11170590,dong,446.3433857,34.94835525,451.4248973,36.9533054,436.5260436,93.47215885,,,,0.28,12497.6148,978.553947,12639.89713,1034.692551,12222.72922,2617.220448
한강로동,11170625,dong,45.13009399,188.0762951,46.48765867,211.9795556,51.44455599,139.3230516,,,,2.9,13087.72726,54542.12559,13481.42101,61474.07111,14918.92124,40403.68495
이촌1동,11170630,dong,129.628282,9.348462542,129.3110687,9.936240127,132.0680255,50.68881935,,,,2.86,37073.68865,2673.660287,36982.96565,2841.764676,37771.45528,14497.00233
이촌2동,11170640,dong,76.34055629,3.719219887,75.12320441,4.264929352,74.82096532,24.39741082,,,,1.22,9313.547867,453.7448263,9165.030938,520.3213809,9128.157769,2976.48412
이태원1동,11170650,dong,122.3054737,101.9557484,118.9570032,101.1272609,116.5233211,224.9343683,,,,0.57,6971.412002,5811.477659,6780.549184,5764.253869,6641.8293,12821.25899
이태원2동,11170660,dong,107.028525,30.11314899,108.0637712,30.17003065,105.6292363,14.28867213,,,,0.86,9204.453151,2589.730813,9293.48432,2594.622636,9084.114318,1228.825803
한남동,11170685,dong,66.119955,49.63920218,64.4474962,51.24288697,64.70070959,131.0957606,,,,3.01,19902.10645,14941.39986,19398.69636,15424.10898,19474.91359,39459.82394
서빙고동,11170690,dong,63.07671521,20.99524275,60.82478776,20.97704535,60.48813598,67.148382,,,,2.8,17661.48026,5878.667969,17030.94057,5873.572699,16936.67807,18801.54696
보광동,11170700,dong,174.5207165,10.79173854,169.6694876,11.36445307,159.8098139,11.89224881,,,,0.71,12390.97087,766.2134361,12046.53362,806.8761679,11346.49678,844.3496658
성동구,11200,gu,183.2866463,112.6487307,186.4406585,115.8613295,181.8201695,48.71867799,,,,16.86,309021.2856,189925.7599,314338.9503,195342.2016,306548.8057,82139.69109
왕십리2동,11200520,dong,370.0934968,30.52531577,466.4714708,34.13332503,457.7759089,32.99122138,,,,0.41,15173.83337,1251.537946,19125.3303,1399.466326,18768.81226,1352.640076
왕십리도선동,11200535,dong,372.1536527,111.2384811,373.9343587,116.2606286,378.3583003,82.76109602,,,,0.72,26795.06299,8009.170636,26923.27383,8370.765258,27241.79762,5958.798914
마장동,11200540,dong,221.19134,104.635369,216.029747,107.1192125,215.5865333,70.94189376,,,,1.05,23225.0907,10986.71375,22683.12344,11247.51731,22636.586,7448.898845
사근동,11200550,dong,93.80824975,66.90082802,98.70281374,68.1603963,98.73662765,22.40171775,,,,1.1,10318.90747,7359.091082,10857.30951,7497.643593,10861.02904,2464.188952
행당1동,11200560,dong,252.477998,106.214133,313.4303238,111.1004537,285.8135633,41.96806518,,,,0.59,14896.20188,6266.63385,18492.3891,6554.926769,16863.00024,2476.115846
행당2동,11200570,dong,545.2135513,20.64755456,547.2695578,21.82866467,537.66757,5.861805742,,,,0.42,22898.96915,867.1972913,22985.32143,916.803916,22582.03794,246.1958412
